{'短评内容': '还不错 据说年底要装修了', '短评打分': 4}
{'短评内容': '房间不错，逛街也很方便，酒店早餐也不错', '短评打分': 5}
{'短评内容': '挺好的，很安静', '短评打分': 5}
{'短评内容': '周边宵夜比较多', '短评打分': 3}
{'短评内容': '酒店位置还可以，CC，公园，还有步行街，酒店套房谁还舒服，早餐还可以，就是房间的，隔音效果，差1点，隔壁的小孩，的声音都听的，总之还可以。', '短评打分': 4}
{'短评内容': '四星级酒店这个价格非常划算，位置也不错！', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '没有要到发票报销麻烦', '短评打分': 4}
{'短评内容': '房间很大，很满意。', '短评打分': 5}
{'短评内容': '入住水西大酒店，感觉很舒适，前台服务员很亲切，还贴心帮我安排了靠水西公园的房间，很安静，睡得很舒服，赞！下次还来。唯一有不足就是房间隔音稍差。', '短评打分': 5}
{'短评内容': '不错，房间宽敞明亮，卫生好！！！', '短评打分': 5}
{'短评内容': '非常不错哦', '短评打分': 5}
{'短评内容': '不错的酒店，出差值得住', '短评打分': 3}
{'短评内容': '干净，环境好，推荐大家预定', '短评打分': 3}
{'短评内容': '停车方便，酒店性价比不错，值得推荐，值得推荐。', '短评打分': 3}
