{'短评内容': '酒店在地铁国贸站上，交通相当方便', '短评打分': 5}
{'短评内容': '地點方便。', '短评打分': 5}
{'短评内容': '房间很大，价格实惠', '短评打分': 5}
{'短评内容': '酒店在金光华广场对面，很方便', '短评打分': 5}
{'短评内容': '经常在这里住，还不错', '短评打分': 5}
{'短评内容': '酒店在市中心逛街吃饭都非常方便价格适中，只是希望下次入住酒店房间毛巾可以更换新的，不要再拿那么旧的毛巾给客人用，看过太多新闻曝光酒店毛巾，那么旧的毛巾实在是不敢用的。望酒店更改这样才会有更好的销量。', '短评打分': 5}
{'短评内容': '因为在罗湖中心逛街吃饭都很方便，所以经常住这家酒店，新装修过，比以前好多了，在房间看到有蟑螂卫生有待加强，特别是毛巾太旧了不敢用 这么中心的酒店 也不差换毛巾的费用吧！望毛巾和卫生这块改善下。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '酒店太陈旧', '短评打分': 2}
{'短评内容': '还可以把', '短评打分': 5}
{'短评内容': '隔音超差，设备一般。有点旧。', '短评打分': 2}
{'短评内容': '母亲每次去都住那里', '短评打分': 5}
{'短评内容': '在装修，很先了，期待', '短评打分': 4}
{'短评内容': '酒店地理位置好，房间内部设施陈旧。', '短评打分': 3}
{'短评内容': '酒店除了位置好以外，其他设施都很陈旧，尤其是那个凳子很脏的，很简陋。', '短评打分': 4}
{'短评内容': '90年代的房间 潮湿昏暗 墙纸脱落 浴室老旧', '短评打分': 3}
{'短评内容': '飯店設施裝潢老舊 不過交通便利 價格便宜  價性比可', '短评打分': 3}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '该酒店环境不错，还可以', '短评打分': 3}
