{'短评内容': '很少差评，觉得都不容易，但是这个酒店真的太差劲了！200多的价格，真的太不值了，床单上还有黄色的，晚上睡觉衣服都没脱！厕所特别脏，水管的水也是非常小的！厕所没法用，要跑到楼下公共厕所上', '短评打分': 1}
{'短评内容': '设施老旧 真的差劲 还三星呢 太差了', '短评打分': 1}
{'短评内容': '周边环境不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店很大气 干净卫生 空间大 位置好 服务态度也很好！', '短评打分': 5}
{'短评内容': '好好好哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '没住上，交了钱酒店没订上，京东给退款了！', '短评打分': 5}
{'短评内容': '中规中矩的三星水平而已', '短评打分': 4}
{'短评内容': '不错的酒店，虽然装修年久，但依然很干净卫生，设施齐全，服务到位！早餐也不错！', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '卫生间环境陈旧', '短评打分': 5}
{'短评内容': '服务特别贴心，非常满意，离火车站特别近也很方便', '短评打分': 5}
{'短评内容': '代人订的，据说还可以，没说有什么不满意的', '短评打分': 4}
{'短评内容': '酒店距离火车站非常近，酒店设施有些陈旧，房间卫生一般。', '短评打分': 3}
{'短评内容': '没办法才住这里了，陪客人。确实不咋地', '短评打分': 2}
{'短评内容': '连续住了四天，周边交通便利，环境还可以，服务也不错，早餐质量能提高一些就更好了', '短评打分': 4}
{'短评内容': '连续住了四天，周边交通便利，环境还可以，服务也不错，早餐质量能提高一些就更好了', '短评打分': 4}
{'短评内容': '较差，房间设施、早参都达不到四星标准。', '短评打分': 3}
{'短评内容': '好。', '短评打分': 3}
