{'短评内容': '适合商务出差', '短评打分': 5}
{'短评内容': '适合商务', '短评打分': 5}
{'短评内容': '在垠坤创意中央，有停车位，闹中取静，有早餐。离火车站比较近，出差首选。', '短评打分': 5}
{'短评内容': '附近就是亚朵，供各位慎重参考', '短评打分': 2}
{'短评内容': '酒店有早餐，要先点餐然后再有人送来。周边很安静，胆小独自一人出门的女性不建议单独入住。酒店没电梯，不适合提太多行李。', '短评打分': 4}
{'短评内容': '离南京站不远，交通便利，宾馆位置不好找，在一个产业园区里，不过晚上倒也安静。硬件上设施比较一般。', '短评打分': 3}
{'短评内容': '很干净', '短评打分': 5}
{'短评内容': '适合', '短评打分': 5}
{'短评内容': '房间宽敞，早餐不错', '短评打分': 5}
{'短评内容': '京东酒店，价格便宜，服务不错，确认很快。不过，提个建议：确认时，我是电话联系酒店的，若能短消息或微信提醒已获酒店确认的话，就更好啦', '短评打分': 5}
{'短评内容': '饭店凹在里面，找起来有点难度，不过内部还行，离地铁有点远！', '短评打分': 4}
{'短评内容': '酒店环境很好，服务业很好，就是位置有点难得找！', '短评打分': 5}
{'短评内容': '酒店很方便', '短评打分': 4}
{'短评内容': 'good，good，good，good', '短评打分': 4}
{'短评内容': '优点安静，缺点是难找', '短评打分': 5}
{'短评内容': '大隐隐于市的典范，深藏在创意园里，房间很大，装修也颇有古意，夜里很静谧。另外创意园里真的很多猫', '短评打分': 5}
{'短评内容': '在创意园里面，有时间的话悠闲地住住   －－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－-还不错', '短评打分': 4}
{'短评内容': '不错的酒店 朋友入住后评价比较好', '短评打分': 5}
{'短评内容': '我住的房间下水有点问题', '短评打分': 5}
{'短评内容': '房间卫生周边环境服务设施都不错。只是自驾车比较难找。', '短评打分': 1}
{'短评内容': '这个酒店真的挺不错的。\n1. 环境很好，很新。房间的硬件环境来说，至少是四星级标准。\n2. 因为酒店不大，前台服务员甚至能记住你的房间和名字，感觉很亲切\n3. 健身房和乒乓球是免费使用的。这个要赞一下！\n4. 酒店离主路还有一段步行距离，所以非常安静。园区是个老工厂改建的，很有艺术分外，像北京的798\n5. 需要注意的是，因为酒店不大，早餐不是自助餐，而是给客人单独做，7点半才有早餐。\n6. 大部', '短评打分': 5}
{'短评内容': '酒店环境不错，出门300米左右有公交站台，500米左右有地铁站。\n安静，挺舒服。', '短评打分': 5}
{'短评内容': '酒店位置旺中带静，环境优美，设施高档，这价格有大床房就好了！', '短评打分': 5}
{'短评内容': '交通方便、位置方便，安静干净，下次还住。', '短评打分': 5}
{'短评内容': '不错的酒店。地点好，干净、服务好。交通方便', '短评打分': 5}
{'短评内容': '位置有点偏,房间还不错,出行不方便,性价比不算高', '短评打分': 1}
{'短评内容': '据说是不对外的酒店，感觉很新很干净。除了打车稍微不便之外，其余都很好。附近吃饭地方多，不错！下次来南京还住这个！', '短评打分': 5}
