{'短评内容': '不错啊，挺好的。', '短评打分': 4}
{'短评内容': '值得推荐。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '环境优美.住宿舒适.适合出差情侣', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店不错，值得推荐', '短评打分': 4}
{'短评内容': '环境不错，卫生也干净，服务态度非常好，连续住了几天，感觉很棒，楼下自助餐菜品少了点，其他都很好，值得推荐哦！ ', '短评打分': 4}
{'短评内容': '商务出差。', '短评打分': 4}
{'短评内容': '环境整洁干净！', '短评打分': 5}
{'短评内容': '经常预定”不过周末与平时房型一样”价位确高了快一倍……', '短评打分': 3}
{'短评内容': '不错不错', '短评打分': 5}
{'短评内容': '房间设施比较老旧', '短评打分': 4}
{'短评内容': '好，但打车不太方便。', '短评打分': 4}
{'短评内容': '太棒的体验，每次出差都住这里。健身房很棒，按摩不错，如果有上门服务就更好了。', '短评打分': 5}
