{'短评内容': '房间很干净位置也很方便', '短评打分': 4}
{'短评内容': '整体还不错，房间不算大', '短评打分': 5}
{'短评内容': '不错，位置好，虽然房间有点小，但是服务好', '短评打分': 5}
{'短评内容': '女子学院', '短评打分': 5}
{'短评内容': '光景不错   而且  也挺舒适      是个不错的酒店   大家可以放心入住呢          ', '短评打分': 5}
{'短评内容': '一般吧', '短评打分': 4}
{'短评内容': '旁边的白石公园挺好的，晚上散步可以', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '位置比较好', '短评打分': 5}
{'短评内容': '比较满意，性价比较高', '短评打分': 5}
{'短评内容': '房间有点小，洗漱品，矿泉水要收费', '短评打分': 5}
{'短评内容': '房间很好，就是吃的难找', '短评打分': 5}
{'短评内容': '位置挺好，温馨大床房 房间有点小，价格稍贵', '短评打分': 4}
{'短评内容': '还不错嘛，房间干净整洁。', '短评打分': 3}
{'短评内容': '干净、卫生，很舒服！', '短评打分': 3}
