{'短评内容': '环境好好，服务周到', '短评打分': 5}
{'短评内容': '位置不错，早餐特别棒', '短评打分': 5}
{'短评内容': '洗澡水太小，浴缸没有打扫', '短评打分': 4}
{'短评内容': '早餐明天早上才知道，周边环境不错，酒店大气，服务态度很好。值得推荐！坝上回头可考虑再住一晚，留一天拍拍承德！', '短评打分': 5}
{'短评内容': '酒店还行，服务不错，价格可能不是旅游旺季还可以。地理位置优越。挺不错的。希望下次来了还可以入住这里', '短评打分': 5}
{'短评内容': '酒店位置服务超棒，下次打算还住这里', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '位置不错，距离避暑山庄很近，房间还不错。', '短评打分': 5}
{'短评内容': '位置很好，方便去避暑山庄。房间也是很大，关键赶上立减，比携程便宜很多，超值。', '短评打分': 5}
{'短评内容': '早餐没以前好了', '短评打分': 4}
{'短评内容': '这次还好吧，不过有一个问题我找到原因了，以前住盛华进屋子就会一直打喷嚏，我有过敏性鼻炎就没在意太多，后来去紫玉国际住就没事儿，看来还是酒店房间的问题啊', '短评打分': 4}
{'短评内容': '洗澡一半没水，无语', '短评打分': 4}
{'短评内容': '不错的，位置很好，靠河', '短评打分': 5}
{'短评内容': '离要去的地方承德医学院附属医院很近，大概不到10分钟路程。闹中取静，设施齐全，性价比高，旁边有大超市和不错的饭馆，比较便利。 ', '短评打分': 5}
{'短评内容': '酒店外围环境一般，服务可以，早餐一般，价格偏贵', '短评打分': 4}
{'短评内容': '酒店设施有点老旧了，总体还是不错的，一家三口很适合', '短评打分': 5}
{'短评内容': '还不错，下次还会再来！', '短评打分': 5}
{'短评内容': '服务态度好 每天赠送两瓶水两包咖啡 早餐丰富  但是没有地下停车导致雪天车子全被雪冻了', '短评打分': 5}
{'短评内容': '位置不错，设施有点陈旧，服务较好，早餐品种多样，下次还可选择。', '短评打分': 4}
{'短评内容': '还可以，位置比较好，交通比较方便，距离避暑山庄近', '短评打分': 5}
{'短评内容': '挺一般的酒店。在承德住店期望不要太高就行啦，就当是个三星吧', '短评打分': 5}
{'短评内容': '整体比较满意，就是夏天价格有点贵。不过这个是承德酒店的通病，也没办法', '短评打分': 5}
{'短评内容': '酒店整体情况一般，因为要玩在承德也没办法只能选择这个酒店，唯一感觉不错的是早餐还不错，煎蛋很好吃！', '短评打分': 5}
{'短评内容': '酒店的工作人员没有服务意识，指出他们的不足之处，他们还不高兴，也在反驳我。如果说按照四星的标准来定义的话，真的来三星的标准都没的！', '短评打分': 1}
{'短评内容': '因为是开车来的，酒店的房间本身就高出很多，连停车场也是收费的，房间没有很好的除烟，进入房间后烟味很大', '短评打分': 1}
{'短评内容': '地理位置还算不错，去景点很方便，其他没啥说的', '短评打分': 5}
{'短评内容': '因为是旺季，酒店价格高的吓人，而且服务态度很差，管理不好，别的房间的消费竟然记在我的房间上，', '短评打分': 1}
{'短评内容': '酒店服务比较差，房间比较旧，离4星差很远', '短评打分': 1}
{'短评内容': '酒店很干净而且位置不错。去避暑山庄非常近，就是价格高点', '短评打分': 5}
{'短评内容': '价格比当地其他类似高出较多，服务态度也很是一般，入住的客人较少', '短评打分': 1}
{'短评内容': ' 地理位置较好，但价格偏贵，且设施和装修一般，一般推荐。', '短评打分': 3}
{'短评内容': '该酒店员工素质还是很高的，我入住时，在房间遗忘一块名牌手表，酒店在我还没发现时就多方联络我，并在联系上后，第一时间将手表快递回北京，并询问有否损坏等，对此，我非常感动！这样的酒店让在外旅行的人觉得温馨并放心！故，向大家推荐。虽然该酒店硬件实施一般，但软件设施还是很值得褒扬的！', '短评打分': 5}
{'短评内容': '服务态度越来越不专业了，不知道怎么搞的。不过，去承德，不选这家，也没有多少其它选择。京城酒店的服务态度甚至可以说是有点恶劣。其它的酒店就太旧了。。', '短评打分': 5}
{'短评内容': '.盛华大酒店房间不错,早餐也还行,位置不错,前台服务差.承德多数酒店隔音差,比较老旧,卫生也不太好.盛华算不错了.谢谢！', '短评打分': 5}
{'短评内容': '装修太陈旧了，价格也不便宜，根本够不上四星，不推荐', '短评打分': 1}
{'短评内容': '位置不错，早餐也比较丰富，由于是旅游旺季价格有点偏贵，餐厅菜的口味不错，不足之处是上菜慢点', '短评打分': 5}
{'短评内容': '除去设施稍微老旧一些外，其余均可，服务也很好。', '短评打分': 5}
{'短评内容': '卫生设施还不错，就是软件方面还是欠缺，位置倒是挺好找出行也很方便，房间的卫生挺好的但是有一点就是电视有些不好让他们去修的时候也没有耐心，价格还是有些高了。整体看起来其实还是很一般的酒店。', '短评打分': 1}
{'短评内容': '虽然是四星级酒店，但是设施太陈旧了，其他都一般，价格高，位置还凑合。', '短评打分': 1}
{'短评内容': '02年开张的店子，条件很一般，基本不符合4星级的标准', '短评打分': 1}
{'短评内容': '价格偏高了，位置倒是挺好找的，环境设施一般，早餐提供也很不好，服务也不太好，要是三百多我还是能接受但是现在都将近五百的价格感觉确实很贵', '短评打分': 1}
{'短评内容': '我每次去承德基本都住这里，就是建筑时间长了，设施也老了点。不在旅游季节，服务也一般了。性价比还可以。', '短评打分': 5}
{'短评内容': '旅游城市，主动提出协助导游，非常方便。', '短评打分': 5}
{'短评内容': '酒店位置不错，交通方 便，设施完善，但是可能由于年份较久的原因，房间内的设施比较老，价格还是偏高，总体来说，适合商务出行。', '短评打分': 3}
{'短评内容': '酒店的位置不错，服务也可以，但是设施相对较老，价格在旺季的时候较高，性价比不好', '短评打分': 5}
{'短评内容': '在酒店可以请导游出去玩，导游不好，欺骗客人，为了图省事，有的地方总说不值得去，酒店本身还可以，环境也不错', '短评打分': 5}
{'短评内容': '如果自己去会便宜一些，但总体来讲还是贵一些。', '短评打分': 3}
