{'短评内容': '好，好，好，好，好。', '短评打分': 5}
{'短评内容': '超级安静，离寺庙很近！', '短评打分': 5}
{'短评内容': '有早餐，酒店在松赞林寺的斜对面，在酒店买的门票两天内在松赞林寺可以无限次出进。拉姆央措湖就在旁边，每天清晨和傍晚都可以去逛逛！', '短评打分': 5}
{'短评内容': '没有发票，不适合商务行', '短评打分': 5}
{'短评内容': '就為了看松贊林寺而來，面朝松贊林寺，就是想親近藏民多點，老闆娘把我們房間升級了，萬分感謝，景觀超棒的。', '短评打分': 4}
{'短评内容': '安全，干净！老板热情！又在景区里，离松赞林寺很近，出门就能看见！交通很便利，门口就有车直接到独克宗古城！', '短评打分': 5}
{'短评内容': '环境特神圣', '短评打分': 4}
{'短评内容': '酒店位置距离松赞林寺步行2分钟，但是酒店设施陈旧，早餐每人只有两个奶油馒头和两个鸡蛋一碗白粥。酒店潮湿，发霉的味道浓重，打车到酒店要30元(一口价)。没有空调，靠电热毯取暖', '短评打分': 1}
{'短评内容': '游梧州精华景点最佳选择', '短评打分': 3}
{'短评内容': '计划有变，取消行程', '短评打分': 5}
{'短评内容': '感觉好', '短评打分': 5}
{'短评内容': '大床房没空调。环境还好 安静。对面就是松赞林寺', '短评打分': 4}
{'短评内容': '宁靜', '短评打分': 4}
{'短评内容': '位置绝佳就在松赞林寺前，环境也很好，房间内干净舒适，只是个洗澡淋浴的水温不是冷就是热，要想调节到合适的温度绝对是个技术活', '短评打分': 4}
{'短评内容': '酒店内的环境很好，很漂亮雅致，但房间配套的东西还不太完善，棉签针线什么的都没有，第一天没放梳子，第二天没放牙刷，而且把第一天的牙刷给扔了!?老板是很直的人，他们说旁边又盖了一幢房子，明年就会有家庭房，结果我们以为旁边的餐馆是他们开的，在那边吃的饭，结果老板就有点不高兴了，别的都还挺好的。', '短评打分': 5}
