{'短评内容': '酒店位置很好，有停车场', '短评打分': 5}
{'短评内容': '准备再住一些日子', '短评打分': 4}
{'短评内容': '干净整洁，周边有点闹', '短评打分': 3}
{'短评内容': '干净整洁，但周边比较闹', '短评打分': 3}
{'短评内容': '太吵太吵了还不是一般的吵，真受不了', '短评打分': 2}
{'短评内容': '还行，就是热水有点不好调，要不冷水，要不很烫。', '短评打分': 5}
{'短评内容': '上午外面太吵闹了，休息不好啊！', '短评打分': 4}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '一般化，不是很贵', '短评打分': 4}
{'短评内容': '商家都不知道携程怎么操作，我已付款不给我房间，我也是醉了，经过多次沟通后商家才给了我房卡，将近半个小时，前提是我做了十五个小时的火车没睡觉', '短评打分': 3}
{'短评内容': '性价比较高 周边环境还好 交通不是很方便', '短评打分': 4}
{'短评内容': '干净 卫生 房间达 采光好 交通方便', '短评打分': 5}
{'短评内容': '我觉得很不错，价格适中，环境舒适，就在东八线和开元路交界的地方，交通还算方便', '短评打分': 3}
{'短评内容': '床很大很舒服，下次有机会到这边还来', '短评打分': 3}
