{'descr': '位置好 服务好 服务快 都不错', 'star': 5}
{'descr': '到店后没有宽带，Wifi太慢，没有空调，有会员卡的能延迟两小时退房，没有会员的晚20分钟收了58元。', 'star': 5}
{'descr': '值得推荐！', 'star': 5}
{'descr': '位置非常方便，服务很好，房间干净！！！！', 'star': 3}
{'descr': '房间设施好旧的，比较一般', 'star': 3}
{'descr': '挺好，就是无线信好一般', 'star': 3}
{'descr': '非常破', 'star': 1}
{'descr': '还不错。。。。。。。', 'star': 3}
{'descr': '一般', 'star': 4}
{'descr': '周围有不错的馆子还不错', 'star': 4}
{'descr': '酒店必须12点以前退房么？，明明我是零点以后到的，还得12点以前退，不到12个小时，却收我整天的房费，不公平', 'star': 4}
{'descr': '价位还可以，就是没有早餐。', 'star': 2}
{'descr': '干净整洁，安静舒适！', 'star': 3}
{'descr': '房间不错，服务态度也好，价格合理。总之感觉不错', 'star': 5}
{'descr': '交通便利，购物方便。房间比较干净。服务很好。距离呼和浩特职业学院步行20分钟左右的路程。', 'star': 5}
{'descr': '房间倒是不小，我住的是大床房，但是设施。。。。无话可说，就是个体的小旅馆的标准吧！还号称直营店！房间的门都关不严，而且特吵，早上就有人在楼道里大声喧闹，毕竟接待的旅行团比较多，在一个就是没早餐，迄今为止住过的最垃圾的速8！第二天换的蒙之旅，离火车站步行的话大约十分钟，床是圆形的，很有创意，出差的话可以来试试！价位一样，简直天上地下啊！', 'star': 1}
{'descr': '酒店设施稍显陈旧，网速一般，但地理位置还可以，楼下小餐馆挺多的，买水果也翻遍，这个价格性价比还算可以的了～', 'star': 5}
{'descr': '这家酒店很不错，设施完善，干净卫生，已经第二次入住了。', 'star': 3}
{'descr': '空间很大，很宽敞很明亮，床单很漂亮，还会再来~', 'star': 5}
{'descr': '网上预订的，大床房158元，这个价钱很满意！', 'star': 3}
{'descr': '房间很亮，还不错。', 'star': 3}
{'descr': '总体满意，自助早餐非常差劲，朝阳客房有些吵，下面就是马路', 'star': 5}
{'descr': '房间还行，稍显陈旧，洗浴设施很好，床也很舒服。位置不错交通还算方便，离八一市场很近，小吃水果很方便服务态度还好。', 'star': 5}
{'descr': '非常满意', 'star': 3}
{'descr': '还可以，交通方便', 'star': 3}
{'descr': '酒店设施过于简陋，舒适度较差，在经济允许的条件下，建议选用其他性价比高些的酒店。不推荐朋友居住。\n床、被褥、枕头的需要更新。\n', 'star': 1}
{'descr': '房间挺干净，临街的隔音效果差，街上的声音太大了。', 'star': 3}
{'descr': '前台服务真需要改进，酒店硬件确实一般，临街面比较吵。', 'star': 1}
{'descr': '一般的酒店，我订两天，第一天第一间空调坏了，换了一间没有网络，没房间了就用自己的无线上网住下了，第二天换了一间有宽带，空调正常的房间，整体良好，卫生间台面感觉每间都是脏熙熙的。', 'star': 5}
{'descr': '那里的床睡得很舒服，就是环境稍有点单调！', 'star': 5}
{'descr': '一般般啦，前台电脑坏了，好几天都不修理，而且服务很冷淡！周围没有什么特色的东西，交通还算方便，旁边就是小学，听着广播体操的旋律倒是感觉自己年轻不少！！', 'star': 1}
{'descr': '房间很不错不过房间靠马路吵了点', 'star': 3}
{'descr': '该酒店地址较偏僻，不过里面还是比较干净的！！！！！', 'star': 5}
{'descr': '还不错，就是临街的房间 噪音比较大！靠近马路，半夜车过的声音大，特价房，房间小！', 'star': 5}
{'descr': '怎么说呢？第一感觉就是满意吧！虽然特价间面积较小，但是很合理的分割成了三部分，不错！推荐！', 'star': 5}
{'descr': '环境不错，经常住这里，一直都很好，就是吹风机借不到，有点小郁闷', 'star': 5}
{'descr': '服务差,前台服务员三个班次都没有笑容,一副苦瓜脸.房间卫生一般,只有一点价格还可以', 'star': 1}
{'descr': '不错~已经去住了好几次了。。。都很不错。。。也评了好几次了~这评论一定要20个字，，，，纠结~', 'star': 5}
{'descr': '位置稍微偏了点，不过里面还是挺干净的，主要晚上还不吵，就是周边范围内吃饭的地方不多，到客运中心方便', 'star': 5}
{'descr': '从火车站打车过来十几块钱，还不算太远。这家酒店门口有车直接到达杭州九堡客运中心，从这个客运中心可以直达乌镇，大约1小时20分钟左右的车程，所以要从杭州去乌镇的朋友可以晚上先住在这家酒店。酒店环境干净整洁，色彩的搭配不错，很温馨。不过，预定前问一下是否是靠马路的房间。因为靠马路的房间晚上非常的吵，车来车往，而且车速都很快，严重影响睡眠。杭州的交通比较拥堵，如果要去市区游玩，建议不要住在这里，路上会浪', 'star': 5}
