{'短评内容': '一进门一股浓浓的的香味，过了没多久就觉得香味里参杂了臭味，随着时间的推移，臭味越来越浓烈，就像粪池的味道。原来酒店就用这种劣质的香水味来掩盖房间里的不知哪来的臭味！原想就住一晚将就着吧，开排风扇排气吧，谁知关了灯睡觉时，那排风扇的声音，加上空调的声音，像飞机轰鸣一样让你头疼难以入睡，没办法只能忍受臭气关掉排风！实在是太差了！老妈第二天都没精神去爬山！差评！差评！差评！', '短评打分': 2}
{'短评内容': '凭良心，还是七天好', '短评打分': 3}
{'短评内容': '垃圾的不行，一直催退房，超过一分钟，半天房费', '短评打分': 1}
{'短评内容': '早餐一般 停车场蛮大的 位置棒', '短评打分': 4}
{'短评内容': '还行吧，一般', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错不错不错不错不错', '短评打分': 5}
{'短评内容': '很方便，主要是价格很实惠，不错。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还不错就是态度不太好', '短评打分': 5}
{'短评内容': '环境还行，门口有停车场', '短评打分': 5}
{'短评内容': '不错，浴巾不干净', '短评打分': 5}
{'短评内容': '汉', '短评打分': 5}
{'短评内容': '就这样。', '短评打分': 3}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '一般', '短评打分': 1}
{'短评内容': '距离乘坐机场巴士的地方很近。适合赶飞机的人居住。离三坊七巷也不远，5站公交车就到了。周边比较繁华热闹啊。房间也不错，比较干净，比较大。', '短评打分': 5}
{'短评内容': '房间内部隔音较差，整夜被其他房间和走廊说话声烦扰！早饭一般，品种少', '短评打分': 3}
