{'短评内容': '位置极佳，泺源大街。下次还会订这里', '短评打分': 5}
{'短评内容': '位置还好、停车场很大、周边有KTV、晚上有点吵、不给返现', '短评打分': 4}
{'短评内容': '服务态度好，环境干净卫生', '短评打分': 5}
{'短评内容': '还不错！一年住一次！', '短评打分': 5}
{'短评内容': '不错，房间不大', '短评打分': 4}
{'短评内容': '酒店味道很不好，地理位也不好，旁边好多酒吧，如果知道肯定不订这里', '短评打分': 5}
{'短评内容': '。。。。。。。。。。', '短评打分': 5}
{'短评内容': '挺好的，床也很大，也很舒服，电视有点太高级，我都没有打开，卫生间也很干净，嗯，服务也不错，总体来说就是挺好的。', '短评打分': 5}
{'短评内容': '还不错吧，我就是喜欢这个酒店网速快', '短评打分': 5}
{'短评内容': '非常的一般吧，地理位置还算可以，在泺源大街上，酒店环境卫生一般，不如锦江，如家之类的，这个酒店是不是山东本土的酒店，管理粗放，不细致，尤其卫生很一般', '短评打分': 2}
{'短评内容': '房间大，离黑虎泉很近', '短评打分': 5}
{'短评内容': '周边很方便，房间不怎么样。设施一般，网络也不好。', '短评打分': 4}
{'短评内容': '下火车没提前预定，赶到酒店爆满。第二天入住，卫生、服务都不错。交通也比较方便。', '短评打分': 5}
{'短评内容': '酒店在银座新天地院内，停车方便。旁边有济南做鲁菜较有名气的饭店，院内还有咖啡厅，酒吧等，就餐、娱乐方便', '短评打分': 5}
{'短评内容': '停车方便，离景点都很近，下次还会考虑的，还赠了个棒棒糖', '短评打分': 5}
{'短评内容': '好，不错。酒店旁边就是餐饮购物休闲的，配套非常不错，就是两个字，方便。', '短评打分': 5}
{'短评内容': '不错 环境很好 值得去', '短评打分': 3}
{'短评内容': '位置比较方便，房间具体格局会有所不同。有的没有窗户，有的靠近ktv，如果规避了以上两点，其余都还是可以的。周围也有很多吃饭的地方。', '短评打分': 4}
{'短评内容': '酒店服务不错，就是隔音效果相当不好，隔壁说话声音清晰，但是位置还是不错的，而且紧邻的尽是比较有特色的饭店，还有娱乐场，非常不错，房间的卫生也还可以，宾馆的牙具需要收费，但是价格是可以接受的范围，整体还是不错的。晚上睡眠不好的顾客不适合住这里因为房间的门都可以看见走廊里的灯光，可想而知酒店的隔音效果是什么样子的。这个价格算凑合了。', '短评打分': 5}
{'短评内容': '整体干净，稍有点味，还算比较符合这个价格。', '短评打分': 5}
{'短评内容': '总体来说还是很不错的 保洁 还有服务态度都不错，但是有的前台人员态度比较消极。', '短评打分': 5}
{'短评内容': '很不错的酒店，干净整洁。性价比挺高。就是走到银座比较远！', '短评打分': 3}
{'短评内容': '前台摆着张臭脸', '短评打分': 3}
{'短评内容': '该酒店位置较好，网络不是很好，早餐一般吧。', '短评打分': 5}
{'短评内容': '位置比较方便，但网络不好，早餐也不是很满意', '短评打分': 5}
{'短评内容': '房间和走廊地毯的味道太难闻，另外地方不好找', '短评打分': 1}
{'短评内容': '酒店还不错，比较符合我的口味，下次还会住！', '短评打分': 5}
{'短评内容': '旁边夜店太多，半夜三点还很吵，觉都没睡好。', '短评打分': 3}
{'短评内容': '我到济南一直是选择这家酒店。价格适中，地理位置也好！', '短评打分': 3}
{'短评内容': '酒店服务非常好，房间内的设施都是新的，非常干净，房间也很大，推荐入住。', '短评打分': 5}
{'短评内容': '卫生条件不错，我订的商务标准间，还有一个沙发，卫生间设计也比较好，洗手盆和洗澡的有两个门分开的，两个人互不影响，不错，再去还会选择。', '短评打分': 5}
{'短评内容': '很好，网速很快', '短评打分': 3}
{'短评内容': '不错的快捷酒店，设施完备，还可以免费上网，需要注意的是酒店的枕头有点软，不舒服，早餐不错，简单美味', '短评打分': 5}
{'短评内容': '房间里有暖气，很舒服。地点很好，很方便。', '短评打分': 5}
{'短评内容': '房间太小,电视也小。', '短评打分': 3}
{'短评内容': '不错，但价钱有点乱，门口资料及挂牌价格便宜，收我的却贵，郁闷。房间装饰与如家、7天一样', '短评打分': 5}
{'短评内容': '干净卫生还不错', '短评打分': 3}
{'短评内容': '好，。                                                                      。', '短评打分': 5}
{'短评内容': '位置好，周围吃玩交通都方便。酒店装修新，卫生间设施好。床够大，但不是很舒服。总体来说，是满意的。', '短评打分': 5}
{'短评内容': '晚上ktv和鼓风机的声音很大，洗澡水忽冷忽热，同等价位跟别的连锁酒店没法比，不会再来', '短评打分': 1}
{'短评内容': '空间比锦江之星大点', '短评打分': 3}
{'短评内容': '位置方便，就在泺源大街东头，银座新天地院内。院内餐饮和娱乐都方便，就是消费有些小贵，周边去泉城广场、及各景点距离都不远，性价比不错。', '短评打分': 5}
{'短评内容': '服务很好。在市中心。闹中取静。旁边有个KTV，但是不是很闹。', '短评打分': 5}
{'短评内容': '环境还不错，吃饭也方便', '短评打分': 3}
{'短评内容': '比如家之类的经济酒店差远了，下次不会选择这里。', '短评打分': 1}
{'短评内容': '我去济南一般都会去那里住，感觉环境很好，设施比较新。我推荐', '短评打分': 5}
{'短评内容': '离机场巴士站点“玉泉森信大酒店”10分钟路程， 但是住“解放桥”那边， 公交应该更加方便。 陈设不算新， ￥200的标间有点小贵。 ', '短评打分': 5}
{'短评内容': '还好吧！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '比较干净整洁的一家快捷酒店，地理位置很好，位于市中心，泺源大街上，离泉城广场大明湖 趵突泉公园很近！', '短评打分': 5}
{'短评内容': '我是差十分钟6点到酒店的，说是预定的标间没了，经协调后总算是入住了，酒店非常不错，非常干净卫生、舒适，服务人员态度非常好！', '短评打分': 3}
{'短评内容': '很宽敞很干净', '短评打分': 3}
{'短评内容': '挺好', '短评打分': 3}
{'短评内容': '比较干净整洁的一家酒店，周边环境也比较热闹，值得推荐。', '短评打分': 5}
{'短评内容': '酒店设施好，服务好，我满意。酒店设施好，服务好，我满意。酒店设施好，服务好，我满意。酒店设施好，服务好，我满意', '短评打分': 5}
{'短评内容': '地理位置很好，位于市中心，泺源大街上。缺点是稍微有点吵，边上是个KTV，唱到很晚。但还可以忍受。总体服务态度不错。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '房间很小，也不怎么干净，下次不住了。性价比不高哇！就地理位置还好，边上就是有吃有玩有茶喝。\n房间很小，也不怎么干净，下次不住了。性价比不高哇！就地理位置还好，边上就是有吃有玩有茶喝。', '短评打分': 1}
