{'短评内容': '适宜不挑剔的人', '短评打分': 4}
{'短评内容': '交通计较方便，市内卫生一般，其他也过得去', '短评打分': 1}
{'短评内容': '，比想像中细，其他还可以吧！', '短评打分': 3}
{'短评内容': '很不错的宾馆，还算安静，附近交通很方便，还有便利店，下次还来。', '短评打分': 3}
{'短评内容': '位置不错~而且房间也挺干净的~服务态度各方面都很好~', '短评打分': 5}
{'短评内容': '交通挺方便，但是有点旧了，最好能重新装修过。', '短评打分': 5}
{'短评内容': '交通挺方便，但需要再装修一下，有点点旧了。', '短评打分': 5}
{'短评内容': '只是交通很方便，逛街很方便，但是酒店服务一般，环境一般，比较旧了。', '短评打分': 5}
{'短评内容': '帮朋友预定的，没有反映什么问题，总体还是不错哦！', '短评打分': 5}
{'短评内容': '不错，干净，房间大，床宽，比较舒适，位置也还行', '短评打分': 3}
{'短评内容': '地方还可，地铁及饮食方便，一分钱一分货，不能过份要求。', '短评打分': 5}
{'短评内容': '交通比较方便，但是如果酒店重新装修一下就好了，稍旧了点。', '短评打分': 5}
{'短评内容': '华天酒店比几年前入住时，改善了许多，环境也舒适多了！', '短评打分': 3}
{'短评内容': '环境一般，地理位置还可以', '短评打分': 3}
{'短评内容': '宾馆环境内部设施还可以，外部环境比较静，但服务员态度不是得好，毛巾有点旧', '短评打分': 3}
{'短评内容': '房间装修感觉还不错，所在的位置很好，靠近中心，离地铁站很近。服务也都算不错。', '短评打分': 5}
{'短评内容': '装修比较简洁大方，服务员态度良好，热水供应较好。', '短评打分': 5}
{'短评内容': '服务还可以，房间环境一般，价格到便宜，适合短住一晚，要求不高的游客', '短评打分': 5}
{'短评内容': '乾凈整潔，周邊還有几家不錯的老字號！總體挺好的！', '短评打分': 3}
{'短评内容': '这个价位7天，如家之类的快捷酒店遍地都是~\n\n设施陈旧，环境一般，还2次发现了虫子\n\n怎么办？我还能给好评？？', '短评打分': 1}
{'短评内容': '华天宾馆地处陈家祠地铁站附近,交通方便,在广交会期间200元/天的豪华双人房还是可以的,特别是服务热情,态度和蔼.不足的是不能刷卡结帐.', '短评打分': 5}
{'短评内容': '＋华天宾馆很整洁，卫生间也很干净，算的上物美价廉，离地铁站挺近，差不多步行10分钟吧，这个价位很合算了～很满意', '短评打分': 3}
{'短评内容': '交通方便，房间干净，简洁，豪华单人床偏小一些，前台人员的微笑和问候让人很舒心，值得推荐', '短评打分': 5}
{'短评内容': '不错,房间比较宽敞,交通方便,离陈家祠才c出口很近,但是不能通过信用卡支付房费,很遗憾', '短评打分': 5}
{'短评内容': '第一次来到广州，这家酒店满多的taxi都不载，给予的理由是没听过，不懂怎么样到那边，房里的设施就有些旧，睡床就比较硬，感觉像睡在木板上，枕头比较没有弹性，工作人员态度礼貌就还不错，晚上吃东西，便利店那些也瞒方便的。\n总结来说，应该就不会住回同样的酒店了。', '短评打分': 1}
{'短评内容': '啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊', '短评打分': 5}
{'短评内容': '这宾馆真的很烂，卫生很差，感觉几个月没洗过了，房间空气很差，开了空调，感觉也很闷，宾馆通道超级窄，里面的设备都很老了，床板很硬，厕所花洒坏掉了，水乱喷，床上能够很明显看到厕所人在洗澡，不知是无意还是有意啊。优点，交通便利，离家乐福近，离上下九步行街也近，但是环境确实很差。', '短评打分': 1}
{'短评内容': '环境很好，交通很方便，服务人员很热情，很安静。设施也很好', '短评打分': 5}
{'短评内容': '前台服务很热情=。=本来订了其他酒店的，结果一次住了6天。。O,O~~交通非常方便，出来到康王中路朝下走10分钟就是上下九，右边就1个车站能坐74路到中山纪念堂，出来到康王路又有2个车站，距离陈家祠地铁站6分钟路程，酒店在的龙津中路上是老广州的美食街~~很多老店都在，往左有伍湛记龙津东路956号，沙湾姜撞奶………右边的忘记了= =楼下就是一家很驰名的茶餐厅，量很足，我和我朋友2个人吃了撑了才92块', '短评打分': 5}
{'短评内容': '位置佳，房间大小合适，性价比高，下次还会入住，推荐', '短评打分': 5}
{'短评内容': '位置好，距离上下九。华林非常近，超高性价比，下次肯定还会住，推荐', '短评打分': 5}
{'短评内容': '酒店在市中心,交通便利,吃东西也很方便.房间大小是中等,装修很新,但是家具有点旧,总体来说还不错了!', '短评打分': 5}
{'短评内容': '交通方便，房间干净，简洁，但比想像中偏小一些，前台人员的微笑和问候让人很舒心，值得推荐 \n', '短评打分': 5}
{'短评内容': '喜欢这家  交通方便！服务也好 周围吃的也多 不闹', '短评打分': 5}
{'短评内容': '优势：装修较新，如果在附近老城区办事还行。\n不足：仅单计房间面积只有10平方米。', '短评打分': 1}
{'短评内容': '设施还算可以，但地段交通方便，而且去上下九也方便…赞一个…', '短评打分': 3}
{'短评内容': '总体不错，行程比较急了,下次去广州应该还会预订的。 ', '短评打分': 5}
{'短评内容': '酒店服務還行，設施也還好，比想象中好很多！', '短评打分': 3}
{'短评内容': '位置好', '短评打分': 3}
{'短评内容': '环境不错，交通也很方便。下次还会去…', '短评打分': 3}
{'短评内容': '第二次入住，也是帮朋友订，大家都说价格合理，房间也可以，有一点不好，不能刷卡。', '短评打分': 5}
{'短评内容': '宾馆感觉有些年头了，洗手间瓷砖都有缺失，但是整体干净整洁，主要价格偏高了，没有早餐，性价比不高。', '短评打分': 1}
{'短评内容': '订到的价格很优惠，酒店还可以，房间有点小，感觉没有20平方吧。', '短评打分': 5}
{'短评内容': '酒店干净卫生，周围交通也非常方便，服务也很好。', '短评打分': 5}
{'短评内容': '周边比较繁华，晚上还算安静。和快捷酒店差不多，价格比较实惠。就是房间没有放水和饮料，不方便', '短评打分': 5}
{'短评内容': '地理位置十分优越，离地铁口十分近。卫生，住宿环境还可以。', '短评打分': 5}
{'短评内容': '房间挺差的。地上的地毯很脏，卫生间里的条件也不是特别理想。\n\n房间里也上不了网。\n\n我住酒店那几天，他们刚好在装修，房间里的味非常浓。\n\n酒店的位置还挺好的，离陈家祠地铁站很近。', '短评打分': 1}
{'短评内容': '一般吧，设施有点老，但是位置还挺好的，交通都很方便的', '短评打分': 1}
{'短评内容': '广交会期间还有 这样价格的房间，我已经很高兴了。要求不高，房间对得起当时的价格！', '短评打分': 5}
{'短评内容': '价格比较便宜，环境一般，周边交通还算方便，离上下九比较近', '短评打分': 5}
{'短评内容': ' 服务热情 还不错', '短评打分': 3}
{'短评内容': '这家酒店位置特别好,在地铁口,去哪都方便.酒店设施有点旧,但还是比较干净.最大的缺点就是付房费不能刷卡,只能支付现金.下次去广州还准备住这里', '短评打分': 5}
{'短评内容': '位置较好,离地铁站很近,酒店设施还可以，性价比较高。', '短评打分': 5}
{'短评内容': '酒店位置很好，交通方便，服务也不错，设施虽老但是不影响使用，值得入住的酒店。', '短评打分': 5}
{'短评内容': '交通方便,隔壁餐馆味道很好,太小了,洗手间设计不合理', '短评打分': 5}
{'短评内容': '广交会期间价格来比,还是非常好的性价比,就是太小了,里面设施非常旧,交通非常方便.离地铁近,逛街离上下九近,走路能到.但是如果不是广交会期,值120块之内,高了就不会住了', '短评打分': 5}
{'短评内容': '还可以！', '短评打分': 3}
{'短评内容': '+ok', '短评打分': 5}
{'短评内容': '酒店不错位置也不错', '短评打分': 5}
{'短评内容': '设施一般，比较陈旧，但地理位置较好，服务员很热情，值得入住。', '短评打分': 3}
{'短评内容': '地理位置不错，性价比较高，设施和卫生一般', '短评打分': 5}
{'短评内容': '服务很好', '短评打分': 5}
{'短评内容': '不可以刷卡，很麻烦\r\n床很硬\r\n洗澡间是透明的！', '短评打分': 1}
{'短评内容': '  普普通通', '短评打分': 5}
{'短评内容': '还好！', '短评打分': 5}
{'短评内容': '地理位置不错，酒店设施一般。附近有些餐馆还是不错的', '短评打分': 3}
{'短评内容': '整体还不错```不过住了3晚```却都不能上网```听说网络在维修```', '短评打分': 5}
{'短评内容': '房间有点小，其他都还好，设施较为陈旧，好在地段还不错。', '短评打分': 3}
{'短评内容': '一般，位置不错,条件普通，房间较小。噪音较小', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '以价值看还不错.', '短评打分': 5}
{'短评内容': '还行吧,就是感觉离地铁站有点远,另设施太旧了点.', '短评打分': 3}
{'短评内容': '地理位置不错，交通方便，附近购物吃饭什么的都很近，就是酒店老旧了点，总之各方面都还好的，价格还好的在广州有这样的就可以了。', '短评打分': 5}
{'短评内容': '地理位置其实不算很好，离地铁站有点远，但是在西关老街，附近很多名店和好吃的传统粤式小吃。酒店的服务人员人很好，可以下午2点再退房，退房后可寄存行李。第一晚住的房间据同伴说有异味，让人毛毛的，但是我没啥感觉。因为买不到火车票，多续了一天，换了隔壁的房间，变小了，但是感觉更整洁干净。广州现在的酒店据说都不提供一次性洗漱用品，但是华天是提供的，不过我也还是习惯用自己的。酒店不是那种时尚装潢型好看的，但是', '短评打分': 5}
{'短评内容': '价格很便宜，但是住的时候不是很愉快毕竟是价格很便宜里面环境不是很好设施有些简陋。服务倒是挺客气的，位置是不错。要是商务出行的话那还行但是要是旅游什么的那就算了。', '短评打分': 5}
{'短评内容': '大致上還好，很近陳家祠地鐵站，只是房間感覺上很舊但是價格便宜。', '短评打分': 5}
{'短评内容': '在广州来说性价比还行', '短评打分': 5}
{'短评内容': '蛮好的就是没电脑', '短评打分': 5}
{'短评内容': '在广州，160元的房价，相对价廉物美，不要太奢求享受，最主要的是宾馆地理位置很好！', '短评打分': 5}
{'短评内容': '酒店的位置不错在中心内，逛街比较方便，服务人员也不错，价格比较便宜，所以我推荐', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '位置好，房间干净，价格便宜', '短评打分': 3}
{'短评内容': '位置不错，吃东西，逛街都方便，房间还算干净，性价比高，值得推荐', '短评打分': 5}
{'短评内容': '我和家人一起住。很满意。陈家伺很近', '短评打分': 5}
{'短评内容': '位置好,价合适.', '短评打分': 5}
{'短评内容': '整体还好', '短评打分': 5}
{'短评内容': '酒店太破旧了，卫生也差，除了价钱便宜想不到其他好的', '短评打分': 1}
{'短评内容': '酒店比较老旧了,设施一般,卫生服务还可以,位置离办事地点比较近不然也不会选择这家酒店.', '短评打分': 3}
{'短评内容': '还可以，值得住！', '短评打分': 5}
{'短评内容': '房间的卫生很差，设施有些陈旧，服务也很不专业，就是位置比较好，出行很方便的，性价比一般', '短评打分': 3}
{'短评内容': '位置离我要去的地方有些远,而且房间面积小,其他倒没什么', '短评打分': 3}
{'短评内容': '卫生很好,很干净,设施完善,地理位置交通方便,服务热情周到,性价比不错的酒店,值得推荐', '短评打分': 3}
{'短评内容': '卫生一般,设施有些陈旧,地理位置交通方便,靠近地铁,服务热情周到,性价比很好,下次还会入住', '短评打分': 3}
{'短评内容': '总体上还不错```很干净```服务态度不错```', '短评打分': 5}
{'短评内容': '地理位置离市中心有些远但是很安静，我住的单人大床房还可以，设施很一般，卫生服务还可以。', '短评打分': 3}
{'短评内容': '地理位置很好，附近有不少传统实惠的西关小吃。只是酒店的设施比较差，需要更新！', '短评打分': 5}
{'短评内容': '需要重新投资更换设施。', '短评打分': 1}
{'短评内容': '忘记说了。没有刷卡机，所以只能付现金，不是很方便。。。', '短评打分': 3}
{'短评内容': '还可以。交通方便。', '短评打分': 5}
{'短评内容': '建议损坏的设施请及时更换，陈旧点没关系。增加pos机。', '短评打分': 3}
{'短评内容': '位置还算好，没有pos机，所以不能刷卡，网络慢。', '短评打分': 1}
{'短评内容': '当时我到酒店之后我原先订的房型没有后来就给我升级了当时我住的房间感觉还是挺不错的,价格还是按原先的价格收的,服务还是很到位的,周围的环境不是太好很吵,总体感觉还是挺不错的.', '短评打分': 3}
{'短评内容': '出行还是很方便的，房间还算比较干净，卫生和设施还是不错的，服务也还好。我觉得这家酒店性价比还是不错的，值得推荐', '短评打分': 3}
{'短评内容': '相对于这个价位，还可以的。', '短评打分': 5}
{'短评内容': '相对而言还是比较便宜一些，位置还算方便，至少酒店的硬件软件也不想发表什么言论。总之可以将就一住！', '短评打分': 1}
{'短评内容': '是家老酒店了,位置不错,大堂的设施有些陈旧了,房间内的环境还是不错的,价格也很合适.', '短评打分': 5}
{'短评内容': '感觉一般吧，主要是环境不太好。', '短评打分': 5}
{'短评内容': '酒店交通较为方便，设施尚可', '短评打分': 5}
{'短评内容': '服务生的服务态度不是很好', '短评打分': 5}
{'短评内容': '酒店的设施比较陈旧了,去酒店的时候房门是坏的,酒店的服务卫生都可以的', '短评打分': 1}
