{'短评内容': '不错地方难找了点！', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '目前是淡季，酒店入住的客人很少，酒店比较干净，酒店餐馆的菜品很新鲜，味道鲜美。', '短评打分': 4}
{'短评内容': '酒店设施一般，周边无任何配套，无车无法出行，离景区较远', '短评打分': 2}
{'短评内容': '酒店算不上好，也不算坏，物有所值', '短评打分': 4}
{'短评内容': '交通太不方便了。其它还行，毕竟这个价格。', '短评打分': 4}
{'短评内容': '帮出差同事订的，说还不错', '短评打分': 5}
{'短评内容': '还不错的酒店，环境很好', '短评打分': 3}
{'短评内容': '森林之中，世外桃源，酒店的空气可以说非常新鲜，离仙女湖大约4公里，可以享受宁静的夜晚。', '短评打分': 3}
{'短评内容': '仙女湖凤凰山庄区域位置极好，紧邻湖边，而且景致漂亮，早上起来空气有丝丝甜味。卫生条件也相对不错，整洁干净。有二个问题需要改进。一是前台服务员的嗓音较大，一楼的客人有些嫌吵。二是提供早点的饭店不是太干净。', '短评打分': 4}
{'短评内容': '环境不错，离景区近，空气好。早餐简单了些。', '短评打分': 3}
{'短评内容': '一楼蚊虫太多，住宿的床只有一米宽', '短评打分': 3}
{'短评内容': '酒店还不错，不过设施少了点，呆着比较无聊，不是自驾的就别去了，不方便，离仙女湖码头大约3公里', '短评打分': 5}
{'短评内容': '酒店还不错。', '短评打分': 3}
