{'短评内容': '提前几天预定了酒店，下午快17：00入住，前台告诉我房间要打扫卫生，需要等候半小时。很奇怪打扫房间需要这么久的时间。不过也没太大关系。等了半个多小时，进到房间里，满地垃圾，房间根本没有打扫，最奇怪的是根本没有服务员。打前台电话，说已经给服务员说了，又等了近10分钟，还是没有服务员，很恼火。再打电话，说服务员很快上来。过了一会儿，终于等到了。房间打扫卫生，需要等候，可以理解，但客人已经入住，这个房间', '短评打分': 3}
{'短评内容': '地理环境方便购物。早餐比较丰富。房间环境不错就是卫生间总有下水道的味道，洗澡水下水有积水不流畅。', '短评打分': 4}
{'短评内容': '酒店在商业区，购物吃饭很方便，就是停车场有点小。酒店房间挺大，设施也不错，满意！', '短评打分': 5}
{'短评内容': '很好，性价比也高，下回还会来', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店风格比较时尚，四星标准。早餐还可以，房间很大床也很舒服，酒店位置在新城区繁华地段，吃喝玩乐都有，总体感觉不错', '短评打分': 5}
{'短评内容': '挺好的～方便有超市～', '短评打分': 5}
{'短评内容': '房间整洁舒适，宽敞，服务挺好的，有免费喝的茶叶和咖啡，还有矿泉水，交通便利，离商业街很近的，希望有机会还会来住。', '短评打分': 5}
{'短评内容': '很好很不错的酒店，环境不错，态度好。', '短评打分': 5}
{'短评内容': '不错每次都选择住这儿', '短评打分': 5}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '不错挺好的，离商业区很近', '短评打分': 5}
{'短评内容': '嗯嗯嗯嗯嗯好好好好好', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '很一般', '短评打分': 3}
{'短评内容': '不错啊', '短评打分': 5}
{'短评内容': '好好', '短评打分': 5}
{'短评内容': '前台服务态度……呵呵呵', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很不错的房间', '短评打分': 4}
{'短评内容': '很好的酒店，住了三天！下次来还住这。', '短评打分': 5}
{'短评内容': '很好的酒店，住了三天！下次来还住这。', '短评打分': 5}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '挺好的', '短评打分': 4}
{'短评内容': '花快捷的钱住了一次五星级，感觉很好.除了空调不是中央和五星真的没区别.', '短评打分': 5}
{'短评内容': '酒店位置离出差地近，周边餐饮方便，离沃尔玛近，购物也。', '短评打分': 4}
{'短评内容': '来阳泉首选', '短评打分': 5}
