{'短评内容': '停车位多，酒店圆床还是不错，安静', '短评打分': 5}
{'短评内容': '环境卫生很好', '短评打分': 5}
{'短评内容': '酒店性价比不错，挺干净。', '短评打分': 5}
{'短评内容': '非常不错！', '短评打分': 5}
{'短评内容': '无早餐', '短评打分': 5}
{'短评内容': '我就五个字', '短评打分': 5}
{'短评内容': '房间超大，就是灯光太暗了化妆不好画', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '地理位置不错！房间的洗浴用品不错！', '短评打分': 5}
{'短评内容': '出乎意料，真正的超值，凌晨有点小吵。推荐', '短评打分': 5}
{'短评内容': '交通方便，价格合适', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '酒店总体还可以，就是很难打到车', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错，房间很大，就是电脑网速慢！', '短评打分': 5}
{'短评内容': '设施陈旧！不是客户建议不会入住！', '短评打分': 2}
{'短评内容': '临时预订的，服务很好，很快就确认入住了。', '短评打分': 5}
{'短评内容': '还不错！下次一定去支持', '短评打分': 4}
