{'短评内容': '不错，干净，方便', '短评打分': 5}
{'短评内容': '这家开了很久了交通便利离草堂和浣花溪公园很近.楼上还有茶楼餐厅很不错', '短评打分': 4}
{'短评内容': '还可以，早餐不错，有白粥什么的', '短评打分': 4}
{'短评内容': '早餐还可以，有热菜，还有煎蛋，挺好。房间也比较大，干净卫生，门口就是杜甫草堂，交通非常方便，来成都住这性价比高', '短评打分': 5}
{'短评内容': '还好。位置不错', '短评打分': 4}
{'短评内容': '还好，噪音有点大，房间不隔音', '短评打分': 4}
{'短评内容': '交通便利，旁边就是杜甫草堂，很好', '短评打分': 5}
{'短评内容': '想去杜甫草堂，发现就在草堂北门，很方便。旁边还有个古玩市场。上午玩草堂，中午回来退房。公交方便，直接坐到太古里', '短评打分': 4}
{'短评内容': '洗澡水流一地', '短评打分': 3}
{'短评内容': '酒店位置好，就在杜甫草堂旁边，而且环境也不错，价格略贵', '短评打分': 5}
{'短评内容': '酒店位置好，就在杜甫草堂旁边，而且环境也不错，价格略贵', '短评打分': 5}
{'短评内容': '一般了，没什么特色', '短评打分': 4}
{'短评内容': '总体不错。', '短评打分': 5}
{'短评内容': '环境好！离草堂五十米吧！性价比超级高！', '短评打分': 5}
{'短评内容': '房间卫生不是很好！', '短评打分': 3}
{'短评内容': '环境不错，服务态度也好，又延住了一晚', '短评打分': 5}
{'短评内容': '酒店服务态度不错，里面也很干净，给个赞！', '短评打分': 5}
