{'短评内容': '没有去住。。。。。。。', '短评打分': 5}
{'短评内容': '好评！房间宽敞，卫生干净，服务态度好。', '短评打分': 5}
{'短评内容': '不错呀', '短评打分': 5}
{'短评内容': '有早餐没空吃，为了到医院做检查订的房，就在省中医院对面，很方便，性价比高，妈妈很满意。落下有喝早茶的地方。', '短评打分': 5}
{'短评内容': '这次的房间比较吵，对着个厨房的烟囱，隔音不好，被半夜回来的其他旅客吵醒，还有花洒的热水时冷时热，没上次住得舒适，不过空间比上次大。', '短评打分': 5}
{'短评内容': '已经住了好几次，设备挺好的，服务也不错', '短评打分': 4}
{'短评内容': '整体不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '大床就是两张单人床拼一起的。隔音太差，吵死了。', '短评打分': 3}
{'短评内容': '方便实惠。', '短评打分': 5}
{'短评内容': '还不错，就是电视机才有几个台，', '短评打分': 5}
{'短评内容': '处在旧城区，周围环境一般，内部装修还可以，地点还算便利&hellip;&hellip;', '短评打分': 5}
{'短评内容': '每次出差都来这里，非常好', '短评打分': 5}
{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '位置就在省中医院对面。旁边吃饭也方便。价格对比很好。', '短评打分': 5}
{'短评内容': '替岳父订的房间，不错的！去省中医看病探病就住这里方便！', '短评打分': 5}
{'短评内容': '地理位置优越，对面是广东省中医院，非常方便，环境不错，被子太轻薄了，如果其他人入住可以让前台多给被子，要不然有些冷。', '短评打分': 5}
{'短评内容': '同等价位、位置下，是不错选择。服务要好些、有简易早餐。', '短评打分': 3}
{'短评内容': '就医方便', '短评打分': 4}
{'短评内容': '还好，就是吹风机没插座，有插座吹风机的线太短，照不到镜子', '短评打分': 5}
{'短评内容': '位置不错，服务态度好！', '短评打分': 5}
{'短评内容': '服务、卫生、周边环境都到位，如房间有衣柜就更完美。', '短评打分': 5}
{'短评内容': '前台服务态度真的很差，电视画面布满雪花，隔音差，', '短评打分': 1}
{'短评内容': '電梯卡不錯比較安全', '短评打分': 3}
{'短评内容': '订了商务大床房，但夜间入住后，电脑用不了，打前台却说夜班只有她一个人上班，最终都用不上电脑。而我定了这类房间是为了方便用一下电脑，希望能改进这个缺漏。酒店其他，还不错。', '短评打分': 5}
{'短评内容': '环境卫生可以，服务一般，要是团购价139还比较值，两百多的话个人觉得稍贵，最主要的是，蚊子太多了，喂了一晚上血，早上起来几初红肿，怕怕！！下次不会入住', '短评打分': 1}
{'短评内容': '房间可以，就是离地铁远', '短评打分': 3}
{'短评内容': '酒店还不错，离上下九步行街很近！就是离地铁口远了点~环境还可以！', '短评打分': 5}
{'短评内容': '去省中医院最方便，就是面对面', '短评打分': 3}
{'短评内容': '簡單，舒服！不過剛進房有煙味', '短评打分': 3}
{'短评内容': '卫生干净', '短评打分': 3}
{'短评内容': '酒店環境, 衛生好,房大。 交通方面, 早餐健康餐非常好, 只是床硬一些', '短评打分': 5}
