{'短评内容': '前台夜间服务太让人失望了。', '短评打分': 3}
{'短评内容': '床很舒服，房间干净，卫生，就是中央空调好像是坏的！价格有点偏贵，三人同行的话，三人间价格还行，网 订，不含早餐，有点郁闷！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '升级了，非常棒。', '短评打分': 4}
{'短评内容': '新装酒店，还不错，关键位置好，吃饭方便！', '短评打分': 5}
{'短评内容': '还行吧，睡的舒服。', '短评打分': 4}
{'短评内容': '差', '短评打分': 2}
{'短评内容': '酒店网络太差，经常中断，外面有点吵，房间洗漱用品啥的全部要收费，幸好我自己带了。酒店设施还行。位置不错。估计因为网络问题下次不会再住，性价比一般。', '短评打分': 4}
{'短评内容': '不错，睡得很好', '短评打分': 5}
{'短评内容': '靠近车站是最大的优点，其余说不上。', '短评打分': 4}
{'短评内容': '服务态度好，热情周到，在线预订快。', '短评打分': 5}
{'短评内容': '来湖南住的最舒服的就是在凯旋这两天，床的硬度和家里的一样，被褥干净，房间整洁。退房后行李还在在酒店寄放了两天。', '短评打分': 5}
{'短评内容': '还不错，房间挺大的，一家三口都可以入住，还是挺方便的', '短评打分': 5}
{'短评内容': '酒店服务还说的过去，但是房间环境差，而且很多房间的空调都有很大的噪音，影响休息，', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '房间很大，卫生不敢恭维，不会再去', '短评打分': 2}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还不错~还不错~还不错~还不错~还不错~还不错~还不错~还不错~还不错~还不错~还不错~还不错~还不错~还不错~还不错~还不错~还不错~还不错~', '短评打分': 5}
{'短评内容': '不错~不错~不错~不错~不错~不错~不错~不错~不错~不错~不错~不错~不错~不错~不错~不错~不错~不错~', '短评打分': 5}
{'短评内容': '酒店挺干净的，单从性价比看还可以！不过想要住的舒服些，服务好些就不要选它了。', '短评打分': 1}
{'短评内容': '酒店挺干净的，单从性价比看还可以！不过想要住的舒服些，服务好些就不要选它了。', '短评打分': 1}
{'短评内容': '不错 性价比高不错 性价比高不错 性价比高不错 性价比高不错 性价比高不错 性价比高', '短评打分': 5}
{'短评内容': '房间空旷比较宽敞…总体一般般…不够干净的感觉', '短评打分': 3}
{'短评内容': '凯旋酒店环境不错，价格也实惠，是个不错的选择哦！', '短评打分': 3}
{'短评内容': '环境一般，很一般，没有东西卖。很一般 很一般', '短评打分': 5}
{'短评内容': '酒店的价格，旅馆的装修，连个牙刷都要付费。另外补充一下，周围的两家吃饭的黑店：衡山菜馆，津市湘菜馆。衡山菜馆擅长点钞术，当你面数过的钞票，再数一次就会少几张。津市湘菜馆擅长换钞术，首先将你的钞票极巧妙地捏掉一个小角，让你换，等你另行换一张钞票给他时，立即有人跑过来说少个角的也可以收，于是他将你换给他的钞票还回，此时，还给你的就是假钞了。', '短评打分': 1}
{'短评内容': '酒店的价格，旅馆的装修，连个牙刷都是要钱的。', '短评打分': 1}
{'短评内容': '酒店的价格和条件差很多!服务员的态度很是一般!', '短评打分': 1}
{'短评内容': '酒店还可以。就是服务一般。', '短评打分': 3}
{'短评内容': '交通相当方便，靠近火车站，不过等电梯等得太久', '短评打分': 5}
{'短评内容': '还不错啊，位置好，散团就在门口集合！挺方便的', '短评打分': 5}
{'短评内容': '位置不错，酒店设施较完备！有电话。。。。', '短评打分': 5}
{'短评内容': '整体不错，以后来湖南长沙还住这家店，位置也很好。', '短评打分': 5}
{'短评内容': '酒店環境還可以交通還算方便建議可以考慮入住\n酒店環境還可以交通還算方便建議可以考慮入住', '短评打分': 1}
{'短评内容': '酒店環境還可以交通還算方便不考慮入住\n酒店環境還可以交通還算方便不考慮入住', '短评打分': 1}
{'短评内容': '房间挺大，但有点老了。服务不够专业', '短评打分': 3}
{'短评内容': '＋一般', '短评打分': 3}
{'短评内容': '位置比较方便，其他的一般般，下次希望能配备一些简易的洗漱用品。', '短评打分': 5}
{'短评内容': '酒店还不错，价格也不贵，就是洗手间什么东西都没配，连洗发水沐浴露都没有，太让人失望了。', '短评打分': 5}
{'短评内容': '走进屋里就有一股臭味，空调开会就坏了，窗户外面是走廊，又不能开窗，网也上不了，回答工作人员已下班。洗漱用品单独收费。', '短评打分': 3}
{'短评内容': '住过最差的酒店，停电，环境也差！退房速度超慢，', '短评打分': 1}
{'短评内容': '酒店紧邻长沙火车站，交通十分便利，环境一般，有点吵，服务态度很好。', '短评打分': 5}
{'短评内容': '房间挺大的，离火车站很近，比较方便，就是有点嘈杂。', '短评打分': 5}
{'短评内容': '酒店隔音效果太差，半夜打麻将，说话全能听见，影响休息', '短评打分': 1}
{'短评内容': '不错物美价廉', '短评打分': 3}
{'短评内容': '该酒店交通方便，环境还是不错的，最重要是离火车站近，很方便，唯一缺点是晚上有火车鸣笛声！', '短评打分': 5}
{'短评内容': '房间还行，电梯混乘很慢人很杂。', '短评打分': 3}
{'短评内容': '感觉一般，隔壁的房子住的客人太吵，是不是隔音效果不太好啊？', '短评打分': 1}
{'短评内容': '    酒店环境很好，但是我早上不是自己睡好了醒来的！而是被外面不知道是服务员还是其他人给吵醒来的啊...', '短评打分': 1}
{'短评内容': ' 酒店很差,墙皮都脱落了,下水不畅,电梯高峰期要等半个小时,而且全天都很吵。', '短评打分': 3}
{'短评内容': '凯旋酒店设施一般，最大的缺点就是位置在火车站旁边，实在太吵闹了，睡不着觉，应该考虑安装隔音窗帘。', '短评打分': 3}
{'短评内容': '室内房间非常宽敞明亮，房间比较大。但是房间里没有餐巾纸。需要添加一部分。谢谢', '短评打分': 5}
{'短评内容': '价格实惠，地段很好。但装修与设施太差', '短评打分': 3}
{'短评内容': '还好了。价格很实惠，就是在火车站感觉有点吵，为生挺好的，服务也挺好的。', '短评打分': 5}
{'短评内容': '凯旋大酒店面对长沙火车站（站前修地铁，交通单行线），离民航班车站点也近。酒店房间尚可，装修一般。餐厅不提供早餐，只有午、晚餐可用。', '短评打分': 5}
{'短评内容': '交通方便，卫生一般，服务还可以，就是人太多了，酒店是和其他的公司在一起的\n', '短评打分': 5}
{'短评内容': '设备很旧，房间卫生一般，卫生间设计不合理，除了地理位置好，其他哪点都不怎么好', '短评打分': 5}
{'短评内容': '距离电脑城很近，很热闹。到站前路边上一个小区空地上有很多家大排挡，吃饭不错。有兰州拉面、蒸菜等等。据同伴说味道很正宗。', '短评打分': 3}
{'短评内容': '火车声音能听得到，有些吵。周围环境一般，没有什么逛街的地方。人员有些杂。', '短评打分': 3}
{'短评内容': '凯旋酒店距离火车站很近，距离电脑城很近，优点是搭乘火车或者公共汽车方便，采购电脑城的东西方便。晚上有些吵，噪音有点大。', '短评打分': 5}
{'短评内容': '很好，很便宜，酒店也很大！很干净。', '短评打分': 5}
{'短评内容': '交通方便，离火车站很近。不足之处是不能用银行卡结账，不主动给客人开具发票。', '短评打分': 5}
{'短评内容': '房间很大,卫生很好,下楼过马路就可以买火车票,还可以上网,就是设施有些坏了.', '短评打分': 5}
{'短评内容': '\r\n    门店就在火车站售票厅对面，交通非常便!\r\n\r\n    对于火车中转或者来电脑城购物的外地朋友来说，特别方便！\r\n\r\n    房间比我想像中的大，只是中央空调被柜机所代替，由于本栋写字楼公司比较多，下楼电梯非常难等！最好不要在中午、下午下班时间下楼。\r\n\r\n    要是有早餐免费赠送就更好了！\r\n', '短评打分': 3}
{'短评内容': '比想像中的空间更大、更舒适。只是没有中央空调，不过有独立柜机。很满意！', '短评打分': 5}
{'短评内容': '就在火车站对面左手边,很醒目,容易找.对于深夜到达的客人来说,十分方便.\r\n我定的是三人间,房间不错,但是卫生间较小,尤其是淋浴的龙头就在门背后,而且完全没有可以遮挡的帘子,对面就是洗手台,而马桶却在最里面,一人洗澡,弄得满地是水,别人要上个厕所只能等待,这一点不太满意.', '短评打分': 5}
{'短评内容': '环境很好，服务很热情，房间整洁舒适，价格也公道，住的很满意。', '短评打分': 5}
{'短评内容': '此酒店位置非常不错，就在火车站售票处对面。就是没有免费指导洗漱用品，五元一份', '短评打分': 5}
{'短评内容': '整个的接待服务还不错 ，就是住的房间里有一股很浓的霉味，一晚上基本上没有睡着，与期待的三星不是很理想，感觉不好。', '短评打分': 1}
{'短评内容': '房间里很干净，设施很齐全很实用，感觉很舒适。', '短评打分': 5}
{'短评内容': '价格实惠，房间干净舒适，出行交通便利，值得推荐。', '短评打分': 5}
{'短评内容': '上不了网络，位置很好找就在火车站对面，房间是比较大一些但是挺一般的。价格的也有些贵了其他的都很一般。', '短评打分': 1}
{'短评内容': '与很多的公司在一起，上下电梯需要等很长时间', '短评打分': 5}
{'短评内容': '位置不错，离火车站挺近的，周边交通也挺便利，赶火车还是蛮方便的。', '短评打分': 5}
{'短评内容': '设施有些陈旧，但是比较齐全，该有的都有，还有配备电脑的房间，感觉还是挺方便的。', '短评打分': 5}
{'短评内容': '酒店提倡环保，不提供一次性的洗漱用品。我感觉用自己的挺好。', '短评打分': 5}
{'短评内容': '这家酒店楼层很好，空气很新鲜，还有旋转形式的餐厅，感觉挺不错的。', '短评打分': 5}
{'短评内容': '设施老旧，像是办公室改装的宿舍，不过服务员的态度良好。', '短评打分': 1}
{'短评内容': '位置不错，出行挺便利的，价格也挺实惠的，感觉还不错。', '短评打分': 5}
{'短评内容': '出行非常方便，酒店设施一般般。', '短评打分': 5}
