{'短评内容': '还可以，价格实在', '短评打分': 5}
{'短评内容': '不错的酒店，靠海边近，出行方便。', '短评打分': 5}
{'短评内容': '半夜到的 前台是一个小伙接待 我就纳闷了 我是给你们送钱的 不至于带搭不理的态度吧 太差劲了', '短评打分': 3}
{'短评内容': '干净卫生', '短评打分': 5}
{'短评内容': '出行方便快捷。', '短评打分': 5}
{'短评内容': '一般般，公路旁，噪音污染', '短评打分': 3}
{'短评内容': '常住的酒店，这次入住感觉房间装修有些陈旧，细节之处有些禁不住打量。早餐一成不变，无功无过。', '短评打分': 4}
{'短评内容': '不错的位置酒店', '短评打分': 4}
{'短评内容': '非常满意，很好！', '短评打分': 5}
{'短评内容': '酒店位置离海比较近，周边都是大学，前边河北大街为秦皇岛第一主街，酒店设施不错，冬季为秦皇岛淡季 ，性价比高。', '短评打分': 4}
{'短评内容': '好好好好好好', '短评打分': 5}
{'短评内容': '挺好挺好挺好', '短评打分': 5}
{'短评内容': '不错的酒店，干净也不吵', '短评打分': 5}
{'短评内容': '还不错，很干净，装修也可以。早餐凑合！性价比不错！', '短评打分': 5}
{'短评内容': '环境挺好', '短评打分': 4}
{'短评内容': '酒店位于海边附近，周边交通方便，现在是冬季，入住性价比较高。此房型房间非常大，很豪华，酒店集餐饮一体，非常便利。  ', '短评打分': 4}
{'短评内容': '酒店位于海边附近，装修还可以，房间很大，现在入住性价比很高。附近还有吃海鲜的地方，适合出游及出差者入住。经常入住该酒店。', '短评打分': 4}
{'短评内容': '酒店名称:秦皇岛如意山海酒店', '短评打分': 5}
{'短评内容': '有点旧！总体还可以！餐饮也可以，请客户吃饭，客户觉得还不错!', '短评打分': 1}
{'短评内容': '服务态度好,房间大,地毯太旧,早餐比锦江之星略好一些,希望多改进,总体基本满意.', '短评打分': 3}
{'短评内容': '符合四星酒店的标准，房间干净，陈设大气。住得豪华大床，床很舒服。\n免费赠的双早也品种丰富。最喜欢的还是酒店给准备的浴袍。', '短评打分': 5}
{'短评内容': '早餐太差，位置还行，离海边不太远，但是步行还是略累，需要开车', '短评打分': 1}
{'短评内容': '酒店位置还可以 离海边不远 就是早餐太差 希望有所提高', '短评打分': 3}
