{'短评内容': '挺好', '短评打分': 5}
{'短评内容': ' 好好好好', '短评打分': 5}
{'短评内容': '很好啊恩', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 4}
{'短评内容': '666不错', '短评打分': 5}
{'短评内容': '呃呃', '短评打分': 5}
{'短评内容': '挺不错的', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店服务很好，设置也很干淨整齐，住宿安全放心，可以放心入住', '短评打分': 5}
{'短评内容': '非常不错！', '短评打分': 5}
{'短评内容': '还不错哦，窗子会有点小', '短评打分': 4}
{'短评内容': '住著像一般旅社一樣！ 價錢和房間根本不符合！ 差評！ 房間很小！', '短评打分': 2}
{'短评内容': '一般吧', '短评打分': 3}
{'短评内容': '房间小了点，其他都ok', '短评打分': 3}
{'短评内容': '环境还不错，单间性价比还可以?', '短评打分': 5}
{'短评内容': '还行，价格在这里', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '价格便宜，还可以', '短评打分': 3}
{'短评内容': '价格比较周边来说很不错了，就是不太满意房间空调，太不给力了，制热很差劲，总体性价比马马虎虎', '短评打分': 4}
{'短评内容': '莫泰连锁一如既往的干净整洁,出行比较便捷（待阜阳路高架施工完毕，交通状态那就更好了）,从酒店到火车站都很方便。因为出差, 所以干净整洁的环境感觉很舒适。还有子墨的早餐供应，性价比较高。', '短评打分': 1}
{'短评内容': '莫泰168（合肥蒙城北路店）经济实惠、交通也比较便利（但是由于阜阳路施工，门口高峰期比较拥堵）', '短评打分': 1}
{'短评内容': '该酒店比较干净，距离火车站比较近~~交通方便，楼下吃的比较多', '短评打分': 5}
{'短评内容': '价格不错，服务也还可以，不过有极个别蚊子，建议发放蚊香片，另外空调每隔10分钟会咯咯响，建议定期进行检修！', '短评打分': 5}
{'短评内容': '还可以不过怎么我每次去给我的房型都好差。', '短评打分': 5}
{'短评内容': '很干净,服务好,下次还来', '短评打分': 3}
{'短评内容': '还行，但空间不大，房间挺干净，住着比较舒适', '短评打分': 5}
{'短评内容': '前台服务一般，房间别人说有点小，我感觉挺好的。早晨在对面的豆浆店，不远不过有点麻烦，不过味道不错！', '短评打分': 5}
{'短评内容': '真让人无奈，说是距合工大直线距离500多米，真的很直线，从合工大打车过去用了将近15分钟，差点没找崩溃。', '短评打分': 3}
{'短评内容': ' 服务、环境、条件都还不错。不过卫生间没有毛巾架很奇怪，另外地面排水显然是贴地砖的时候没考虑好一一淋浴房没问题。总体还好，推荐。', '短评打分': 3}
{'短评内容': '价格不错，只是发现住在6楼晚上还是有点吵', '短评打分': 5}
{'短评内容': '卫生服务都挺不错，会常来的，早点也不错的哦\n', '短评打分': 5}
{'短评内容': ' 感觉一般，没窗子，房间很暗，隔音效果很差，走廊有人说话都听的很清楚。', '短评打分': 3}
{'短评内容': '还不错，靠小区的那边蛮安静的。前台服务的态度也很好', '短评打分': 5}
{'短评内容': '环境和交通都还可以，离火车站和市中心都很近，服务不太好', '短评打分': 5}
{'短评内容': '非常糟糕的一家店，居然有性保健用品 瞬间觉得来到了乡村酒店啊！晚上隔音巨差，不堪入耳的声音此起彼伏，枕头上居然有脚印 太恶心了  唯一还将就的是卫生间的设计！莫泰这样搞 总有一天会自讨苦吃的', '短评打分': 1}
{'短评内容': '厕所还可以，特价无窗房间比较小  下次去换大的 服务也还可以', '短评打分': 5}
{'短评内容': ' 交通方便。很好', '短评打分': 3}
{'短评内容': '环境还可以，挺卫生的，就是有点吵~~~~~~~~~', '短评打分': 5}
{'短评内容': '六楼的园床房还行吧，对的起这价格。也许我在那房型不好。是斜的。', '短评打分': 5}
{'短评内容': '房间很新，不过感觉房间有点小。楼层底的房间，晚上睡觉有点吵，隔音效果也不是很好。', '短评打分': 5}
{'短评内容': '160的价位还是不错的距离市中心步行街也不远', '短评打分': 5}
{'短评内容': '整体感觉挺好的，就是房间布局可能不是很合理，一进门就是床，外面过道的声音容易影响休息。', '短评打分': 5}
{'短评内容': '特价房间小了点。建议汉族别的房型。该有的东西都有了，也挺好找！', '短评打分': 5}
{'短评内容': '挺干净的~很安静~早餐不错~电梯常常坏掉- -。', '短评打分': 5}
{'短评内容': '房间有点小，但是交通比较方便，总体来说还是不错的', '短评打分': 3}
{'短评内容': '服务需要同步 要及时打扫卫生 其他还不错啦 ', '短评打分': 5}
{'短评内容': '交通便利，价格尚可，有很多小吃可以选择，也可送到房间（收取10%服务费）。房间内有休闲中心的牌子，不过并没有骚扰电话，如果需要自己打电话，非常好。哈哈', '短评打分': 5}
{'短评内容': '房间环境及卫生一般。比想象的情况差多了。', '短评打分': 3}
{'短评内容': '酒店不错，很干净。周围吃饭交通很方便。', '短评打分': 3}
{'短评内容': '价位合理，装修风格较好，值得推荐', '短评打分': 3}
{'短评内容': ' ok', '短评打分': 3}
{'短评内容': '酒店交通还算便利，卫生间的淋浴房设计不合理，经济型酒店价位比较优惠', '短评打分': 5}
{'短评内容': '服务态度不错！！里边环境还好！就是有点临街，开窗户的话外面太吵了', '短评打分': 5}
{'短评内容': '还凑合吧。', '短评打分': 3}
{'短评内容': '还可以。', '短评打分': 3}
{'短评内容': '有点旧。没有吹风机。地毯有点脏。就这些。', '短评打分': 5}
{'短评内容': '有点旧。没有吹风机。地毯不干净。就这样。', '短评打分': 5}
{'短评内容': '交通便利, 服务好! 很十净, 很安静.', '短评打分': 5}
{'短评内容': '交通便利, 酒足饭饱店很干净, 很安静. 168特价房一如既往的空间小一些,\n但对得起这个价格', '短评打分': 5}
{'短评内容': ' 服务很好', '短评打分': 3}
{'短评内容': '还不错,挺干净的，虽然地方不大，但是很卫生，服务也不错', '短评打分': 5}
{'短评内容': '床单有点脏！', '短评打分': 3}
{'短评内容': '环境很好，很安静..基本布置不错..下次去合肥还会继续入住..', '短评打分': 5}
{'短评内容': '非常不错！', '短评打分': 3}
{'短评内容': '房间 内设施还比较干爽，希望可以保持，整体清洁度基本满意', '短评打分': 5}
{'短评内容': '离家近，朋友来了住不下可以考虑\n房间太小。', '短评打分': 5}
{'短评内容': '不错.挺干净的.下次出差,还会订这个酒店.也会向朋友推荐它.', '短评打分': 5}
{'短评内容': '感觉不错，赠送的早餐还行。简单点几个小菜价格不贵味道很好。', '短评打分': 5}
{'短评内容': '服务热情，干净卫生，交通便利，早餐再免费就更好啦。', '短评打分': 5}
{'短评内容': '小了点，感觉太紧，环境还行，有电脑上网，就是有点远离市区', '短评打分': 5}
{'短评内容': '前台服务态度不错!房间比较干净.第一印象较好!', '短评打分': 5}
{'短评内容': '入住的莫泰酒店好小啊…不过卫生很干净的', '短评打分': 5}
{'短评内容': '毛巾有血渍，被子上起毛球了，房间也很小。不过房间长途市话都是免费，服务也不错', '短评打分': 5}
{'短评内容': '房间隔音效果很差。第一次住的房间有异味，本以为是空调的味道结果坚持了3小时感觉头疼要求换房，服务员的服务态度还是很好的。停车很不方便，没有独立停车场。', '短评打分': 1}
{'短评内容': '还不错 就是房间味儿有点重', '短评打分': 5}
{'短评内容': '优点：\r\n电视能收到凤凰咨询台，LOTUS电影台\r\n\r\n缺点：\r\n\r\n房间太小', '短评打分': 3}
{'短评内容': '\r\n缺点：\r\n房间太小了。几乎转不动身体\r\n优点：\r\n电视是液晶的', '短评打分': 1}
{'短评内容': '不错，就是退房时间延迟到下午13点和网站上说的14点不符。。', '短评打分': 5}
{'短评内容': '这个酒店不错，性价比在合肥相当好了。合肥的酒店总体水平比较差。另：门口的保安人也挺好！', '短评打分': 3}
{'短评内容': '这个酒店不错，在合肥经济型酒店，我觉得这个是最佳性价比了', '短评打分': 3}
{'短评内容': '很好的莫泰，经常住啊！除了停车不是很方便外，其它都很好。', '短评打分': 5}
{'短评内容': '这里卫生服务都不错，除了位置有点点偏之外。性价比我觉得合肥也难出其右了。', '短评打分': 5}
{'短评内容': '酒店很新，服务不错，离市中心6站公交车，比较方便。总体感觉很好。', '短评打分': 3}
{'短评内容': '硬件设施很齐全，服务很好，卫生条件也不错，住宿环境蛮好的', '短评打分': 5}
{'短评内容': '卫生设施还可以，价格和别的莫泰', '短评打分': 1}
{'短评内容': '酒店位置还可以，出行蛮方便的，附近交通还可以', '短评打分': 5}
{'短评内容': '酒店的服务很不错，服务员都很周到热情，随叫随到，住着还算舒服', '短评打分': 5}
{'短评内容': ' 合肥蒙城北路莫泰服务卫生均很好,离市中心六站公交。总体感觉很好', '短评打分': 5}
{'短评内容': '服务还可以~就是房间小，还不隔音~墙上发霉了~这个价格应该住的比这个好才对~~总的来说给3.5分吧！~~', '短评打分': 3}
{'短评内容': '不得不说我不会再来住。\r\n位置不好找，司机不知道不得不打电话问前台。\r\n本来想舒适些，挑了商务大床房，但最后得到答复是这样房型都是靠街，服务员说靠街都是双层玻璃，其实不是，可能就是比较厚密封好点。但那条街非常吵，司机鸣笛特别多，还有大车经过，这还是夜里12点以后。\r\n没有纯水送，反正是住的很郁闷的一次', '短评打分': 1}
