{'短评内容': '酒店位于三亚市明珠广场附近，交通非常方便，从三亚站到酒店坐10路车就可以，如果你去凤凰机场，可以坐8路公交车就可以到达。从酒店走路就可以到达小吃街，网络排名第一的嗲嗲椰子鸡就在小吃街里面。去解放路步行街也可以步行到达。酒店最近外墙在涂刷（创文明城）房间灯光明亮，设施也好，网络速度偏慢，热水速度很快。房间里面还算安静。性价比很高，值得推荐！', '短评打分': 4}
{'短评内容': '还行，主要是交通方便。', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '市区中心，交通方便。', '短评打分': 4}
{'短评内容': '环境不错，服务态度很好', '短评打分': 5}
{'短评内容': '房间有点吵，电梯可能是坏了吧！杂音很响', '短评打分': 5}
{'短评内容': '很好很好很好很好很好很好很好很好很好很好很好很好很好', '短评打分': 5}
{'短评内容': '很好很好很好很好很好很好很好很好', '短评打分': 5}
{'短评内容': '好，房间很干净，前台服务很好，棒棒哒', '短评打分': 5}
{'短评内容': '前台服务不错', '短评打分': 4}
{'短评内容': '地址位置不错，出门就是市中心', '短评打分': 4}
{'短评内容': '地址位置不错，出门就是市中心', '短评打分': 4}
{'短评内容': '如家酒店一直都是这么温馨。路段很好，逛街吃饭很方便。', '短评打分': 4}
{'短评内容': '全国如家都一样！标准SanXing', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '连续住了三天，出去一天回来房间竟然不打扫的。打电话问前台，给的回复是要提前说才打扫。', '短评打分': 3}
{'短评内容': '可以的，性价比很高，离亚龙湾海滩很近，25路公交车也可以做到，超赞的', '短评打分': 5}
{'短评内容': '二星', '短评打分': 4}
{'短评内容': '环境挺干净的', '短评打分': 4}
{'短评内容': '位于明珠广场边上，位置好', '短评打分': 4}
{'短评内容': '比较满意', '短评打分': 4}
{'短评内容': '各方面都比较到位', '短评打分': 4}
{'短评内容': '各方面都比较到位', '短评打分': 4}
{'短评内容': '各方面都比较到位', '短评打分': 4}
{'短评内容': '走到新风街步行街不远，明珠广场一楼有土特产超市，三楼有福乐佳超市，新风街步行街走过去点就是知名的旺豪超市。', '短评打分': 5}
{'短评内容': '酒店挺新的，位置很好，就在明珠广场北边一点点，旁边有肯德基（但三亚肯德基偏贵），吃饭推荐就在楼下凯米，自选式的中式快餐，有机打发票。房间卫生很好，舒适度不错。就是空调似乎会受隔壁遥控器信号的影响，会有自动开关机，温度调整的情况。酒店没有餐厅，不过还是推荐大家入住的。打车打表到亚龙湾森林公园49元，大东海广场12元左右，三亚火车站15元，都有公交坐的。', '短评打分': 5}
{'短评内容': '＋离明珠广场很近。附近有KFC和凯米快餐店，还有欣圆面包房。交通也比较便利，很好打车，旁边就有公交车站点。', '短评打分': 3}
{'短评内容': '下电梯就有一股潮湿得霉味儿，房间也感觉潮呼呼得，卫生很好。', '短评打分': 3}
{'短评内容': '服务态度好，干净', '短评打分': 3}
{'短评内容': '房间小，网速慢且不稳;交通方便，房价适当，浴室水压大，接待热情，但不会变通。建议加WIFI', '短评打分': 3}
{'短评内容': '房间有点小，但是位置不错，也很干净。', '短评打分': 3}
