{'短评内容': '比较方便 学校周边', '短评打分': 5}
{'短评内容': '总体来说可以了。有的问题就是门上的锁坏了。电视不清楚。网络稍差。洗发水和沐浴乳不够用都是一小袋一小袋的。但是进出很严比较安全', '短评打分': 4}
{'短评内容': '性价比相对很高了', '短评打分': 5}
{'短评内容': '很不错，房间装饰很好，温度也不冷，虽然是无窗，但是有一个小闯，很好。', '短评打分': 5}
{'短评内容': '位置还不错，附近有商场和停车场，和农大比较近', '短评打分': 3}
{'短评内容': '还不错，安全意识强！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '学校周期 吃的挺多的 设施一般般吧', '短评打分': 4}
{'短评内容': '离农大很近', '短评打分': 5}
{'短评内容': '这个价格性价比还不错了，房间比较大，东西也齐全，千万不要放吃的东西在房间，有小强，卫生条件有待改善！', '短评打分': 4}
{'短评内容': '最大优势临近农大，环境卫生只能说可以接受，和其他的几个比算较好的了，为了方便的可以考虑这边', '短评打分': 4}
{'短评内容': '还可以吧  旁边吃饭，购物比较方便', '短评打分': 4}
{'短评内容': '都挺好的！就是房间有点小！在北京好像房间都不大，可以理解！我住的房间屋里的空调坏了，有点不方便！其他都很好！', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '卫生条件还可以', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '便宜，还行，位置还可以', '短评打分': 4}
{'短评内容': '入住以后感觉环境还算可以，价格也还合理。就是卫生间的卫生差了点，希望以后在此方面能改进些。', '短评打分': 5}
{'短评内容': '农军宾馆环境还算不错，房内卫生不错，窗外很开阔，视野宽，光线足，沁我喜欢', '短评打分': 3}
{'短评内容': '因为办事所以定在那里，离得比较近。物美价廉，房间一般。', '短评打分': 5}
{'短评内容': '综合评价还行。周边餐饮、购物挺方便。对得起这个房价！', '短评打分': 5}
{'短评内容': '房间小，住在四楼觉得有点潮湿，隔音不好，但虽然小该有的配件还都有，相对来说还可以', '短评打分': 5}
{'短评内容': '毗邻学校和超市，交通便利，价格合理，早上比较吵，其他还不错。', '短评打分': 5}
{'短评内容': '毗邻学校和超市，交通便利，价格合理，就是早上六七点特别吵，隔音不好。', '短评打分': 5}
{'短评内容': '毗邻学校和超市，交通便利，价格合理，酒店服务也不错，挺舒适的。', '短评打分': 5}
{'短评内容': '下次再去的时候一定要注明带窗户，这次住可憋屈了。但是宾馆的工作人员都很敬业有求必应！', '短评打分': 5}
{'短评内容': '卫生条件还行，但是我订的双人房只给了我一张床。。。。。。', '短评打分': 5}
{'短评内容': '物美价廉的好去处！就是前台2了点，3个前台2个干看着，全靠一个！效率低点！', '短评打分': 5}
{'短评内容': '\n离学校近  地力位置好  购物、交通方便  ', '短评打分': 5}
{'短评内容': '地理位置很好,交通方便,但是住宿条件真的很一般,是个正规的老宾馆,住的踏实但是设施沉旧.\n', '短评打分': 3}
{'短评内容': '还可以吧这个价位，就是隔音不好，门口车位少，只能两三辆', '短评打分': 5}
{'短评内容': '住了一晚，总体感觉不行，房间不隔音，早上六七点就特别吵，根本睡不着觉。', '短评打分': 1}
{'短评内容': '＋房间有点小，没有窗子，感觉一般', '短评打分': 3}
{'短评内容': '我已经住过两次了，我和老公都感觉环境挺不错的，下次继续去住！给个好评吧！', '短评打分': 3}
{'短评内容': '帮朋友订的，说不怎么样，想换来着。我看了应该是房间小，而且创户是特别小的内窗，根本不通风不见阳光的关系吧。', '短评打分': 3}
{'短评内容': '在这个价位的酒店还算满意，房间内干净整洁，环境不错', '短评打分': 5}
{'短评内容': '位置在农大附近，周围也有超市和饭店，很方便，就是房间比较小，不是很隔音', '短评打分': 5}
{'短评内容': '不正规，票都不给。不正规，票都不给。不正规，票都不给。不正规，票都不给。不正规，票都不给。不正规，票都不给。不正规，票都不给。不正规，票都不给。不正规，票都不给。不正规，票都不给。不正规，票都不给。不正规，票都不给。不正规，票都不给。不正规，票都不给。不正规，票都不给。不正规，票都不给。不正规，票都不给。不正规，票都不给。不正规，票都不给。不正规，票都不给。不正规，票都不给。不正规，票都不给。不正', '短评打分': 1}
{'短评内容': '离着中国农大西校区很近，上课很方便；西面紧挨着百旺商场，购物很方便；周围饭店小吃也挺多，生活很方便。我们住的是豪华标准间，房间很大很宽敞很明亮，通风也很好，隔音也很好，服务也不错，总之，很满意，下次去上课还要定这个宾馆，并且推荐给大家。', '短评打分': 5}
{'短评内容': '……那么小，不是双人间吧……', '短评打分': 3}
{'短评内容': '很不错  离吃饭  住宿   校园都不远  超市就在附近   安全也不错   但是当天预定需要信用卡信息的填写很繁琐', '短评打分': 5}
{'短评内容': '屋子小店，隔音不太好，其他还行。坐公交车很方便，出门200米。', '短评打分': 5}
{'短评内容': '价格便宜，距离中国农业大学很近，出门走大概200米有公交站点，还算方便。隔音效果差点，其他还不错', '短评打分': 5}
{'短评内容': '宾馆破旧，服务态度还极差，连水单也没有！', '短评打分': 3}
