{'短评内容': '非常好，下次还选他家，值得信赖！', '短评打分': 5}
{'短评内容': '确实如评论所说，老板服务态度非常好，包接送，晚上十点多才到，还准备热腾腾的饭菜，赞', '短评打分': 5}
{'短评内容': '老板很热情，环境不错，感觉很值，挺不错的', '短评打分': 5}
{'短评内容': '酒店老板很热情，位置靠近半山腰，离景区公交点走路只需要几分钟，挺方便的！', '短评打分': 5}
{'短评内容': '多次订购，老板一家都非常热情，老板娘煮的菜也好吃，推荐他家的鸡，鱼和蛙，这是我们每次去必点的。大赞', '短评打分': 5}
{'短评内容': '挺好的，干净，安静。下次还会选择。', '短评打分': 5}
{'短评内容': '谢谢房东热情贴心的招待！师傅还到牌坊接我们带我们上山到家里，不然真不会找路。傍晚突然下暴雨，美女掌柜还特地给我发信息打电话，最后师傅还开车来接我们，心里暖暖的。最后我们走的时候赶车店主也超级贴心到位，超级赞！美女掌柜做的饭菜好好吃很香我们现在还在回味呢！总结一句，衡山很适合带父母来～下次还住这。祝生意兴隆！', '短评打分': 5}
{'短评内容': '和老公出来旅游的。不错。价格实惠。环境又好。很满意', '短评打分': 5}
{'短评内容': '房间和图片很符合，作为农家乐确实不错，热水够热，也提供暖气，老板家饭菜饭量很足，老板人很好，负责下山接送，我们要去赶早上7点的客车老板也帮我们送下山，真的太好人了。就是wifi有点不稳定，山上联通手机信号不强，但是移动的还可以。总之住的很满意！', '短评打分': 5}
{'短评内容': '老板很热情，去的时候去接，走的时候又送到车站。', '短评打分': 5}
{'短评内容': '今年国庆到衡山幸运选择了假日山庄，房间整洁，干净，釆光好，2楼的露台非常适合看看书，打牌下棋，山中空气凊新凉爽。晚上散步还看到了几只萤火虫和许多星星，小朋友们很喜欢。早上去看日出也很方便。下山时从村中小路可穿入梵音谷，避开人群很清静。老板娘的私房菜很地道，我们2位妈妈和小朋友都很喜欢那清炖鸡汤，清甜。特别要感谢杨师傅一家朋友样的热情帮助。在山上第二天我们在山上发生了不小的意外，还闹到了医院，我们两', '短评打分': 5}
{'短评内容': '酒店服务很好，饭菜也很好吃。但不提供浴巾，隔音效果也不是很好。不过作为一个农家乐山庄，这已经很好了。', '短评打分': 5}
{'短评内容': '服务很周到，饭菜也很好吃。但酒店不提高浴巾，房间隔音效果也不是很好。不过作为一个农家乐山庄已经很好了，从这到各个景点都很方便，而且老板也会提供免费的接送服务。', '短评打分': 5}
