{'短评内容': '房间蛮大的，停车场大，就是吃饭不方便，路边有点吵', '短评打分': 5}
{'短评内容': '位置好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '本来是看护病人才要定的房间，结果朋友母亲是新疆人，不让住。只能我来住了。这样的服务不知道是根据哪里的要求定的。大概是他们经理觉得新疆不属于中国吧。', '短评打分': 1}
{'短评内容': '很不错，服务好！！！！！！！！', '短评打分': 5}
{'短评内容': '在这附近出差，经常来这', '短评打分': 5}
{'短评内容': '交通方便，离松岗医院近，走路几分钟，也算比较干净。', '短评打分': 5}
{'短评内容': '物美价廉', '短评打分': 5}
{'短评内容': '麻将机有问题', '短评打分': 4}
{'短评内容': '价格便宜，环境优美，适合入住。', '短评打分': 5}
{'短评内容': '价格便宜，环境优美，适合入住。', '短评打分': 5}
{'短评内容': '价格便宜，环境优美，适合入住。', '短评打分': 5}
{'短评内容': '啥到没', '短评打分': 3}
{'短评内容': '尼玛居然看不了电视     网络也没有', '短评打分': 2}
{'短评内容': '太垃圾了，没发票说好邮寄，确实邮寄了，但今天出差回来打开一看，3260的发票，20张100的，106张10元的，如果你们有记下发票号码的话，请你们自己凭良心对一下是不是只寄了3060元的票！我自己还要贴200元给公司关键还说不清，郁闷！', '短评打分': 1}
{'短评内容': '拐弯真不好拐，太麻烦了。倒是很便宜', '短评打分': 2}
{'短评内容': '离医院比较近，房间有窗，还可以', '短评打分': 5}
{'短评内容': '价格绝对公道!早餐要赶早!', '短评打分': 5}
{'短评内容': '酒店我是用ELONG预定的，酒店房间的设施OK，很安静，适合居住，但很不满意的地方是出入很不方便，而ELONG上面有【温馨提示】酒店提供镇区两公里内免费车接送服务（接送时间：早8：00-24：00）/但酒店的前台说用ELONG预定的没有这项服务，所以不明白为什么会有这样的事情？我是今天入住611的客人！\n', '短评打分': 1}
