{'短评内容': '没车，请不要定此，特别麻烦！热水供应不上', '短评打分': 5}
{'短评内容': '酒店位置很好，服务很好，随着冬季来临，酒店需加强取暖设施', '短评打分': 4}
{'短评内容': '环境相当不错', '短评打分': 5}
{'短评内容': '位置在半山，酒店环境不错，提供送餐，周边吃的也挺多', '短评打分': 5}
{'短评内容': '位置要耐心寻找。', '短评打分': 4}
{'短评内容': '第二次入住白云山庄旅舍啦，酒店清幽的环境是我最喜欢的，一打开窗户就能看到郁郁葱葱的树林。', '短评打分': 5}
{'短评内容': '无车人士强烈不推荐此家，因为不提供免费摆渡车，需要自行购票观光车或者打车，否则只能拖着行李徒步一个半小时到酒店。', '短评打分': 4}
{'短评内容': '在前台登记后，取房匙，是房匙喔，不是房卡。好七十年代的感觉。进入房间后，两张1.5米的双床，家私全是七十年代的，没有梳庄枱。有两个地柜，有沙发，圆餐桌，书柜，2个衣柜。洗手间的电热水器是不能使用，洗手盆没连接暖水，浴缸没有连接热水，只有淋浴间有热水。总的感觉是性价比低。作为广州大厦旗下的酒店，又是白云山上唯一可以住宿的地方，又接待过无数国家领导人，这样的设施真是太落后，但价钱又是与时俱进。', '短评打分': 4}
{'短评内容': '有被子很潮湿，建议旅客入住前用抽湿机抽一下', '短评打分': 5}
{'短评内容': '在風景區，廣州市鬧中取靜，十分難得！唯一不足就是入住市下午房間內有點潮濕。', '短评打分': 5}
{'短评内容': '在白云山中，环境绝对一流。很多国家领导人曾经下榻。就是价格好贵。', '短评打分': 4}
{'短评内容': '期待下次再聚', '短评打分': 5}
{'短评内容': '白云山中，空气环境好。', '短评打分': 3}
{'短评内容': '环境非常满意，晚上蚊子多', '短评打分': 5}
{'短评内容': '安静生态度假好去处！', '短评打分': 3}
