{'descr': '真的太旧了。', 'star': 2}
{'descr': '不错', 'star': 5}
{'descr': '整潔，離機場近，很方便。', 'star': 5}
{'descr': '位置近，过马路就到', 'star': 5}
{'descr': '离机场方便', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '早班飞机，就提前在机场住了，车接车送，直接在机场打个电话就好了。装修一般还算干净吧。', 'star': 5}
{'descr': '不错的酒店！', 'star': 5}
{'descr': '离机场很方便', 'star': 5}
{'descr': '很棒的酒店，下次还要去', 'star': 5}
{'descr': '蛮不错的，出了热水要很久才出来', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '。。。。。居然不能订', 'star': 0}
{'descr': '宾馆较旧，设施很差，唯一优势，离机场很近，到机场有车送，但如果自己去航站楼较麻烦，需穿越机动车道，较危险', 'star': 2}
{'descr': '整体感觉很棒', 'star': 5}
{'descr': '挺好的，性价比蛮高的', 'star': 5}
{'descr': '帮客户预定的，不知道怎么样', 'star': 4}
{'descr': '老店，设施陈旧，只是离机场近走了不到五分钟。只住一晚无所谓了！', 'star': 3}
{'descr': '卫生间太小，设备比较陈旧！', 'star': 3}
{'descr': '一般', 'star': 3}
{'descr': '好。。。。。。。。。。。。。。。。。', 'star': 4}
{'descr': '环境还不错，主要是就在机场旁边，外面也不是很吵。', 'star': 5}
{'descr': '到机场已经很晚了。。入住比较方便吧.....可以推荐给时间比较紧张的', 'star': 5}
{'descr': '位置挺好找的，下了机场大巴就能看到，步行5到7分钟即可走到。房间较大，服务员也很热情，但装修较陈旧，价位偏高', 'star': 5}
{'descr': '酒店没施尙可，但歺饮较差。但对外出差的人来说房价尙处高位。', 'star': 3}
{'descr': '服务周到，卫生还行，就是设施陈旧。退房时间也比较人性化，总体还行，有点小贵的。', 'star': 5}
{'descr': '离机场非常近，很方便，就是房间设施有点旧，卫生间比较小，服务都还可以。', 'star': 5}
{'descr': '离机场近，有免费班车接送，乘早机首选，无早餐，房间可上网。', 'star': 5}
{'descr': '还算干净，早上赶早班机还行，有免费的摆渡班车接送。', 'star': 5}
{'descr': '还不错，条件虽一般，但没想到房间有书，让我很惊喜', 'star': 3}
{'descr': '大家退房的时候一定要看清退回来的钱哦，本人刚从国外回来 在机场取了钱就去了空港。第二天退房也没看退回来的钱就直接去机场转机了 到了目的地开房的时候发现他退了张一百的假钞给我。。。大家要注意哦', 'star': 1}
{'descr': '不错，交通挺方便的，性价比比较高，适合赶第二天早班飞机的人', 'star': 5}
