{'短评内容': '不怎么样  ', '短评打分': 3}
{'短评内容': '就是有点冷！空调不能用！谁住谁知道，第二天直接流鼻涕！', '短评打分': 4}
{'短评内容': '酒店处于路边，交通方便，设施比较简单，不过可以满足住宿的基本需要。停车位较少。酒店环境布置比较温馨，让人进来后，第一印象比较舒服。最重要的，现已更名为驿家钻石酒店？', '短评打分': 5}
{'短评内容': '电视还可以，是乐视的联网的电视，看视屏挺方便的', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '酒店环境很好。。。住了很多次。。。', '短评打分': 5}
{'短评内容': '设施有些陈旧 房间隔音差 价格公道', '短评打分': 4}
{'短评内容': '环境很好，就是设备设施有点差', '短评打分': 5}
{'短评内容': '挺好的，环境挺好。附近也有几家吃饭的地方。离公交站也不远，酒店也是机场巴士的一个站点。很方便', '短评打分': 5}
{'短评内容': '比较简单，环境一般。', '短评打分': 3}
{'短评内容': '地点不错，北垣街公交车很多，去哪都很方便。', '短评打分': 5}
{'短评内容': '性價比高，距火車站也近，離火車東站交通也方便，環境干淨，舒服，下次來ㄧ定還會入住', '短评打分': 3}
{'短评内容': ' 总体你会觉得不满意。相差离谱', '短评打分': 3}
{'短评内容': '房间很大很舒适，性价比高，下次还住这里，呵呵！', '短评打分': 5}
{'短评内容': '性价比很好。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '很干净，酒店在立交桥旁边，交通也相当的方便。', '短评打分': 5}
{'短评内容': '房间比较干净，有独立的院子停车，有专门的保安看车，感觉挺安全的', '短评打分': 3}
