{'短评内容': '还行', '短评打分': 4}
{'短评内容': '卫生条件比较好，价格实惠', '短评打分': 5}
{'短评内容': '交通比较方便，', '短评打分': 4}
{'短评内容': '不错不错不错', '短评打分': 5}
{'短评内容': '单人间实在太小了，衣服都没有地方挂。网络不稳定。', '短评打分': 3}
{'短评内容': '酒店位置很好 房间性价比也不错 在京东上订房既方便 又实惠', '短评打分': 5}
{'短评内容': '相当不错的体验，理考试的地方很近', '短评打分': 5}
{'短评内容': '地段交通还可以，但是大门边就是垃圾桶，味道太重，环境一般，设施较老了', '短评打分': 4}
{'短评内容': '还不错，只是定的数码房换成净馨房', '短评打分': 5}
{'短评内容': '地理位置好', '短评打分': 3}
{'短评内容': '关键很好很方便', '短评打分': 5}
{'短评内容': 'good', '短评打分': 5}
{'短评内容': '快捷酒店都是这样，总的来说，出差旅游住宿没问题。', '短评打分': 4}
{'短评内容': '酒店不错', '短评打分': 5}
{'短评内容': '酒店环境位于旧城区，出行方便，但是酒店不是在单独一栋楼，估计是改造房，收银台和住房相隔较远，不方便。', '短评打分': 4}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '挺不错的啊还不错的还不错的还不错的', '短评打分': 5}
{'短评内容': '中国数一数二的有着十几年历史的连锁便捷酒店服务意识如此差，连运营经理也是这副德行, 希望大家别选择入住如家酒店吧,房间特别小估计也就5平方吧除了床其它就没空间了,而且房间烟味特别浓烈!', '短评打分': 1}
{'短评内容': '靠近闹市，略为有点吵，但是闹中取静，交通方便。', '短评打分': 5}
{'短评内容': '  一如既往的好', '短评打分': 3}
{'短评内容': '环境和服务都不错，性价比一般，就是离地铁远点！', '短评打分': 5}
{'短评内容': '帮朋友订的，出差，主要出行方便。。。。。。', '短评打分': 5}
{'短评内容': '环境不错下次还来！买东西很方便', '短评打分': 3}
{'短评内容': '整体不错，但是第二天没给浴帽。针线包需要自己找前台', '短评打分': 3}
{'短评内容': '房间干净，床宽，服务器态度好。地理位置好，武夷、延安西、江苏三路交界，喜欢可爱的碎花半透明窗帘', '短评打分': 3}
{'短评内容': '服务态度很好、房间干净明亮  设施齐备  大赞！', '短评打分': 5}
{'短评内容': '不错不错的酒店，很温馨，房间也很多，特别推荐家庭房！', '短评打分': 5}
{'短评内容': '环境不错，交通比较方便！', '短评打分': 3}
{'短评内容': '挺好的，很舒服，值得推荐，下次还住哪里。', '短评打分': 5}
{'短评内容': '＋卫生挺好的，交通也很方便，值得推荐。', '短评打分': 3}
{'短评内容': '房间挺干净，服务态度很好，就是隔音效果不好。', '短评打分': 5}
{'短评内容': '还不错 ，房间有点小', '短评打分': 4}
{'短评内容': '酒店的服务不错，服务员的地理知识需要加强，应为入住大部分都是外地人，前台电话接线员应该有足够地理知识知指导客人快捷的到达酒店。另外：房间有点小啊，呵呵，估计是上海地皮太贵的原因。', '短评打分': 4}
{'短评内容': '订酒店很方便，特别是服务态度很好，给力', '短评打分': 3}
{'短评内容': '干净，整洁，性价比高！下次上海出差还会住这儿……', '短评打分': 5}
{'短评内容': '挺好的，是续住的。还算满意。以后还住，服务也很好', '短评打分': 5}
{'短评内容': '服务态度非常好，很不错也方便。住的房间也很干净', '短评打分': 5}
{'短评内容': '总体来说还不错，服务态度好，房间干净，不足的是房间有些小，热水淋浴不好调节，房间隔音效果不好。', '短评打分': 5}
{'短评内容': '酒店很好，环境服务都不错。酒店位置也比较方便，很好找。', '短评打分': 5}
{'短评内容': '环境很好', '短评打分': 3}
{'短评内容': '酒店附近算安静，便利店和地铁口都近。唯一不足是酒店附楼离主楼较远，需要拖行李箱走很远，上下楼也无电梯。', '短评打分': 5}
{'短评内容': ' 位置不错，价格合理', '短评打分': 3}
{'短评内容': '有家的感觉，下次还是要住的', '短评打分': 3}
{'短评内容': '满意，前台服务热情周到，建议是:每个房间应配备吹风机，每天洗完头都要问前台借，又经常借不到，大冷天挺抓狂的。', '短评打分': 3}
{'短评内容': '还不错，周围比较繁华', '短评打分': 3}
{'短评内容': '服务态度很好,很温馨,周围交通便利', '短评打分': 3}
{'短评内容': '之前住感觉很温馨，现在感觉没那么舒服了，比较简陋。', '短评打分': 3}
{'短评内容': '挺不错的，房间挺漂亮的，前台的帅哥服务态度很好。', '短评打分': 5}
