{'短评内容': '还是不错的', '短评打分': 4}
{'短评内容': '交通方便，价格优惠，朋友比较满意', '短评打分': 5}
{'短评内容': '老板娘很客气，酒店房间较小，电视机不好操作。', '短评打分': 4}
{'短评内容': '老板人很好，房间也很大', '短评打分': 5}
{'短评内容': '现场与店家图片一致，看到晒图没有卫生间所以特意照了卫生间，这个是带庭院的大床房，还不错，圆床房的卫生间大一些。院子一般，地面感觉不干净，粘粘的感觉，没有什么通风效果，不过很方便。带庭院的房间价格和现场问的一样，其他房间现场价格会更便宜。位置不是很明显，入住之后两次都没找回来。入住的人不多。离所有地方都不近。住了两晚，慢慢觉得还可以，如果时间不是很富裕，又要去景点的就不建议了，因为岛上路名很多重复的', '短评打分': 4}
{'短评内容': '挺不错的！老板很贴心，给了我们很多温馨提示。房间挺好的，就是阳台没有可以晒衣服的地方', '短评打分': 5}
{'短评内容': '位置基本算在岛中间，比较不好找。屋子比较潮，房间都有发霉的迹象了。老板人不错，价格比较合理。', '短评打分': 4}
{'短评内容': '99,很不错了', '短评打分': 4}
{'短评内容': '去住的时候出了一点小状况，鼓浪屿上很多小道我和我的小伙伴各种绕路，后来第二天离开前才发现其实位置真的很方便', '短评打分': 5}
{'短评内容': '环境很精致，老板们挺贴心的。第二天一大早要拍婚纱照，老板直接不收押金让自己离店。另外，老板还主动告知鼓浪屿有什么好玩的地方。', '短评打分': 3}
{'短评内容': '前台美女很温柔，帮我们回答了我们问的问题，房间也很温馨，我们定一个大床房一个单间，都很不错，地理位置也很方便，穿过隧道就到了繁华区，谁在这边也不吵，特别清净，物美价廉，推荐', '短评打分': 3}
{'短评内容': '房间离商业街有点远，离码头也远，卫生条件一般，带的小院也没什么用，隔音效果差', '短评打分': 3}
{'短评内容': '那前台女生服务态度超差，比我前一天小吃街附近的旅馆设施条件差一点，价格一样，估计以后不会再去了，不过男老板人挺好的。', '短评打分': 1}
{'短评内容': '入住酒店挺干净！', '短评打分': 3}
{'短评内容': '位置有点难找哦，很喜欢店里的装修风格，自己住的房间还有阳台，有宾至如归的感觉，老板人也很好。推荐一下哦~', '短评打分': 5}
{'短评内容': '一共订了三间房，还是很满意的。虽然离轮渡码头稍微远了点，但是很干净，空调很给力，wifi很给力。厕所比较小，但是花洒很给力。对咯，楼上阳台可以晒衣服。。。', '短评打分': 5}
{'短评内容': '酒店没有洗漱用品跟毛巾，地方有点偏远。找了好久。', '短评打分': 3}
{'短评内容': '倒是物美价廉，但是总觉得房间地面有一点奇怪，不过有独立卫生间，相比岛上很多同样价位没有卫生间的要方便很多，老板娘很亲切的感觉，总在大厅里朋友聊天，大厅布置的很文艺', '短评打分': 5}
{'短评内容': '鼓浪屿岛内一家很不错的客栈，就在笔山洞的出口附近，其实挺好找，就问“三一堂”就可以了，三一堂旁边抬眼就是笔山洞的入口。房间很干净，但是不提供毛巾和洗漱用品哦，要记得自带。周围很安静，晚上能睡个好觉。顶楼有很大的晾衣场，还有洗衣池，很方便。大家如果住在这里，一定要去找到“金兰饼店”吃椰子味的馅饼啊！真是好吃毙了！如果你能找得到，神马赵小姐、 babycat之类的都不用去了。', '短评打分': 5}
{'短评内容': '旅馆的位置相对较偏一点，我们第一次找旅馆是用地图和导航找到的。旅馆布置得很温馨，很有家的感觉。住下后在鼓浪屿上逛，再回旅馆发现其实并不难找，第一次只是因为不清楚位置。听说以后会开通内厝澳码头，那么这个旅馆应该就更好找了。', '短评打分': 5}
{'短评内容': '房间很小清新，wifi很好用，电视的机顶盒是可以点播电视剧和电影的那种，很好哈！就是找起来有点累，但是要想住得小清新，累一点也值得了！', '短评打分': 5}
{'短评内容': '设施是挺新的，就是有点小，可以寄存行李，幸好早订，不然又升价了。离龙头路远点，所以很安静，也算容易找，就从三一堂那里，穿过隧道右手边的巷子。', '短评打分': 5}
{'短评内容': '虽然与龙头路有点距离，但老板很贴心给我们发了指引的短信。旅馆应该重新装修过，装饰很温馨。以后会推荐朋友来住~ O(∩_∩)O', '短评打分': 5}
