{'短评内容': '早餐不错，交通很方便，房间大', '短评打分': 5}
{'短评内容': '不错(*๓´╰╯`๓)♡', '短评打分': 5}
{'短评内容': '朋友每次来都住他家，房间不错，位置也好，前台的服务员很热情，入住和结账都很快。房间换了地毯，很干净，有独立的无线网。', '短评打分': 5}
{'短评内容': '住了几次，还可以', '短评打分': 5}
{'短评内容': '非常的不错', '短评打分': 5}
{'短评内容': '环境很好，不愧为四星，早餐也可以', '短评打分': 5}
{'短评内容': '环境很好，不愧为四星', '短评打分': 5}
{'短评内容': '不错，每次到保定都住这家店', '短评打分': 5}
{'短评内容': '北方城市这个酒店算中等偏上', '短评打分': 4}
{'短评内容': '老旧的四星宾馆，服务业不热情，早餐一般，总之是个没什么特点的宾馆，房间设施也一般。但宾馆处于市中心，吃饭较方便。', '短评打分': 3}
{'短评内容': '每次出差都住这。周围是商业圈，购物挺方便，但房间设施比较老旧。早餐一般，前台服务一般，总之是一个一般的宾馆。', '短评打分': 4}
{'短评内容': '酒店周边离大商圈很近，周边美食很多，而且就在夜市边上，酒店的服务也很好，就是设施有点旧，电视信号比较差', '短评打分': 5}
{'短评内容': '多次入住此酒店的复式家庭房，这次的感觉是最差的！首先，携程说的赠饮之类没有。由于入住时间较晚，也懒得给前台打电话交涉了。其次，布草破旧。有毛巾方巾的边都飞了，不知道为什么这种布草还在使用。第三，空调风口噪音太大。第四，拖鞋等一次性用品摆放不是很方便入住，拖鞋都放在二楼的房间里，进到房间以后需要找半天拖鞋。总体来说，很一般很一般。第五，停车位严重紧张。第六，退房速度太慢。不知道是服务员太少还是房间太', '短评打分': 3}
{'短评内容': '临时找的酒店，总的来说还这可以，就是前台服务人员太少了，有点忙不过来。但房间真的好大，快赶上套房了。', '短评打分': 5}
{'短评内容': '酒店环境一般，位置不错', '短评打分': 4}
{'短评内容': '很脏，设施很久，健身房形同虚设。', '短评打分': 2}
{'短评内容': '地理位置方便，房间环境清静。基本都住这里', '短评打分': 5}
{'短评内容': '位置比较方便，各方面都还不错，早餐也还可以。', '短评打分': 5}
{'短评内容': '朋友入住酒店，感觉很好！', '短评打分': 4}
{'短评内容': '挺好的酒店，下次来保定还住这里，挺超值的价格，早餐也不错', '短评打分': 5}
{'短评内容': '房间太冷了，没有暖风！没有暖风！', '短评打分': 4}
{'短评内容': '酒店在写字楼里面，房间设施有点陈旧，电视建议换个液晶的相对会更有档次些。与星级酒店的标准感觉要差一点。不过还是能接受。早饭还可以！品种也较多！', '短评打分': 5}
{'短评内容': '酒店外观很豪华，内室也不错，环境很安静非常适合居住', '短评打分': 5}
{'短评内容': '酒店距火车站5、6公里吧，不算远，房间干净、舒适宽敞，特别是价格较为经济；专业酒店服务、管理。', '短评打分': 5}
{'短评内容': '房间宽敞，清洁干净，网速很好，附近吃饭也方便。', '短评打分': 5}
{'短评内容': '在保定这样的酒店算上很不错了。房间够大，周围环境尚可，比火车站的如家之类的快捷酒店好上百倍。', '短评打分': 5}
{'短评内容': '位置不错，大床房很宽敞很舒服，位置不错，大床房很宽敞很舒服，位置不错，大床房很宽敞很舒服，', '短评打分': 5}
{'短评内容': '房间好，周边购物方便，免费停车。美中不足，不含早餐！', '短评打分': 3}
{'短评内容': '酒店不错.房间很大.干净酒店的服务也很好!谢!', '短评打分': 3}
{'短评内容': '住的是家庭套房，很宽敞，设施齐全，小孩子尤其喜欢。以后有机会还会入住。', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '很好的酒店，旁边估计是保定最大的购物广场了。不错，价格合乎标准。', '短评打分': 5}
{'短评内容': '便利', '短评打分': 3}
{'短评内容': '260住四星级酒店，物有所值。唯一的缺点就是洗澡的时候卫生间没有挂衣服的地方。', '短评打分': 5}
{'短评内容': '非常好很干净', '短评打分': 3}
{'短评内容': '快捷酒店能有这样的环境，就不错了，比如家、汉庭都好。', '短评打分': 5}
{'短评内容': '服务各方面还行，不过在保定来说价格还算比较贵了', '短评打分': 5}
{'短评内容': '总体环境不错，前台服务热情。建议适时更换电视（样式陈旧，图像不清晰），房间增加当天本地报纸免费阅读。', '短评打分': 5}
{'短评内容': '该酒店房间大，设施好，干净，服务态度好，早餐丰富，酒店附近就餐方便，值得推荐。', '短评打分': 5}
{'短评内容': '还可以，已经住过几次，价位基本可以，房间也还行吧。', '短评打分': 5}
{'短评内容': '床睡着很舒服。卫生间进行了干湿分区，比较合理。', '短评打分': 5}
{'短评内容': '入住服务还可以，条件感觉没到四星酒店，希望将其划分到三星范围。', '短评打分': 5}
{'短评内容': '环境很好', '短评打分': 3}
{'短评内容': '干净，卫生，方便，安静，但是空调太差了，冷得很，另外电视机太老久了，能换一下吗？', '短评打分': 5}
{'短评内容': '商務出差的首選,不過房間的灰塵有點重,酒店服務員應多留心細節!', '短评打分': 5}
{'短评内容': '还不错，干净，就是有些旧了，别的还好，还不错，干净，就是有些旧了，别的还好，', '短评打分': 5}
{'短评内容': '裝修簡潔乾淨的酒店公寓.房間服務好.早餐一般', '短评打分': 5}
{'短评内容': '＋此次入住财富中心感觉房间比上次所住房间温度要热些，也没有异味了。不知道是怎么回事啦！希望今后能保持下去。', '短评打分': 3}
{'短评内容': '酒店环境还不错，特惠房还挺值。', '短评打分': 3}
{'短评内容': '＋该酒店房间布局和面积还可以，就是隔音不太好。卫生间因为是开放式的、总是有点异味。', '短评打分': 3}
{'短评内容': '第二次入住该酒店，感觉很不错，设施很完善，而且特价房价格很便宜，旁边吃饭的地方也不错。值得推荐！', '短评打分': 5}
{'短评内容': '感觉比同档次的稍贵，早餐一般，还有人往房间打电话', '短评打分': 5}
{'短评内容': '交通方便。房间还可以，价格略贵！希望改进服务，让客人觉得是四星酒店', '短评打分': 5}
{'短评内容': '条件不错服务好', '短评打分': 3}
{'短评内容': '服务、设施基本满意，但通过网络订房总是给一些位置边角的房间，让客人心情不好，另外，周六不打折变相涨价了。', '短评打分': 5}
{'短评内容': '设施陈旧，电梯不给力啊，，没有一次性拖鞋和剃须刀，总体可以，', '短评打分': 5}
{'短评内容': '早餐比以前有改进了，周末住260还比较合适，平时350确实贵了点，不太值', '短评打分': 1}
{'短评内容': '房间有股味，性价比不高。建议去别的酒店。', '短评打分': 1}
{'短评内容': '早餐太差，价钱太高，性价比不好，还是去别的酒店吧', '短评打分': 1}
{'短评内容': '最初设计不是酒店，应该是写字楼，租不出去改的酒店，完全不像酒店', '短评打分': 1}
{'短评内容': '酒店位置比较好，硬件条件也很好，就是服务稍差。餐厅的桌布脏了，下桌客人来了竟然不给换。', '短评打分': 5}
{'短评内容': '交通便利，环境较好，服务比较及时，硬件设施比较陈旧，总体不错！', '短评打分': 5}
{'短评内容': '设施虽然有点旧，但是还算干净，早餐种类不算少的，但是味道非常一般。\n整体感觉马马虎虎。', '短评打分': 5}
{'短评内容': '这是第二次入住，订的是标准间，酒店给升级到跃层房，惊喜！\n房间两面通透，采光很好，设施齐全。美中不足的是：淋浴间密闭不好，水会流到过道，1层灯光暗，模拟家庭使用时显得昏暗。\n早上5点退房，前台能在查房同时结算，节省了客人时间，比某些“五星”酒店还强。\n再次对酒店的服务表示感谢！', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '酒店不错，房间较大、干净，但设施有点陈旧了，建议酒店尽快改正！', '短评打分': 5}
