{'短评内容': '早餐能吃饱！', '短评打分': 4}
{'短评内容': '酒店设施和位置还行，免费送机服务', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '有酒店别克商务车接送，不错！住宿条件也很好，离地铁口近，出行方便。早餐非常丰富，吃的好饱！', '短评打分': 5}
{'短评内容': '服务很好', '短评打分': 4}
{'短评内容': '屋頂太矮，壓迫感重。遇到了停電，竟然不發電。', '短评打分': 4}
{'短评内容': '哈哈很好哈哈很好哈哈很好哈哈很好', '短评打分': 5}
{'短评内容': '替同事重庆出差预订的，房间大小合适，干净程度可以接受，离客户近方便，其他没有什么问题了，希望对大家有用。', '短评打分': 5}
{'短评内容': '出差到的地方离酒店方便!', '短评打分': 5}
{'短评内容': '酒店接送机服务真好，我们飞机晚点，很晚才到。一直等我们，酒店周边有好多重庆地方饭店。交通可以送到机场坐3号线', '短评打分': 5}
{'短评内容': '酒店对面好多吃饭的地方，5分钟的路程，吃饭非常方便。离机场大约10分钟内车程。酒店的服务人员蛮热情的，接送机服务真是太好了。房间楼层好像只有3楼。虽然早餐一般，但是价格已经很划算了。', '短评打分': 5}
{'短评内容': '酒店位置不错，对面好多吃饭的地方，5分钟的路程，吃饭非常方便。酒店的服务人员蛮热情的，接送机服务真是太好了。房间楼层好像只有3楼。还提供早餐，虽然早餐一般，但是价格已经很划算了。', '短评打分': 5}
{'短评内容': '环境不错，服务也很到位，酒店卫生也很好，下次还来住。', '短评打分': 5}
{'短评内容': '离机场非常近，同时酒店还提供免费的接送机服务，去机场真是方便。酒店设施一般，早餐较差，没什么可吃的。离长安工厂、研究院都很近，办事方便。', '短评打分': 4}
