{'短评内容': '没有在酒店吃早餐  可以停车  适合带孩子  房间很大', '短评打分': 5}
{'短评内容': '还可以，离目的地很近', '短评打分': 5}
{'短评内容': '非常满意', '短评打分': 5}
{'短评内容': '非常方便', '短评打分': 5}
{'短评内容': '很好', '短评打分': 4}
{'短评内容': '很好很给力。很干净，还有电脑', '短评打分': 5}
{'短评内容': '环境不错，价格优惠，位置好', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '酒店的卫生还不错，房间的空间很大，就是部分设施有点问题，没有及时修复，停车场在酒店旁边，过夜收费5元。', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '房间宽敞 设施也都很齐全 就是沿街略吵 楼下的龙泉椰子鸡不要去 很难吃 要吃的话去三亚的那家店', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '不错的选择。', '短评打分': 5}
{'短评内容': '近路边，酒店服务不错，打扫房间换备用品会选择你在的时候，不过附近广场晚上有人跳广场舞', '短评打分': 4}
{'短评内容': '总体感觉还好，就是有点吵', '短评打分': 4}
