{'短评内容': '。', '短评打分': 5}
{'短评内容': '不错\n优雅\n舒适', '短评打分': 5}
{'短评内容': '非常方便。环境也还行。', '短评打分': 5}
{'短评内容': '板采用石材及复合木底板，比用地毯的强多了，宾馆里的地毯就是病菌大量繁殖聚集的场所。（3）早餐做的很用心，种类多，且每样都有吃头，尤其是咖啡味道很不错。我是到济宁监理工程师考试住在了古槐路店，住的感觉很舒服，为此我考试没过（给自己没复习好找了合适的理由），为了第二年考试再有到这家住的机会。', '短评打分': 5}
{'短评内容': '很好很好很好很好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很方便，我出差坐车就在门口有站台', '短评打分': 5}
{'短评内容': '价格便宜很不错，的服务很热情，很体贴的享受，环境也不错，价格便宜很不错，的服务很热情，很体贴的享受，环境也不错', '短评打分': 5}
{'短评内容': '配套服务很好', '短评打分': 4}
{'短评内容': '位置不错，推荐。', '短评打分': 5}
{'短评内容': '好评', '短评打分': 5}
{'短评内容': '电梯里有味道', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '没有停车位很不方便，其他都还好！', '短评打分': 4}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '还不错，性价比高，前台态度也很好，就是停车不方便，', '短评打分': 3}
{'短评内容': '很好了，就这个价格。不错了，下次还会来吧', '短评打分': 5}
{'短评内容': '这家酒店住过好多次，每次住店都选这家，非常不错.', '短评打分': 5}
{'短评内容': '酒店住起来挺好的，为何结帐后订单也显示已确认，“已结帐”状态同步不了吗？', '短评打分': 3}
{'短评内容': '酒店总体感觉不错，很干净，很温馨，“如家”不错的选择！', '短评打分': 5}
{'短评内容': '住的商务大床房干净卫生很温馨！出差入住最佳选择！顶！', '短评打分': 3}
{'短评内容': '非常好的住宿环境，房间也比较宽敞，酒店服务员很热情的问好，不足的是门头太小，不好找，停车很麻烦，没有停车场！希望早餐可以再改进一下，看着挺多，就是没什么可吃的，希望加一些特色糕点之类的！', '短评打分': 5}
{'短评内容': '房间还可以，但是感觉这家酒店早餐很烂，和其他如家比差远了，建议他们这里的厨师去学习一下', '短评打分': 1}
{'短评内容': '酒店位置不错，服务员也都很热情，周围的商业配套也比较好。', '短评打分': 5}
{'短评内容': '酒店位置不错，去哪里都方便，离运河秀水街也很近，不错', '短评打分': 5}
{'短评内容': '酒店还好，里面挺大的，房间住着舒服----', '短评打分': 5}
{'短评内容': '第二次入住，还是挺好的。就是早餐不好，如果以后早餐能改进一下，那就好了', '短评打分': 5}
{'短评内容': '还是不错的，交通比较方便，就是隔音不大好，马上又要去济宁，还是准备住这家', '短评打分': 5}
{'短评内容': '房间不错', '短评打分': 3}
{'短评内容': '房间比较干净，早餐一般。交通比较方便。周边有几家银行，办事方便。', '短评打分': 5}
{'短评内容': '酒店位置设施都不错，就是没有停车位。员工服务态度都很好', '短评打分': 5}
{'短评内容': '还是对济宁地理不熟悉，找这个酒店有点耗费时间，里面很干净，卫生，服务态度也很好，饭菜很家常', '短评打分': 5}
{'短评内容': '地理位置很好，交通方便，酒店周围吃饭的地方很多，工作人员态度很好，值得推荐！', '短评打分': 5}
{'短评内容': '入住一下午，且六点前退房，非要按全天收费。不合理', '短评打分': 1}
{'短评内容': '房间很干净 设施齐全   但是 为么木有饮水机啊', '短评打分': 5}
{'短评内容': '停车不很方便，酒店环境很好，很干净，总体不错', '短评打分': 3}
{'短评内容': '房间比一般如家大，而且很干净，位置也比较满意，缺点跟大部分的商务酒店一样隔音一般。', '短评打分': 3}
{'短评内容': '如家一向挺棒的，就是停车不太方便，门口只能停几部车，停不下的只能往党校停或者自己找其他地方停了', '短评打分': 5}
{'短评内容': '如家卫生条件好，位置方便，下次还会去，我一直相信如家', '短评打分': 5}
{'短评内容': '不错，还会去', '短评打分': 3}
{'短评内容': '环境还不错  房间挺干净  下次去继续住……', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': ' 不错', '短评打分': 3}
{'短评内容': '如家的房间比较小，但经济型的基本也就这样，和各地的如家都差不多。没有特别的感受，反正一般的商务出差还是值得入住的', '短评打分': 5}
{'短评内容': '与其它地方的如家一样，内部设施感觉还是不错的。除了窗外的平台上有些垃圾，没有及时清理，还是有点影响酒店形象。', '短评打分': 5}
{'短评内容': '干净卫生，设备都挺新，住的舒服。下次还会住的。还有，早餐不错的', '短评打分': 5}
{'短评内容': '蛮好的  服务也不错  就是房间的油气味有点种', '短评打分': 5}
{'短评内容': '如家酒店大体上差不多，设施都还不错，里面也很干净，除了感觉隔音效果不好', '短评打分': 5}
{'短评内容': '位置好，容易找，酒店设施也不错，床单很温馨，也很干净。', '短评打分': 5}
{'短评内容': '挺干净！有点像家的感觉！不错...赞下吧！', '短评打分': 5}
{'短评内容': ' 床铺舒服，房间干净整洁。位置也不错。性价比高。', '短评打分': 3}
{'短评内容': '酒店的一切服务都还算不错,如家就是这样,到哪品质都不变,下次去还会住这家的', '短评打分': 5}
{'短评内容': '房间很干净，也比较人性化', '短评打分': 3}
{'短评内容': '环境不错交通也方便', '短评打分': 3}
{'短评内容': '房间小了点，其他都不错。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '成功入住,谢谢!', '短评打分': 3}
{'短评内容': '不错，推荐。如家酒店在各地的标准都不错。', '短评打分': 5}
{'短评内容': '可以入住，服务很好，环境优雅，环境卫生。', '短评打分': 5}
{'短评内容': '地理位置还算不错。比较市中心的地方。房间一般，不是很大。没啥大的不足。', '短评打分': 5}
{'短评内容': '非常干净，早餐不错', '短评打分': 3}
{'短评内容': '很干净，也很有风格，就是暖气不太好，其它的都很满意，评个好吧', '短评打分': 5}
{'短评内容': '位置不错，设施较新。服务温馨，房间安排在五楼，与餐厅一层，足见服务用心。保持了如家的一贯风格。推荐！', '短评打分': 5}
{'短评内容': '不错,服务挺好，就是房间有点小，不过下次还会入住', '短评打分': 5}
{'短评内容': '性价比不错/................', '短评打分': 5}
{'短评内容': '一如既往的如家.但是这家的餐厅的菜很咸.', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '没有停车位，不太方便，设施还不错~~~~', '短评打分': 5}
{'短评内容': ' 还行', '短评打分': 3}
{'短评内容': '很干净。房间设施也比较新。不错。下次还会再来。', '短评打分': 5}
{'短评内容': '位置方便，服务可以，房间干净卫生，可以推荐入住', '短评打分': 3}
{'短评内容': '+第二次入住了比较喜欢这里的简洁价格也实惠.不足是餐点不丰富附近没有超市快餐连锁等,购物吃饭不太方便', '短评打分': 5}
{'短评内容': '交通方便，不过还需要打车，起步价到步行街，房间偏小 住过标间 大床', '短评打分': 5}
{'短评内容': '.还不错。能有个衣橱，饮水机换成电水壶，被罩换成和窗帘一色的就更好了。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '不错,经常住,感觉很温馨,价格也很合适,有些细节能为客人考虑.', '短评打分': 5}
{'短评内容': '环境还可以，位置也还可以，打车方便，价格合理', '短评打分': 3}
{'短评内容': '和所有的如家一样，性价比不错的。如果如家的早餐更丰富些，哪怕是价格贵些，会更好的', '短评打分': 5}
{'短评内容': '环境还可以', '短评打分': 5}
{'短评内容': '\u3000环境不错，挺干净的', '短评打分': 5}
{'短评内容': '＋干净卫生交通便利', '短评打分': 5}
{'短评内容': '酒店的位置不错,只是打车不是很方便,因为门口是黄实线,有的的士司机不敢停车,过路对门情况会好一点.', '短评打分': 5}
{'短评内容': '不错，感觉挺舒服', '短评打分': 5}
{'短评内容': '下次还住 ', '短评打分': 5}
{'短评内容': '酒店里面的设施还是不错的，可能是我个人的遭遇吧，在门口拦了一个小时的竟然拦不到车。当然，跟高峰期也有关系的，但也不至于一个小时拦不到车啊', '短评打分': 5}
{'短评内容': '房间很干净，设施很齐全，服务很周到，价格也公道，住的很满意。', '短评打分': 5}
{'短评内容': '没有停车场，停车困难，房间太小，电视太旧，和想象的差距太大！', '短评打分': 1}
{'短评内容': '性价比蛮好的酒店，很干净，设施还可以，就是不太隔音，服务不错，下次出行还会住的。', '短评打分': 5}
{'短评内容': '服务人员少.感觉不到位，不过位置不错，硬件设施和卫生条件还可以.整体水平不错.', '短评打分': 5}
{'短评内容': '房间比较干净，虽然靠近马路但是房间的隔音效果很好休息的时候不是很吵，位置还是挺好找的，价格也比较符合我的要求，服务态度也很不错，性价比还是很不错的。', '短评打分': 5}
{'短评内容': '位置还是比较不错的，价格感觉还是挺不错的在济宁的话我是感觉性价比还算是比较高的了，酒店的服务态度也很不错，下次的去的话我还会选择这家酒店的。真的是特别满意。', '短评打分': 5}
{'短评内容': '服务好，卫生干净', '短评打分': 5}
{'短评内容': '感觉还不错，就是停车不方便，周围没有特色饭店，', '短评打分': 3}
{'短评内容': '如家一如既往的风格，挺舒服的，但是距离最繁华的地方还有一段距离，停车不是很方便。', '短评打分': 5}
{'短评内容': '挺好，就是稍微有点贵，价格在130上下好、就好了', '短评打分': 5}
