{'短评内容': '带孩子去的还不错', '短评打分': 5}
{'短评内容': '服务差，以前是戴斯管理还行，现在差死了！空调也旧了，声音大！前台打情骂悄就没把客人当回事！这个区域只有这一个酒店，似乎该他拽', '短评打分': 2}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '环境和位置很好', '短评打分': 5}
{'短评内容': '非常好，值得来', '短评打分': 5}
{'短评内容': '环境好，服务比较好，推荐。', '短评打分': 5}
{'短评内容': '环境好，温泉也很好，工作人员服务也很周到，离市区不远很方便！情侣，家人一起来都可以。休闲周末度假首选！', '短评打分': 5}
{'短评内容': '环境不错 服务也很好 以后还会来.', '短评打分': 5}
{'短评内容': '第二次来上邦，好开心。', '短评打分': 5}
{'短评内容': '别墅潮湿，有霉味', '短评打分': 4}
{'短评内容': '环境优美，温泉舒适，前台接待热情周到', '短评打分': 5}
{'短评内容': '酒店办理入住很快，服务很好，酒店的房间很大，很舒适。', '短评打分': 5}
{'短评内容': '环境优雅，很不错', '短评打分': 5}
{'短评内容': '环境不错温泉池子较多。早餐还可以。', '短评打分': 4}
{'短评内容': '非常好，很安静休闲的酒店，性价比超高。', '短评打分': 5}
{'短评内容': '环境不错，服务很好，配套设施齐全。', '短评打分': 5}
{'短评内容': '很好的酒店。', '短评打分': 5}
{'短评内容': '房间很大，和网上图片一致，很不错的酒店', '短评打分': 5}
{'短评内容': '环境还可以，就是酒店管理感觉相当混乱，前台接待人员忙的手忙脚乱的，退房等了差不多半个多小时。另外早餐也很一般。', '短评打分': 5}
{'短评内容': '酒店相当不错，空气好又安静。。。。。。。。。。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '真的是很好的休闲度假的地方，建筑迷人、房间精致、服务一流。下次还是会入住的！', '短评打分': 5}
{'短评内容': '很干净，服务态度非常好，值得一去。建议加强周边的商业和景点', '短评打分': 5}
{'短评内容': '服务和环境都非常好  !就是离市区比较远!', '短评打分': 5}
{'短评内容': '新修建的酒店 条件不错\n人也不多 身处别墅区 感觉很很不错', '短评打分': 5}
