{'短评内容': '房间没有想像的那么大，装修环境差不多。', '短评打分': 5}
{'短评内容': '还可以 公牛大品牌用起来放心 还可以 公牛大品牌用起来放心', '短评打分': 5}
{'短评内容': '还好吧&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;', '短评打分': 5}
{'短评内容': '离火车站很近，出行方便～步行前往也是非常便捷的，这次帮叔叔阿姨定的酒店，回馈给我说还是比较满意的。下次坐火车还是住这里', '短评打分': 3}
{'短评内容': '离口岸很近，地铁站也近，附近有便利店银行，还算方便，在住宿楼里面有点吵', '短评打分': 3}
{'短评内容': '其他都还可以，就是在网上订的时候，明明写着房费是275，也是按这个价钱付了担保。但是到现场付钱的是303，问工作人员，也没有给出什么解析。大晚上的，也就只能认了', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '真心很不错', '短评打分': 4}
{'短评内容': '不错吧，现在住', '短评打分': 5}
{'短评内容': '还算不错呢。', '短评打分': 4}
{'短评内容': '我为什么喜欢在京东买东西，因为今天买明天就可以送到。我为什么每个商品的评价都一样，因为在京东买的东西太多太多了，导致积累了很多未评价的订单，所以我统一用段话作为评价内容。京东购物这么久，有买到很好的产品', '短评打分': 5}
{'短评内容': '就有点偏僻，卫生很好', '短评打分': 5}
{'短评内容': '酒店还不错，价格便宜。', '短评打分': 5}
{'短评内容': '酒店还不错，价格便宜', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '还好。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '只能说太偏僻了', '短评打分': 5}
{'短评内容': '房间干净整洁，保持锦江之星一贯的标准。早餐不错，很适合南方人的口味。地理位置有点偏，号称靠近罗湖口岸，但走路去罗湖口岸真心有点远。', '短评打分': 4}
{'短评内容': '京东旅行的酒店服务真心不错，而且促销力度大，很超值。', '短评打分': 5}
{'短评内容': '比如家之流看起来干净点，没收费类摆在房间，离罗湖口岸走路不超过20分钟，旁边一品香之类快餐店有2家，2素一汤吃饱大约14块，蛮实惠，卫生间是个败笔，吹风机风力小到离谱，开门动静像拆门，早上5点半可以退房，交了房卡，也没查验就可以走，感觉比较好', '短评打分': 5}
{'短评内容': '飞机取消航班了，没住上', '短评打分': 5}
{'短评内容': '酒店不错，性价比高。', '短评打分': 5}
{'短评内容': '挺不错，非常好。', '短评打分': 5}
{'短评内容': '不错的，房间算干净', '短评打分': 5}
{'短评内容': '质量还不错，无窗口的感觉，已经不要选了', '短评打分': 5}
{'短评内容': '好很好很舒适位置也很好下次还住。。。。。', '短评打分': 5}
{'短评内容': '要是早点儿知道京东上可以定酒店就好了。酒店的位置还不错，距离口岸很近，就是那个价格便宜的房间是只有一个小窗户，加了30块钱也不是50块钱换了一个大的', '短评打分': 5}
{'短评内容': '一如既往的好，也一如既往的干净', '短评打分': 5}
{'短评内容': '锦江全是快捷酒店里很不错的', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '几乎每次来深圳都会住这里 离万象城走路只要5-10分钟 去罗湖口岸也很方便。             ', '短评打分': 5}
{'短评内容': '从进酒店到办理入住到离店，没有招呼声，也没有一个笑脸，办理入住的服务人员感觉冷冷的！', '短评打分': 3}
{'短评内容': '位置便利，出地铁方便抵达。闹中取静，吃饭购物方便。房间也卫生也不错，前台的女孩也蛮认真的，是合格的经济型酒店。', '短评打分': 4}
{'短评内容': '位置很好，快捷酒店档次', '短评打分': 4}
{'短评内容': '位置极好，离万象城很近，周边还有很多快捷酒店', '短评打分': 4}
{'短评内容': '非常宽敞！服务也很好！帮我们提前打扫房间让我们入住！', '短评打分': 5}
{'短评内容': '周边挺好的，就是不太容易找，卫生还不错的', '短评打分': 4}
{'短评内容': '还可以救是有点偏', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店很小，凑合吧', '短评打分': 3}
{'短评内容': '市中心方便\n\n发送自HTC手机', '短评打分': 3}
{'短评内容': '房间看起来很干净啦，就是门很薄，一大早有人在走廊讲话就会被吵醒，感觉是在房间里讲话一样。冲厕有点不好使', '短评打分': 5}
{'短评内容': '各个方面都不错，离万象城也非常近，去火车站也很方便。', '短评打分': 5}
{'短评内容': '地点不错, 可是在深巷子里, 看得到找不着路进去', '短评打分': 5}
{'短评内容': '不太好，下次不会考虑，商务\nb房小有霉味，位置在背街不好找', '短评打分': 3}
{'短评内容': '不错物有所值，不过空调该清洗了，有异味。', '短评打分': 3}
{'短评内容': '1、位置有点偏，交通不便；的士不会开进来，很多的哥都不知道。各个方面都是不错的。', '短评打分': 1}
{'短评内容': '1、位置有点偏，交通不便；\n2、管理不是太好\n（细节：借了一把伞，上街回来之后就还了前台，还告诉他房号；结果结账时候又问我要伞。虽然是很小的插曲，也能体现一个酒店的管理水平、管理者的细心程度以及对顾客的重视）', '短评打分': 1}
{'短评内容': '各个方面都是不错的，只是有一点，的士不会开进来，很多的哥都不知道', '短评打分': 5}
{'短评内容': '感觉还可以，位置也算挺便利的。餐厅的商务套餐不错，时间很快，8分钟内能上来，赞一个！', '短评打分': 5}
{'短评内容': '住过几次，感觉很好', '短评打分': 3}
{'短评内容': '酒店很干净！位置也还不错，不过前台新人居多不太专业！还算是不错吧！', '短评打分': 5}
{'短评内容': '房间很干净.就是隔音不太好…', '短评打分': 3}
{'短评内容': ' 第二次入住. 非常好, 服务态度认真负责.', '短评打分': 5}
{'短评内容': '很干净, 安全, 安静, 就是早餐优点贵, 下次还会入住.', '短评打分': 5}
{'短评内容': '整体感觉不好，空间偏小，如厕老塞。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '锦江之星非常安静，睡觉很舒服。', '短评打分': 3}
{'短评内容': '很好，很温馨的经济酒店，特别是早餐味道不错，而且丰盛。从窗口看出去是万象城的LV广告灯。。。闹中取静，', '短评打分': 5}
{'短评内容': '干净，舒适很喜欢。地理位置也很好。锦江之星确实不错哦。', '短评打分': 5}
{'短评内容': '房间舒服干净且安静,下次还来住!', '短评打分': 3}
{'短评内容': 'clean, tidy and comfortable. ', '短评打分': 5}
{'短评内容': '酒店还算干净不过盖了被子有点发痒，而有点吵', '短评打分': 1}
{'短评内容': '明明订是219元的怎么变成239？ 酒店干净就是睡的时候全身发痒，害我跟女儿一晚睡不号最后拿自己衣服来盖才能睡', '短评打分': 1}
{'短评内容': '房间不错,很安静,也很舒适,就是稍微难找了些,离万象城不是想象中的近,对于要穿高跟鞋的人来说,挺远的,哈哈!总体上很好!!!!!!!!', '短评打分': 5}
{'短评内容': '舒适，性价比OK', '短评打分': 3}
