{'短评内容': '酒店还可以 房间也挺干净 热水也足  希望换成一次性拖鞋', '短评打分': 5}
{'短评内容': '酒店还可以 房间也挺干净 热水也足  希望换成一次性拖鞋', '短评打分': 5}
{'短评内容': '挺好的房间 也很干净 热水也很足 但要能换成一次性拖鞋就好了', '短评打分': 5}
{'短评内容': '很一般般', '短评打分': 3}
{'短评内容': '性价比挺高的', '短评打分': 5}
{'短评内容': '暖气还行，很暖和。服务员的服务很好，很贴心，没有水了给倒一壶开水送来！', '短评打分': 5}
{'短评内容': '酒店干净整洁，位置安静，适合出差入住，停车方便，设施尚可，服务员比较有礼貌。在携程预订了以后留有房间，报名入住', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '离学校近', '短评打分': 4}
{'短评内容': '环境不错，就是中央空调不凉快', '短评打分': 5}
{'短评内容': '卫生间没有门，一个人住还可以，两个人住就很尴尬。因为住了两天，通知服务员打扫房间，只是随意弄了一下。根本不彻底。心里凉了。前台服务态度一般。', '短评打分': 2}
{'短评内容': '很好，出差入住', '短评打分': 5}
{'短评内容': '挺好、性价比很高，推荐！', '短评打分': 5}
{'短评内容': '价格实惠，整体还可以，就是设施旧点，不影响住宿，床不错。', '短评打分': 3}
{'短评内容': '不错，经常入住，挺不错的！', '短评打分': 3}
{'短评内容': '很不错的一家店 早餐是自助的 有很多选择 房间很大 有三星级的标准 在东昌东路 周围交通很便利 去聊城的购物街很近 下次去还是会选择入住 真的很好', '短评打分': 5}
{'短评内容': '很干净，服务很好，早餐也不错哦,在东昌路，很方便', '短评打分': 5}
{'短评内容': '再次入住了 很超值啊 交通便利 早餐不错', '短评打分': 5}
{'短评内容': '酒店环境还不错！', '短评打分': 3}
{'短评内容': '设施齐全 ，干净卫生，下次还会给来聊城的朋友订', '短评打分': 5}
{'短评内容': '优点：房间光线明亮，室内干净整洁，床上用品面料花色不错。\n缺点：早餐时间不准，七点就餐时间到七点十分都没准备好。', '短评打分': 5}
