{'短评内容': '性价比还可以，就是水太烫了~', '短评打分': 4}
{'短评内容': '一般般，酒店老了', '短评打分': 3}
{'短评内容': '一般 三楼有个ktv好吵', '短评打分': 3}
{'短评内容': '酒店便宜、三楼KTV很吵、洗澡水忽冷忽热、前台服务态度好。', '短评打分': 3}
{'短评内容': '还可以，价格便宜，周边方便', '短评打分': 5}
{'短评内容': '环境很好、早餐丰富、不错！环境很好、早餐丰富、不错！环境很好、早餐丰富、不错！环境很好、早餐丰富、不错！', '短评打分': 5}
{'短评内容': '环境很好、早餐丰富、不错！环境很好、早餐丰富、不错！环境很好、早餐丰富、不错！环境很好、早餐丰富、不错！', '短评打分': 5}
{'短评内容': '环境很好、早餐丰富、不错！环境很好、早餐丰富、不错！环境很好、早餐丰富、不错！环境很好、早餐丰富、不错！', '短评打分': 5}
{'短评内容': '还可以的！', '短评打分': 5}
{'短评内容': '还可以的！', '短评打分': 5}
{'短评内容': '整体效果还可以就是门锁是坏的', '短评打分': 4}
{'短评内容': '环境太吵闹，因为3楼有KTV，建议住6楼的房间，服务倒是不错，很热情，设施都比较老旧了，热水洗澡很快，周边有沃尔玛商业广场，买东西吃饭都很便利，随便住住还可以吧！', '短评打分': 4}
{'短评内容': '老客户，为人好，性价比高，临近办公地点，下次还会入住', '短评打分': 3}
{'短评内容': '老客户，老板为人好，性价比高，临近办公地点，下次还会入住', '短评打分': 3}
{'短评内容': '服务比较热情，早餐也不错，下次还会住', '短评打分': 2}
{'短评内容': '位置不错，紧临沃尔玛闹市区，房间也不错，值得推荐！', '短评打分': 3}
{'短评内容': '不错啊，交通方便，里面也很干净，大家不信可以去住一晚', '短评打分': 5}
{'短评内容': '房间不错，挺大的，空调给力啊，直接感冒了', '短评打分': 5}
{'短评内容': '房间很不错，设施之类的也是非常好的，推荐一下。', '短评打分': 5}
{'短评内容': '第二次入住了，这次住的地方比上次好一点，没有很吵', '短评打分': 5}
{'短评内容': '房间还可以，就是楼下KTV有点吵，不过12点以后会关门的。整 体来说不错哦', '短评打分': 5}
{'短评内容': '房间卫生，被单，用品干净，睡着舒服，服务非常到位！', '短评打分': 5}
{'短评内容': '虽然楼下就是卡拉ok~不过过了0点也没那么吵了~so~住的还行~', '短评打分': 5}
{'短评内容': '不错的酒店,环境和服务都能接受.\n但是早餐10元偏贵,没有什么吃的.', '短评打分': 5}
{'短评内容': '房间不错，就是楼下KTV隔音有点差，其他都很好，很满意~', '短评打分': 5}
{'短评内容': '牌桌间在5楼 房间蛮大的 电视机有点小 离床很远 视力很好猜看的清楚\n有一个小方桌给你打牌用的 还行吧 感觉性价比不高！', '短评打分': 5}
{'短评内容': '住的是6楼的房间 感觉很一般 最差的是浴室水实在太小太小 基本没法好好洗澡 地漏也漏的很慢很慢 基本上下次不会再考虑入住', '短评打分': 1}
{'短评内容': '性价比超高，酒店房间整洁，卫生间很体贴，还有免费大宝SOD使用，下次还会去住。房间很宽敞，设施基本上是星级宾馆的设施，而不是普通那种简单连锁商务酒店。假如灯具能用得更好些，可以是三星的标准了。', '短评打分': 5}
{'短评内容': '环境很好……大床很舒服……', '短评打分': 3}
{'短评内容': 'hen man yi,xia ci hai lai                                                                      ', '短评打分': 5}
{'短评内容': '边上是居民小区，也是条马路，但是不吵闹，楼下是KTV，不影响睡觉，底楼隔壁有小店，早上还有早餐卖，当然，宾馆的早餐更实惠！！', '短评打分': 5}
{'短评内容': '不吵不闹，周边是居民小区，2个红绿灯外有大型超市，宾馆带早餐，5元/人，虽然品种不多，但是能吃的饱，很划算！！！', '短评打分': 5}
{'短评内容': '挺不错的，价格公道，很干净，之前看评价说楼下KTV会吵，不过我觉得还好，可能我睡得比较晚吧，以后还会选择他的', '短评打分': 5}
{'短评内容': '交通便利，服务较好，环境不错，卫生较好，整体感觉舒适', '短评打分': 5}
{'短评内容': '环境还可以。。价格能不能在优惠点啊。。比如说网上订购抵会员卡。。', '短评打分': 5}
{'短评内容': '晚上KTV有点吵，其它还好。', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '环境可以,就是有点吵', '短评打分': 3}
{'短评内容': '性价比还是蚉高的，周边商业区比较近，走走就到了。三楼有个KTV，对睡眠环境有要求的，最好不要住四楼。', '短评打分': 5}
{'短评内容': '.成功入住', '短评打分': 3}
{'短评内容': '德清本来就不大，小小的一个县城。很方便就找到了。中兴路也是主干道。外表非常普通，很不起眼。但是进了房间，非常整洁，有特色，非常温馨。这个价格有这样的房间。感觉很值了。看来大家的眼光是一样的。唯一美中不足的是，下面的卡拉OK的确扰人。基本满意的', '短评打分': 5}
{'短评内容': '水月清华宾馆环境很好，很干净，价钱非常低廉，但酒店设施相当齐全，住的很满意，再去莫干山时还会住水月清华宾馆', '短评打分': 5}
{'短评内容': '房间很宽敞,价格也很便宜.,服务很好,下次还来住', '短评打分': 5}
{'短评内容': '很干净，房间大、交通方便，到火车站和开发区都很近，客人觉得较满意。\n早上粥很好喝\n\n', '短评打分': 5}
{'短评内容': '武康市区中心地段，房间还过得去，对得起这个价格。', '短评打分': 5}
{'短评内容': '服务很好，房间也很干净，很不错。', '短评打分': 3}
{'短评内容': '环境非常好，标准间很大，就算是三人入住也完全够。缺点么冬天空调不是很热。卫生环境很好，设施也很到位。', '短评打分': 5}
{'短评内容': '不错，干净，洗澡水挺大，价格也行，周边生活设施还可', '短评打分': 3}
{'短评内容': '基本上都不错，性价比挺高的，唯一的一点意见是3楼的KTV唱到了12点多，有待改进', '短评打分': 5}
{'短评内容': '比较新的宾馆，设施都比较新，位置好，早饭5元比较实惠。是去莫干山的必经之路，在武康住宿的好选择。', '短评打分': 5}
{'短评内容': '水月清华真的是家很不错的旅馆，价格实惠，设施都非常的好。床好大好舒服哦。就是墙壁不太隔音，有待加强哦。', '短评打分': 5}
{'短评内容': '我已点评过了', '短评打分': 3}
{'短评内容': '前台服务态度很好。我住的601，洗澡水小了点。下次还会住。', '短评打分': 5}
{'短评内容': '没有网络接口无法上网  郁闷', '短评打分': 5}
{'短评内容': '房间蛮大，会推荐', '短评打分': 5}
{'短评内容': '性价比还不错', '短评打分': 5}
{'短评内容': '很干净的一家酒店，服务态度很好，美中不足就是设施有点旧，但是这个价格，性价比非常不错啦', '短评打分': 5}
{'短评内容': '交通挺方便的，而且有好多小零食，也没比超市贵多少，不错，就是隔音不是很好，晚上会听到外面空调的声音，有时隔壁说话也能听到。。', '短评打分': 5}
{'短评内容': '喜欢整体紫色的装修风格，晚上有点吵', '短评打分': 5}
{'短评内容': '很不错德酒店，性价比很高，除了位置距离景点有点远以外，其他各个方面都很不错！当然，夏天去莫干山的话，还是建议住在山上～', '短评打分': 5}
{'短评内容': '物美价廉 性价比很高 \r\n', '短评打分': 5}
{'短评内容': '隔音效果太差，晚上好吵', '短评打分': 3}
{'短评内容': '位置不错，去哪都挺近，房间设备也不错，不过地板都发霉了，房间一股臭味，窗户也坏了，关不上', '短评打分': 5}
{'短评内容': '性价比高，房间温馨。交通方便。只是三楼KTV有点吵。', '短评打分': 3}
{'短评内容': '位置还是不错的,离市中心很近,出行都很方便,房间的卫生和设施上也是不错的,很符合酒店的价位,我还是很满意的.', '短评打分': 3}
{'短评内容': '房间感觉很舒适，类似于如家、汉庭的风格，卫生情况也不错，价格也适中，在城市的较中心地带，交通也很方便~~', '短评打分': 5}
