{'descr': '隔音不怎么好，卫生服务都是挺好的。', 'star': 5}
{'descr': '早餐不知道，是自己买的，不清楚能不能加床，应该是不可以，可以带孩子，位置很好 对面就是大润发超市  ', 'star': 5}
{'descr': '性价比超高，卫生间大房间大，采光好，设施齐全。15元的早餐品种虽不是很多但这个价太值了吃的舒服卫生，车位少，住了三天动了二次车，幸运的都能停上，推荐住宿。', 'star': 5}
{'descr': '酒店环境不错，也很好找。周边吃喝购物都很方便。就是隔音效果有待提高。半夜里居然还能听到婴儿啼哭。不过总体还是满意的！', 'star': 4}
{'descr': '都可以', 'star': 5}
{'descr': '舒适，环境不错', 'star': 5}
{'descr': '酒店很不错~', 'star': 5}
{'descr': '房间大，干净，舒适，早饭也很好', 'star': 5}
{'descr': '房间大，早餐也很好！强烈推荐', 'star': 5}
{'descr': '很好，方便，干净！', 'star': 5}
{'descr': '很好，很好，很好', 'star': 5}
{'descr': '服务很到位，设施齐全', 'star': 5}
{'descr': '还行', 'star': 4}
{'descr': '还行', 'star': 4}
{'descr': '酒店停车场很小，房间有点味道，位于市中心很便利。', 'star': 4}
{'descr': '挺好', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '洗浴，卫生都很好，床也很舒服，宽带也不错，交通方便··但是隔音很差，灯光较暗，前台服务态度较差··', 'star': 1}
{'descr': '房间小了一点，别的都还行情。', 'star': 3}
{'descr': '挺好的 位置比较方便 周围环境也不错 买东西吃饭 交通都很方便', 'star': 5}
{'descr': '价格很便宜，但是没有停车位，没办法让人安心睡觉。', 'star': 1}
{'descr': '性价比不高，房价小，设备也一般，下次不会选择，位置还是非常好的', 'star': 1}
{'descr': '房间小了点，别的还行，不过最近如家的卫生问题闹得很凶啊', 'star': 5}
{'descr': '距火车站和长途汽车站仅一公里，地处闹市区。房间干净，交通便利。', 'star': 3}
{'descr': '交通方便，市中心，房子小了点。', 'star': 3}
{'descr': '地段还可以，服务一般般感觉，下次还会入住，实惠', 'star': 5}
{'descr': '还不错，就靠近大市口~~~住的很开心，就是镇江不是很好玩~', 'star': 5}
{'descr': '吃早餐时遇到团队用餐，现场较混乱，餐厅没有做好准备，许多食品都没有，后在前台投诉后，免了早餐费。希望酒店以后应该做好团队用餐人数的统计，食品预备的充足点。并且和个人旅客做好时间上的分开，避免拥挤。', 'star': 5}
{'descr': '环境一般，无线网络信号极差，网线损坏，电视遥控器有点问题，服务不错。', 'star': 1}
{'descr': '如家酒店商务套房，干净整洁，美观大方，舒适度不错。', 'star': 3}
{'descr': '还不错，如家的感觉到那边都一样，服务还可以的', 'star': 5}
{'descr': '干净', 'star': 3}
{'descr': '地理位置在市中心，出行方便，环境不错，住的挺舒服的', 'star': 5}
{'descr': '很喜欢中间的淋浴间，很有气氛，被子盖起来很软很舒服。', 'star': 5}
{'descr': '很不错的位置，性价比高的价格，推荐入住。', 'star': 5}
{'descr': '一般般 看起来不咋的。。。不过价格还可以', 'star': 5}
{'descr': '地点好，酒店开业的时间有点久，设施不是很新。离八佰伴很近。', 'star': 5}
{'descr': '位置很好,房间有点小,但价格还好,房里有怪味不知道是什么味,服务还可以,没味就更好了,,,,', 'star': 5}
{'descr': '价格，地理位置都是不错，就是房间太小~   住的房间视野不够好', 'star': 5}
{'descr': '房间很好，很干净，空间也大', 'star': 3}
{'descr': '价位适中，位置优越，是出差旅游的好选择。', 'star': 5}
{'descr': '位置好，价位适中，服务态度也不错。是出差旅游的好选择', 'star': 5}
{'descr': '酒店位置不错，离市中心火车站都很近，只是前台看着很简陋，房间也算干净，网速很好，可是房间电话只供内部使用，电视也比较小。', 'star': 5}
{'descr': '位置较好,交通方便,服务热情,卫生干净,127有点超出想像,比较给力', 'star': 5}
{'descr': '房间很干净，装修也很好，值得推荐！！！！！！！！！！！！！', 'star': 5}
{'descr': '酒店还行，就是隔音效果差些，隔壁的声音很清楚。', 'star': 3}
{'descr': '隔音不好。别的还行的。卫生状况良好，服务不错', 'star': 5}
{'descr': '这次价格好优惠，房间还算干净，就是有点旧了。前台一直说没有吹风机可以借的，这点不好', 'star': 3}
{'descr': '价格比较实惠，位置也不错，唯一的缺点就是没有停车位置。', 'star': 5}
{'descr': '性价比很好，最重要的是卫生很好，第二次入住，给个好评！', 'star': 5}
{'descr': '标间比大床房好点，地段不错，但毕竟狭小啊', 'star': 5}
{'descr': '感觉一般，空调有点问题，陈设有点旧，地段不错', 'star': 5}
{'descr': '环境不错。本以为会有很大噪音的，但还好。', 'star': 5}
{'descr': ' 环境不错的!', 'star': 3}
{'descr': '在市中心，交通十分方便，周围也很热闹，房间也挺干净的', 'star': 5}
{'descr': '黄金周房价还涨了，房间太小，其他没感觉。', 'star': 1}
{'descr': ' 环境很好!', 'star': 3}
{'descr': '已经成功入住镇江如家中山桥店，总体感觉还不错比较干净整洁！', 'star': 3}
{'descr': '位置很好，很方便，但隔音效果确实不好', 'star': 3}
{'descr': '位置很好，保安负责，住的条件也很好。价格合理，前台态度也不错。 ', 'star': 5}
{'descr': '镇江地方本来也没多大，但是前台服务员基本的路都不认识。房间太小，和如家其他连锁店相差较远。房门不严，不好开关，感觉也不安全。早餐的品质也不能和其他如家相比，价格倒是跟其他分店看齐。', 'star': 1}
{'descr': '不喜欢..................', 'star': 1}
{'descr': '环境还行吧，就是蚊子多，并且隔音效果不好', 'star': 3}
{'descr': '中山桥店风格和扬州相似.晚上', 'star': 3}
{'descr': '地址不错 ，出入很方便，房间干净,灯光暗了点', 'star': 5}
{'descr': '该酒店很不错，我喜欢住如家，我经常出门，经常住。', 'star': 5}
{'descr': '还不错，可以选择入住，价位也合理。地理位置也还好', 'star': 5}
{'descr': '环境不错，设施也挺细心的，有家的感觉', 'star': 3}
{'descr': '离新火车站打车九元，周边商业交通餐饮都挺方便，大床房房间挺大而且干净，只是靠近路边窗外比较吵。', 'star': 3}
{'descr': '“如家”很简单、但很干净。这一家有早餐，要是可提供中、晚餐就更好了。', 'star': 3}
{'descr': '房间不错，处于镇江市中心，交通，购物很方便。', 'star': 5}
