{'短评内容': '房间还不错早餐不错够可以，就是房间气味大，请酒店管理人多多注意', '短评打分': 3}
{'短评内容': '挺好的，房子稍微有点味道，网线有点短，床挺大的，有地毯', '短评打分': 5}
{'短评内容': '刚去看了下，晚上入住。很干净，也很安静，舒适，总之，比较喜欢。', '短评打分': 5}
{'短评内容': '不错，下次还回去。可以，支持中。价格再实惠些就更好', '短评打分': 5}
{'短评内容': '挺好的，服务卫生都不错，就是小了点，显的有点压抑', '短评打分': 5}
{'短评内容': '整体来说，房间比较干净、整洁，只是空间不是很大。', '短评打分': 5}
{'短评内容': '背马路那面不吵，网上订得便宜好多，离科大近，很方便', '短评打分': 3}
{'短评内容': '环境很好，还有免费早餐，以后常订这家酒店', '短评打分': 5}
{'短评内容': '感觉很好，附近小吃不错，交通便捷！', '短评打分': 3}
{'短评内容': '酒店房间还可以，比较干净，对的起这个价格。', '短评打分': 3}
{'短评内容': '房间比想象中的要小得多，卫生条件一般，服务态度还行，交通方便', '短评打分': 1}
