{'短评内容': '挺不错的！附近饭店挺多的，交通也很方便，20路直达高铁站！', '短评打分': 5}
{'短评内容': '酒店离邢台矿务医院很近，干净卫生，物美价廉，值得推荐。', '短评打分': 5}
{'短评内容': '参加考试，自己定的，大床房，阳面、床好大只占了很小一点，很干净', '短评打分': 5}
{'短评内容': '非常非常好，每次出差都住这里，很安静', '短评打分': 5}
{'短评内容': '不含早餐', '短评打分': 5}
{'短评内容': '不含早餐', '短评打分': 5}
{'短评内容': '很好  不错  离医院很近  方便', '短评打分': 5}
{'短评内容': '地理位置不错，服务也可以，就是隔音太差，各种噪音！！！！！！', '短评打分': 5}
{'短评内容': '还可以。。', '短评打分': 4}
{'短评内容': '还可以。。', '短评打分': 4}
{'短评内容': '还不错 ', '短评打分': 5}
{'短评内容': '交通方便，离医院很近，床也很舒服', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '一直以来就住这里，环境很好', '短评打分': 3}
{'短评内容': '环境很好。到医院很近方便出行。', '短评打分': 3}
{'短评内容': '一般啦，洗澡不太方便。', '短评打分': 3}
{'短评内容': '非常不错', '短评打分': 5}
{'短评内容': '挺干净的，房间也很大，推崇', '短评打分': 3}
