{'短评内容': '设施很旧。。。隔音不好。。。', '短评打分': 3}
{'短评内容': '很差 公寓式   空调都没有   卫生差   味道难闻', '短评打分': 1}
{'短评内容': '很差 公寓式   空调都没有   卫生差   味道难闻', '短评打分': 1}
{'短评内容': '还行，前台帅哥服务态度好，热水全天候供应，住在23楼，采光风景都很棒，就是位置有点偏，设施有点旧，总体来说床很不错，睡了个好觉。', '短评打分': 4}
{'短评内容': '满意超便宜', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '哎！失望得很，私自换掉我订的单间，换成标准间。这是很不对的行为，差评', '短评打分': 5}
{'短评内容': '干净舒适宽敞', '短评打分': 5}
{'短评内容': '晚上房间突然停电   打电话给服务台  结果那态度   真是没谁了', '短评打分': 4}
{'短评内容': '感觉很不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '我住的是标间，酒店的交通便捷，房间的空间较大，性价比高 ，缺点就是房间很难找', '短评打分': 4}
{'短评内容': '性价比可以，交通方便', '短评打分': 4}
{'短评内容': '性价比可以，交通方便', '短评打分': 4}
{'短评内容': '性价比可以，交通方便', '短评打分': 4}
{'短评内容': '性价比可以，交通方便', '短评打分': 4}
{'短评内容': '性价比可以，交通方便', '短评打分': 4}
{'短评内容': '酒店不正规，相关客户明细单提供不了，不方便商务入住。', '短评打分': 1}
{'短评内容': '很安静，还有一个小阳台，不错。性价比很高。', '短评打分': 5}
