{'短评内容': '服务很差', '短评打分': 3}
{'短评内容': '床不好', '短评打分': 3}
{'短评内容': '还是非常不错的', '短评打分': 5}
{'短评内容': '还是非常不错的', '短评打分': 5}
{'短评内容': '辣鸡', '短评打分': 3}
{'短评内容': '挺干净的', '短评打分': 5}
{'短评内容': '挺干净的', '短评打分': 5}
{'短评内容': '不错，很干净', '短评打分': 5}
{'短评内容': '环境卫生都不错，服务态度好，价格不高，住得舒心。', '短评打分': 5}
{'短评内容': '没热水，没空调……差评', '短评打分': 2}
{'短评内容': '居然能住这么好的房间 让我太意外了 而且还有wifi非常开心', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '卫生一半早餐一般价格还可以', '短评打分': 3}
{'短评内容': '酒店设施比较老，应该重新装修了', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '服务态度不好，房间里水都没有，没有早餐。', '短评打分': 1}
{'短评内容': '一般吧\n\n发送自HTC手机', '短评打分': 3}
{'短评内容': '还行吧，就是卫生间那里的窗户是贴纸的，没有窗帘，五点多天就很亮了，房间里太亮睡不着了', '短评打分': 5}
{'短评内容': '一般吧，房间不大，隔音不好，淋浴设备室坏的', '短评打分': 1}
