{'短评内容': '总之不得已才会选择这这里。真的不是很好。', '短评打分': 3}
{'短评内容': '位置不错，干净整洁，价格便宜', '短评打分': 5}
{'短评内容': '前台服务员不错', '短评打分': 5}
{'短评内容': '这床让我们过敏了', '短评打分': 1}
{'短评内容': '便宜', '短评打分': 4}
{'短评内容': '酒店还可以。挺干净的。', '短评打分': 5}
{'短评内容': '好的，好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '服务还是挺好的', '短评打分': 5}
{'短评内容': '很好，干净，很方便', '短评打分': 5}
{'短评内容': '简洁干净，价廉物美，商务出差/旅游首选', '短评打分': 5}
{'短评内容': '卫生可以，设施旧了些，前台很热情，免费升了级。', '短评打分': 4}
{'短评内容': '風雨ㄩ英雄抢劫Spoil    时恰巧碰到路过的警车，欢快的搭顺风车直达监狱，入狱251分钟。 ---------------- 犯罪武器：如意金箍棒 失败禁言：7 血量减少：5 风险增加：1 ---------------- 可喜可贺，風雨ㄩ英雄被罚款173积分。 ---------------- Tips：坏事别做太多啊孩子！', '短评打分': 5}
{'短评内容': '经济实惠的酒店，地理位置优越，附近万华广场很热闹，吃饭方便，离景点也很近，是个不错的中途休息站，保安工作认真', '短评打分': 5}
{'短评内容': '酒店环境还不错', '短评打分': 5}
{'短评内容': '临街的房间尽量不要住，真的吵！其它都还行！', '短评打分': 4}
{'短评内容': '临街的房间尽量不要住，真的吵！其它都还行！', '短评打分': 4}
{'短评内容': '还不错，给了隔音的房间，不吵了！', '短评打分': 4}
{'短评内容': '就是没有窗户', '短评打分': 4}
{'短评内容': '酒店挺不错，性价比高，虽然靠着马路，但有双层玻璃，一点也不吵，房间也不小。', '短评打分': 5}
{'短评内容': '房间面积大，性价比实惠。美中不足：马路边噪音大，对面是中石化加油站，我晕，倒。', '短评打分': 5}
{'短评内容': '服务很好，卫生也不错，也很经济实惠。位置也很好。出差旅行就来这里住。绝对不白来。\n', '短评打分': 5}
{'短评内容': '服务不错 房间干净 就是周围环境有点嘈杂', '短评打分': 5}
{'短评内容': '价钱很实惠，住的比较舒服，整个都很不错，唯一就是电梯太老了', '短评打分': 5}
{'短评内容': '环境不错，服务员待人和蔼，除了不能洗衣服外，其他都很好。', '短评打分': 5}
{'短评内容': '房间很干净，网速很快', '短评打分': 3}
{'短评内容': '酒店还不错，性价比高，就是没早餐，临安野生活太少，一到天黑都关门，吃饭也不方便。不过酒店似乎管理有漏洞，居然有发招嫖信息的名片，塞房间了。。。', '短评打分': 5}
