{'短评内容': '哈哈哈哈哈哈哥哥哥哥哥哥哥', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '因为当地确实不怎么发达，这样的评价已经超过平均值很多很多了', '短评打分': 4}
{'短评内容': '因为当地确实不怎么发达，这样的评价已经超过平均值很多很多了', '短评打分': 4}
{'短评内容': '房间不错、装修精致、设施齐全、早餐丰盛、服务周到贴心、交通较便利，经常入住，以后有机会还会再次选择这家酒店入住。', '短评打分': 5}
{'短评内容': '房间不错、装修精致、设施齐全、早餐丰盛、服务周到贴心、交通较便利，经常入住，以后有机会还会再次选择这家酒店入住。', '短评打分': 5}
{'短评内容': '房间不错、装修精致、设施齐全、早餐丰盛、服务周到贴心、交通较便利，经常入住，以后有机会还会再次选择这家酒店入住。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '房间很大、装修精致、设施齐全、早餐丰盛、服务周到贴心、交通较便利，经常入住，以后有机会还会再次选择这家酒店入住。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '非常舒适，服务很好。早餐丰富多彩，午餐妙不可言。每一次住都有回到家的轻松感，每到毕节必住的酒店。', '短评打分': 5}
{'短评内容': '还不错，特别是早餐特别丰盛，。', '短评打分': 5}
{'短评内容': '毕节很好的酒店了，早餐很棒。服务员态度很好！以后价格合适肯定还会考虑！', '短评打分': 5}
{'短评内容': '很好 价格合理两百多就能享受星级服务 早餐也不错 酒店位置也很好找 酒店服务人员态度也不错 下次还会来', '短评打分': 5}
{'短评内容': '周边比较方便', '短评打分': 4}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '真的很棒！房间布局反酒店环境出人意料，真正的物美价廉，在四川同等价位是住不上这种规格的酒店的！如果有机会再次故地重游的话，还是会选择这家酒店的！', '短评打分': 5}
