{'descr': '房间有点小', 'star': 4}
{'descr': '真是是呵呵', 'star': 3}
{'descr': '无早餐，住的大床房，房间很小，加不了床，适合单人出差住宿，不适合亲子出游住宿。酒店位置还是不错，很安静。', 'star': 4}
{'descr': '房间干净整洁 整体效果不错', 'star': 5}
{'descr': '卫生差，服务差，洗漱用品差', 'star': 1}
{'descr': '。。。。。。。。。。。', 'star': 5}
{'descr': '太一般了', 'star': 3}
{'descr': '该酒店信誉很差，订好的房间叫我们加价后确认入住。', 'star': 2}
{'descr': '房间干净，服务挺好的~~', 'star': 5}
{'descr': '不错！情不自禁多住了几晚', 'star': 5}
{'descr': '不错！情不自禁多住了几晚', 'star': 5}
{'descr': '挺好挺好挺好', 'star': 5}
{'descr': '为同事订的房，离展会还比较方便，据说还行。', 'star': 4}
{'descr': '交通还算方便 酒店有早餐就好了', 'star': 5}
{'descr': '不错，出差非常好的选择', 'star': 5}
{'descr': '还可以，比较适合年轻情侣住', 'star': 3}
{'descr': '酒店还可以，这个位置这个价格已经很不错了', 'star': 5}
{'descr': '酒店还可以，这个位置这个价格已经很不错了', 'star': 5}
{'descr': '环境不错。就是电视有点小。其他的还可以。和图片上基本一样', 'star': 5}
{'descr': '服务热情\n环境舒适\n美中不足，空调老旧，灯光暗淡\n很有情调', 'star': 5}
{'descr': '位置应该算是在小区里，虽然不太往里，就在把口，但是第一次去肯定不太好找。\n\n热水半截没有了，不知道怎么回事，前一天晚上洗的时候是有的，次日早上把热水调到顶头了，依然不热。大夏天了，也就算了，不过要是冬天，这点可够呛了', 'star': 5}
{'descr': '房间整体感觉不错，圆床很有情调。\n地毯一如既往花哩胡哨的，显得不是太干净。。。\n有蚊子，咬死了，最后凭借双手，自己逮着了。。。\n厕所挺好的，布置和设置都挺好，就是在纸篓旁边发现有只死蟑螂尸体。。。败笔了。\n空调不太好用，制冷非常慢。。。', 'star': 5}
{'descr': '还好啦.就是空调有点老旧.服务还不错.总体来说同档次的温酒店极相比有些贵.但离国展很近.很方便.', 'star': 3}
{'descr': '酒店不错很舒服', 'star': 3}
{'descr': '和当初预订的房间不符合，强烈建议酒店讲信用。灯光设施很差。', 'star': 1}
{'descr': '满屋子都是发霉的味道，破空调也不管用。我下次不会再住这里啦！', 'star': 3}
{'descr': '酒店布置的很温馨，情侣入住很合适，空调开关接触不太好，请服务员帮忙。谢谢', 'star': 5}
{'descr': '服務雖然很好但性價比確實不高,且附近的快節酒店也比較便宜,透過藝龍的價格並沒有在老國展附近具有競爭力....畢竟裝潢等都已經老舊...浴室也不明亮\n', 'star': 1}
{'descr': '房间太小了。。呵呵~~~      淋浴室坏的~~~', 'star': 1}
{'descr': '有小强！建议注意卫生！洗澡不到二十分钟就没热水，大冬天的叫人情何以堪。住的是顶楼，暖气声音很大。', 'star': 3}
{'descr': '外观还可以，房间太冷。没有吃早餐的地儿。', 'star': 1}
{'descr': '环境很幽境，卫生也很干净，很舒服！', 'star': 3}
