{'短评内容': '不错，很好，老板娘很热情！住啦三天，在她那里', '短评打分': 5}
{'短评内容': '酒店很差，老板很好。', '短评打分': 2}
{'短评内容': '各方面还好，店主热情介绍，谢谢店主的关照', '短评打分': 3}
{'短评内容': '吹风机梳子浴帽都没有.浴巾还是破的.房间里有老鼠虫子.还是住在公寓里隔壁都是乱七八糟什么人都有', '短评打分': 1}
{'短评内容': '位置还不错，离中山路很近，老板服务也挺热情的。但是，房间内外的环境都太差了，房间内的设施已经不是陈旧的问题了，好多东西都是坏的。客观评价，没有任何感情色彩。', '短评打分': 3}
{'短评内容': '双人床，空间很大，地理位置很不错毗邻中山路步行街。 房间电器设备有空调，冰箱和电视。 不过房间卫生不太干净，尤其是厕所！', '短评打分': 3}
{'短评内容': '不想多说，有wifi，有床，有热水。其他如果计较太多就会严重影响旅游心情。', '短评打分': 3}
{'短评内容': '网上的图片应该是10前的，与实际根本完全不一致，除了房间够大，其它的根本没话说，一个字~烂，最后悔的就是，交了那个保证金不能退，要不然，一定退。', '短评打分': 2}
{'短评内容': '洗漱用品需要改进！', '短评打分': 3}
{'短评内容': '酒店地理位置还是不错的，交通方便。但是房间在一栋公寓大厦里，走道好黑，房间设施一般。', '短评打分': 5}
{'短评内容': '离中山路确实不算远，房间也很大，不过条件较差。', '短评打分': 1}
{'短评内容': '老板很热诚，很给力，环境也还不错。总的来说，在中山街附近能住这地方，感觉还是不错的，重要的是交通方便，给个好评。', '短评打分': 5}
{'短评内容': '除了地理位置好些,室内的设施太陈旧,部分地方和物品显得很脏,比如卫生间的浴帘。老板比较热情,指路和接引人都较主动,但如果花些精力去把室内太陈旧和太脏的设施或物品更换下,推荐的指数会大得多。唯一的惊喜是有全自动洗衣机。', '短评打分': 1}
{'短评内容': '酒店没有招牌，不好找，地理位置很好，就在中山路上，顶的是情侣房，但房间很普通，不如图片所见，老板和河南人，客气，不错。酒店走廊太长，歪歪绕绕的，单身女的住估计有点害怕。', '短评打分': 1}
{'短评内容': '从湖东火车站做公车到思东站下车，一下车就看到公寓的48号，上去找到612，因为没有住过这种私人地方，所以不知道怎么找，只看到612有住人，一个男的抱小孩子，以为自己找错了，后来去问了物业人员，原来这种是住家式的，又回到楼上询问了之前看到的那男人，原来他就是老板，因为老婆去接客人了，所以他带小伙子，还不到三个月的小孩子，长得很可爱。。。房间在9楼，挺大的，就是单身公寓，设施是比较老旧，但有阳台，洗衣', '短评打分': 5}
{'短评内容': '店家人很好，很热情。酒店的地址真的很方便，楼下就是中山路。', '短评打分': 3}
