{'短评内容': '办事效率，性价比高。', '短评打分': 5}
{'短评内容': '还不错，中规中矩', '短评打分': 5}
{'短评内容': '竟然专票开完了，真不知道酒店怎么搞的。另外，前台问房费开普票还是专票，这种弱智问题为什么还要问！国家要求房费开专票你酒店唧唧歪歪干嘛？不开专票我要普票何用？早餐一般般，去的晚一点水果都没有了。', '短评打分': 3}
{'短评内容': '退房很快', '短评打分': 5}
{'短评内容': '前台人员很热情，房间床很大，推荐入住。', '短评打分': 5}
{'短评内容': '曾经星沙的王牌酒店，酒店周边配套较多，吃饭出行还挺方便的，这么多年过去，历经沧桑，酒店比较老了，设备设施有些陈旧了', '短评打分': 4}
{'短评内容': '早上起晚了，没吃到早餐，房间很大，也很安静，前台服务不错，适合住。', '短评打分': 5}
{'短评内容': '可以，感觉很好', '短评打分': 5}
{'短评内容': '不错，在星沙，这酒店算不错的，就是一次性牙具要收费，长沙好像都这样', '短评打分': 5}
{'短评内容': '挻好的', '短评打分': 5}
{'短评内容': '还行吧 价格跟一线城市比算可以的', '短评打分': 5}
{'短评内容': '价格实惠，酒店环境还可以。', '短评打分': 4}
{'短评内容': '酒店不错，很干净！性价比高', '短评打分': 5}
{'短评内容': '还可以，交通比较方便', '短评打分': 4}
{'短评内容': '不错，但是暖气到非常晚了才开。', '短评打分': 5}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '服务非常好，卫生挺好的，离孩子读书的地方近，交通很方便', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '离办公区域比较近，新开发区还是比较方便的', '短评打分': 5}
{'短评内容': '整体还不错，就是第一晚的房间续房的时候才告诉我是前一天房间不够才免费升级的，入住的时候说一下就好了，省的我东西什么全没整理留房间还要去整理', '短评打分': 5}
{'短评内容': '非常非常失望的一次住宿。交的豪单的钱 居然安排我住标单，最生气的是前台几个人都不主动道歉，一直在找借口，4星的酒店就这水平，房间3星都不如，还有更生气的是4号发生的事情 7号才和携程沟通 ，我觉得这种酒店管理简直就是丟酒店业的脸！迟早会被淘汰！呜呼哀哉……', '短评打分': 3}
{'短评内容': '忘记跟同事了解了，想必不会很差吧，否则肯定被抱怨了。', '短评打分': 5}
{'短评内容': '第一次来长沙，总体感觉良好，早餐也可以，结账的速度比较快，值得推荐！！！', '短评打分': 5}
{'短评内容': '第三次入住，用了酒店的跑步机，还不错，可以承受我的大体重。', '短评打分': 5}
{'短评内容': '.华天连锁酒店.大堂漂亮.设施齐房间干净,装修新 .但空调不好.推荐', '短评打分': 3}
{'短评内容': '属于开发区的这家酒店，比较新，虽然是在马路边，但因为楼层高还不算吵~~', '短评打分': 5}
{'短评内容': '环境不错，早餐简单', '短评打分': 3}
{'短评内容': '服务周到，环境安逸。酒店设施很好。总体感觉不错。', '短评打分': 5}
{'短评内容': '第二次入住了，退房非常慢，建议提前半个小时。', '短评打分': 5}
{'短评内容': '酒店小吃不错,不过房间价格相对与里面的装璜贵了点', '短评打分': 5}
{'短评内容': '酒店装修新，设施不错，早晨一般，品种不多，牙刷，拖鞋都不是免费的，需要自带。', '短评打分': 5}
{'短评内容': '酒店硬件设施还可以,就是办理入住的速度太慢,早餐也不怎么样,让人气愤,下次肯定不住,太让人失望,什么都是等等等..........', '短评打分': 1}
{'短评内容': '不错，房间干净，服务非常热情真诚，早餐还算丰富，以后去长沙都会住，免费送水就好了。', '短评打分': 5}
{'短评内容': 'it is very good and not far away from the airport.  good to recommend', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 3}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '酒店一般,前台接待真的有点业余,本来预订2间,但只记录一间!!!!!!!!!!!!!', '短评打分': 1}
{'短评内容': '第二次入住这个酒店卫生还可以！距离飞机场还是算近的。', '短评打分': 5}
{'短评内容': '不错的酒店，比较方便，距离我的目的地也很方便。', '短评打分': 5}
{'短评内容': '这酒店不错。环境，位置都挺满意。酒店的早餐也还可以了。以后肯定再入住', '短评打分': 5}
{'短评内容': '还不错，早餐差点事，房间服务也不错。性价比挺高的', '短评打分': 5}
{'短评内容': '性价比不错，早餐一般。房间新。以后还会住。', '短评打分': 5}
{'短评内容': '一直觉得华天酒店是不错的酒店，但这次入住有点小失望，酒店房间很一般，打车也很不方便。', '短评打分': 5}
