{'短评内容': '到株洲最佳选择到家感觉', '短评打分': 5}
{'短评内容': '不咋地', '短评打分': 2}
{'短评内容': '空调很烂，一次性拖鞋也要钱，厉害了', '短评打分': 2}
{'短评内容': '地点还可以，设施有点老。', '短评打分': 5}
{'短评内容': '装饰老，早餐一般。', '短评打分': 4}
{'短评内容': '还行还行还行', '短评打分': 5}
{'短评内容': '还行还行还行', '短评打分': 5}
{'短评内容': '一般般，不划算。', '短评打分': 4}
{'短评内容': '地理位置好，房间大，卫生不错，早餐一般。', '短评打分': 5}
{'短评内容': '地理位置好，卫生一般，服务还好，早餐一般。', '短评打分': 5}
{'短评内容': '地理位置好，服务可以，早餐一般。房间大，舒服。', '短评打分': 4}
{'短评内容': '株洲很热闹的地方，可以看到湘江，早餐较一般，卫生服务还可以。', '短评打分': 5}
{'短评内容': '还行，就是有点吵', '短评打分': 4}
{'短评内容': '前台接待太过古板，预定房间要过14点后才肯给办理入住手术。房间超大，但设施比较陈旧。并且房间内没有无线网络。', '短评打分': 3}
{'短评内容': '房间本身挺好，乱七八糟的东西多', '短评打分': 3}
{'短评内容': '酒店地址所处的位置好，交通便利，距服装城很近。边上有小吃街，吃也很方便。宾馆房间很大，设施有点陈旧，酒店的服务员服务态度较好，总体上性价比较髙。  ', '短评打分': 4}
{'短评内容': '不错，这个价格觉得还是物超所值，Wifi信号也很好', '短评打分': 5}
{'短评内容': '＋酒店环境很好，住着很舒服。', '短评打分': 3}
