{'短评内容': '房间有点旧', '短评打分': 3}
{'短评内容': '房间还不错', '短评打分': 5}
{'短评内容': '订的大床房，但房间有异味，需要开窗透透气才好点', '短评打分': 4}
{'短评内容': '设备太简单，', '短评打分': 5}
{'短评内容': '酒店有点旧，房间宽敞，离银川鼓楼近，购物吃饭都很方便。', '短评打分': 4}
{'短评内容': '前台服务很好，美眉很有亲和力。本来定了10月2日一晚，到店实际看了房间感觉很好就又续签了2天，热水很好，只是第一天出去回来房间没收拾，希望改进，总之很好，性价比高。', '短评打分': 5}
{'短评内容': '酒店的性价比很高，值得入住。楼下的购物和吃饭也十分方便，离市中心很近。办事购物很方便。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '在银川算是比较好的酒店，主要有无线网络。下次可考虑。', '短评打分': 4}
{'短评内容': '方便', '短评打分': 5}
{'短评内容': '酒店舒适，价格适中，', '短评打分': 3}
{'短评内容': '位于市中心，价位适中，性价比高。', '短评打分': 5}
{'短评内容': '条件不错，性价比挺高，就是房间数貌似不多，而且靠街一侧的房间比其他的大', '短评打分': 5}
{'短评内容': '非常不好！', '短评打分': 3}
{'短评内容': '    很不错的酒店，性价比挺高。前台的先生们热情、专业，客房干净、安静，被褥整洁，被子和枕头都有低调的提花，质感柔软。房里的顶灯也是梅花形的，和酒店标志一致，床头灯真的真的非常漂亮，是我住过的各星级酒店中最美的，我拍了照片上传了，只是不知是哪个城市的剪影。\n    再说说不够好的地方哈，1浴室没有干湿分离，洗澡过后整个地面都湿答答的，2房间里缺一面穿衣镜，女士在浴室里照的话只能看到上半身的，3壁', '短评打分': 5}
{'短评内容': '环境还不错   出差临时入驻   推荐下  支持', '短评打分': 5}
{'短评内容': '客房还是很不错的，有电脑可以上网，房间比较安静，提供的洗浴用品的瓶子很可爱，质量都不错。淋雨的地方没有浴帘或者其他遮挡，有点不习惯。楼层服务员的服务意识极差，态度也不好。大厅的服务员就好的多。', '短评打分': 5}
{'短评内容': '酒店硬件条件够，服务意识好！推荐入住！下次再来哈', '短评打分': 5}
{'短评内容': '比较新的酒店。酒店不算大，早餐品种不多，性价比还算可以吧。我入住的房间有烟味，开窗通风却进了蚊子，没想到五月初在银川就有蚊子了。。。', '短评打分': 5}
{'短评内容': '酒店内部设施有点陈旧，而且房间这不是很大，网上的图片和实际的有很大差别。', '短评打分': 5}
{'短评内容': '凑合吧，银川能找到这样的商务酒店不错了。早餐太一般了。卫生要加强啊，一掀开被子看见几根长短头发，@#%！￥%……@#￥……@%￥……￥！#%', '短评打分': 5}
{'短评内容': '还不错，就是卫生间布局一般', '短评打分': 3}
{'短评内容': '酒店位置不错，离商业区比较近，房间卫生干净，离民航大厦近，方便于去机场。', '短评打分': 5}
{'短评内容': '入住五天，没有任何不满意，下次回来还是会选择这里。', '短评打分': 3}
{'短评内容': '住了五天，没有不满意的地方。其他的我上面的点评有说。', '短评打分': 5}
{'短评内容': '绝对超值，房间硬件设施基本达到四星标准，光纤速度快，服务态度很好。就是单人间空间有点小，推荐标准间', '短评打分': 5}
{'短评内容': '房间空间大，卫生干净，硬件配置全，网速特别快，绝对超值。', '短评打分': 3}
{'短评内容': '服务没跟上，态度非常好', '短评打分': 3}
{'短评内容': '感觉不错，性价比比较高，房间有电脑，电视比较大', '短评打分': 5}
{'短评内容': '房间还可以就是小点', '短评打分': 3}
{'短评内容': '设施很一般，早餐真要改进下就好了。地理位置不怎么样。', '短评打分': 1}
{'短评内容': '酒店是新开的，服务态度不错，还可以用消费券，早餐也可以，不过吃早餐的餐厅比较冷，酒店标准间的面积很小，最不可接受的就是开发票还要交税，交完税就超标准了，不适合经常出差人员。', '短评打分': 1}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '位置很好，酒店设施非常够档次，暖气很热，房间很安静。', '短评打分': 5}
{'短评内容': '各方面硬件设备能达到准四星标准,房间隔音很好，暖气很热，早餐一般。', '短评打分': 5}
{'短评内容': '酒店非常不错，环境很好，就是卫生间洗完澡容易积水', '短评打分': 3}
{'短评内容': '居然不提供免费瓶装矿泉水，第一次碰到这样的事。电视机能收到的台太少了。', '短评打分': 1}
{'短评内容': '门的隔音效果太差了，卫生间比较的不OK，淋浴简陋的不是一般。', '短评打分': 1}
{'短评内容': '房间有装修的异味，感觉挺浓烈的，改进早餐质量啊。', '短评打分': 1}
{'短评内容': '房间比较小，早餐一般，环境还算可以。电梯真让人郁闷，每天早上吃早饭时等电梯真要命，希望能改进电梯服务。', '短评打分': 5}
{'短评内容': '酒店很舒适很新,是还会再光顾的商务酒店', '短评打分': 3}
{'短评内容': 'very convenience and good hotel!~~ ', '短评打分': 5}
{'短评内容': '前台服务新手还需加强培训，既然搞抓奖活动，也没人负责管理，需要住户主动要求才给抓奖，搞得非常差。', '短评打分': 1}
{'短评内容': '新开的酒店，餐饮服务需要尽快完善和加强，电视信号偏差，还需加强，我住的房间没有暖风，房间内温度有点低', '短评打分': 5}
{'短评内容': '新开的酒店，房间还行，但电梯太慢了，经常有一部电梯停用，等电梯时间太长了，餐厅准备不足，点餐花样太少，速度慢', '短评打分': 5}
{'短评内容': '属于中档商务酒店，肯定不够四星级。是原电力宾馆装修改造的，设备较新。地理位置不错，出入方便。早餐不太丰富，没有饮品只有粥。', '短评打分': 5}
{'短评内容': '性价比很高，早餐也好吃，服务态度也很好，干净整洁，房间也很舒适。让人住着很舒服。', '短评打分': 5}
{'短评内容': '新建成的宾馆，配套设施不完善，商务不配套，比较干净，达不到四星标准，但整体还算干净，服务也算可以，交通便利。', '短评打分': 5}
{'短评内容': '酒店才开不久，味道有点大，设施很不错，性价必还行', '短评打分': 3}
{'短评内容': ' 房间设施挺好，早餐也好吃，房间舒适，服务态度特别也好，一起都和我心意，特别床大睡觉舒适', '短评打分': 5}
