{'短评内容': '不怎么样，以后不会再去了', '短评打分': 3}
{'短评内容': '设施很旧，房间很大味道。', '短评打分': 2}
{'短评内容': '酒店位置离火车站很近，房间干净，去各个景点坐公交很方便，附近很多共享单车，服务员态度很好，还是不错的选择。', '短评打分': 5}
{'短评内容': '酒店位置离火车站很近，房间干净，去各个景点坐公交很方便，附近很多共享单车，服务员态度很好，还是不错的选择。', '短评打分': 5}
{'短评内容': '这个价格不值', '短评打分': 5}
{'短评内容': '很好，很棒，酒店不错，服务很好！', '短评打分': 5}
{'短评内容': '嗯，挺好的，，，，，', '短评打分': 5}
{'短评内容': '总体来说都还行就是看不到外边的景象很压抑啊 还需多多改善 热水方面一定要做好 还有床单 都有黄点了 很郁闷', '短评打分': 5}
{'短评内容': '去的时候比较早还没有房间，说是等到12点才有！', '短评打分': 3}
{'短评内容': '环境卫生都不错，价格很实惠了！', '短评打分': 5}
{'短评内容': '房间挺好的，就是估计最近人太多了被单没有太干，有点潮湿，总体来说挺好的，在市中心，挺繁华', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '位置不错，但是其他设施以及卫生一般！', '短评打分': 3}
{'短评内容': '交通比较方便，行李晚上的火车，中午退房时行李可以寄存，免了下午玩的时候带行李之苦。', '短评打分': 4}
{'短评内容': '总体还行', '短评打分': 4}
{'短评内容': '宾馆设备较新，服务人员态较好，周边交通较方便，旅游景点均可公交直达，离火车站不远。    ', '短评打分': 4}
{'短评内容': '宾馆设备较新，服务人员态较好，周边交通较方便，旅游景点均可公交直达，离火车站不远。    ', '短评打分': 4}
{'短评内容': '价格还算公道，房间也比较大，隔音条件不错，不过看起来不是很干净，而且淋浴喷头是坏的', '短评打分': 5}
{'短评内容': '感觉设施啥的不值这个价格，再便宜些就好了。但至少交通方便，也不要求高了', '短评打分': 5}
{'短评内容': '挺好的，主要是离火车站汽车站都很近。对面还有商贸城，初来开封的人不怕没地逛！', '短评打分': 5}
{'短评内容': '没有洗漱用品，只有一个插头，喷头是坏的，水龙头很脏。房间有味道，潮潮的感觉，室内设备很老旧。无法刷卡，只能用现金。', '短评打分': 1}
{'短评内容': '距离开封火车站走路5分钟左右，周边夜市比火车站周边热闹繁华，公交车出行很方便；酒店环境还行，这个价格还算可以；房间内略显湿热，床单略脏。', '短评打分': 5}
{'短评内容': '房间有点小，设施有点陈旧，但服务非常到位！！！', '短评打分': 5}
{'短评内容': '酒店住着还可以，就是预定的特价房四间，入住前通知你没了，只有两间了，另两间变成了高价房！', '短评打分': 5}
{'短评内容': '离火车站其实走挺远，一公里多了·两个公交站那么远。大堂还不错·可是住的房间真心不好，是我4天以来最差的一家·洗澡的喷头那出水小的啊····但是服务员人挺好的，而且门口就是公交站，到哪里都方便。门口就有小吃摊，也不怕饿·', '短评打分': 5}
{'短评内容': ' 洒店很干净', '短评打分': 3}
{'短评内容': '还可以吧，比较安静！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '酒店距离火车站很近，但房间很安静也很干净。我住的是电脑房，比较满意。', '短评打分': 3}
{'短评内容': '其实一切都还好 但是卫生间的味道儿太大了', '短评打分': 1}
{'短评内容': '就是服务不好', '短评打分': 3}
{'短评内容': '离火车站近，交通便制，卫生一般，服务还行，下次还住。', '短评打分': 5}
{'短评内容': '还凑合。设施老了点', '短评打分': 3}
{'短评内容': '一般般,房内弥漫下水道味。', '短评打分': 3}
{'短评内容': '很普通，只有面巾，沒有浴巾............\n\n也沒有電梯的喔，有太多行李的遊客不是很合適的。', '短评打分': 1}
{'短评内容': '服务热情周到，态度很好。房间很干净、很整洁', '短评打分': 5}
{'短评内容': '房间不错,挺干净.', '短评打分': 3}
{'短评内容': '还行吧，和99元的价位比起来还是可以的，要求不能太高，但是到到周末要涨60元太不靠谱了。离夜市佷近，吃饭很方便，不过说实话，也没什莫可吃的，环境太差', '短评打分': 5}
{'短评内容': '一般，特价房有些潮湿，房间有些暗。\n一般，特价房有些潮湿，房间有些暗。\n一般，特价房有些潮湿，房间有些暗。', '短评打分': 5}
{'短评内容': '服务态度很好...卫生干净...交通便利', '短评打分': 5}
{'短评内容': '＋服务还行，就是住了三天被单床单不换，饮用水有点吃紧，蒋志宏。\r\n蒋志宏', '短评打分': 3}
{'短评内容': '还可以吧！就是房间太小了。不过99元也行了。', '短评打分': 5}
{'短评内容': '价格好象没有什么优势，环境还可以，性价比较高，网速非常快，值得推荐', '短评打分': 5}
{'短评内容': '环境不错，干净，房间设施齐全，网速不错，性价比比较高', '短评打分': 5}
{'短评内容': '性价比低,水质也不好,有水垢.没电梯,早餐很差,粥有臭味,但楼层的服务员态度很好.', '短评打分': 1}
{'短评内容': '一般吧，早餐一般，只有馒头和很少的青菜。隔音效果很不好，深更半夜还有打扫卫生，一大早就有很大的电视声音，总之，很不咋的', '短评打分': 1}
{'短评内容': '酒店位置很好，但没有电梯，有些不方便，房间水不能饮用也很不方便，虽然条件有点差，但服务人员都很热心，所以推荐一下，继续努力', '短评打分': 5}
{'短评内容': '如果满分是100分的话，可以打80分。\n比较靠近火车站，对面就是商贸城，但是还是比较安静的。\n如果去龙亭、清明上河园，1路和打的都很方便。\n细节上多考虑一些，如拖鞋、插座等等。', '短评打分': 5}
{'短评内容': '房间挺大的，价格也实惠。只是房间里烧的喝的热水是混的，早餐也不太好，我们是出去吃的。房间不隔音。 总体性价比还可以。', '短评打分': 5}
{'短评内容': '感觉设施有点旧，但五一还凑合吧！卫生一般！', '短评打分': 2}
