{'短评内容': '酒店离地铁站近，对面有罗森', '短评打分': 4}
{'短评内容': '方便，价格实惠', '短评打分': 5}
{'短评内容': '不错，交通方便', '短评打分': 5}
{'短评内容': '环境好', '短评打分': 5}
{'短评内容': '酒店位置很好，网上订房很方便，清洁也做的不错！', '短评打分': 5}
{'短评内容': '学校附近安静', '短评打分': 5}
{'短评内容': '交通方便，出去就是小吃街，周边有一些步行街，离菱角湖很近', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '五星好评，客服十分好  有礼貌', '短评打分': 5}
{'短评内容': '方便快捷，非常满意！', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '还可以，我住过七天性价比最高的了，地点好找就在棱角湖D出口附近', '短评打分': 5}
{'短评内容': '地址接近地铁站位置很好，房间也很干净。', '短评打分': 5}
{'短评内容': '一般吧！', '短评打分': 4}
{'短评内容': '挺好的，挺舒适的。', '短评打分': 5}
{'短评内容': '无论上哪都是住7天酒店已经好些年了，都习惯了。', '短评打分': 5}
{'短评内容': '离地铁站挺近的', '短评打分': 5}
{'短评内容': '七天就是房间太小了，这个哪里都一样，别的都挺好的，也特别安静，周围吃的不多', '短评打分': 5}
{'短评内容': '一般 房间小', '短评打分': 2}
{'短评内容': '干净卫生整洁，可惜这间没有窗户。', '短评打分': 5}
{'短评内容': '服务员不错', '短评打分': 4}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '灯光暗，设施旧，显地脏', '短评打分': 5}
{'短评内容': '在我家附近，就是洗簌用品还要单独收费，不爽', '短评打分': 3}
{'短评内容': '前台姓邹嫂子服务差！房间隔音太差！', '短评打分': 2}
{'短评内容': '房间里面还算干净吧，就是不知道床单有多久没换了，隔音效果不好！不过前台的服务人员态度很好，值得学习，', '短评打分': 4}
