{'descr': '正常连锁快捷酒店的设施。工作人员态度很好～', 'star': 5}
{'descr': '一楼有12元一位', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '总体来说不错，就是早餐有点简单', 'star': 5}
{'descr': '还不错，服务态度也很好', 'star': 5}
{'descr': '还可以吧，住了好几次了，就是设备有一点点旧', 'star': 5}
{'descr': '可以的，但是我不理解了，我出去买个早点的功夫，为什么服务员就自己过来打扫？我的证件，手机，钱包都在屋里，回来时吓我一跳', 'star': 5}
{'descr': '还不错，比较实惠', 'star': 4}
{'descr': '很棒的酒店，交通便利，干净卫生很棒的酒店，交通便利，干净卫生很棒的酒店，交通便利，干净卫生很棒的酒店，交通便利，干净卫生', 'star': 5}
{'descr': '房间干净，服务到位', 'star': 5}
{'descr': '房间卫生打扫的不干净', 'star': 3}
{'descr': '环境挺不错的，', 'star': 5}
{'descr': '性价比不高，硬件需要提升！', 'star': 4}
{'descr': '这是我住过的最迷你的酒店，什么都是小一号的，卫生间也很小，电视也很小，半夜睡觉很冷，早餐12元一位没啥东西，性价比不高，住店价钱是229元从网上定，在石家庄不算便宜。总体说硬件需要提升！', 'star': 4}
{'descr': '性价比很高', 'star': 4}
{'descr': '性价比很高！', 'star': 4}
{'descr': '很干净很好', 'star': 5}
{'descr': '很好的酒店呢', 'star': 5}
{'descr': ':有窗，挺舒服的。网速也好。是个休闲的好地方。', 'star': 3}
{'descr': '  房间随小，但很温馨，设施齐全。不过电视的遥控器坏了呢～感觉还是不错的', 'star': 3}
{'descr': '环境优雅，房间整洁，服务态度好，配套设施齐全', 'star': 5}
{'descr': '非常好。很干净。门口就是公交站。很方便，离超市也很近。环境不错', 'star': 5}
{'descr': '非常好。房间干净卫生很温馨，前台餐厅服务态度非常好。酒店大堂的布局也很温馨。早餐可口卫生。', 'star': 5}
{'descr': '我是元旦入住的，一进大堂就感觉大厅布置和前台的服务非常温馨。房间也非常温馨，房间非常干净卫生，很好，服务员的服务也特别好，第二天的早餐可口、温馨。退房也非常快捷。', 'star': 5}
{'descr': '前台服务很好，很亲切，给人感觉非常亲切。客房卫生很干净，床单整洁，非常好。早上的自助早餐虽然简单但不是可口。酒店位于石家庄高校区附近。非常好，考试很方便。', 'star': 5}
{'descr': '酒店很干净卫生，离高校区很近，考试特别方便。前台服务员听说我们是参加考试的考生特意帮我们安排楼层高很安静的房间，非常感谢，服务很好，满足了我们的需求。自助早餐可口卫生，很方便，对我们这些赶时间的，提供了帮助。谢谢。', 'star': 5}
{'descr': ' 成功入住驿家365 房间小  其他还不错。', 'star': 3}
{'descr': '出差入住这家店，进去给我的感觉总体还算不错，服务员的态度挺好，环境卫生也还挺好，出去购物挺方便，附近有两个大型超市，距离高校区较近，附近的服装点也挺多，总体还算不错吧，以后我还会入住这家店，没去过的朋友也可以去感受一下还是蛮不错的嘛', 'star': 5}
{'descr': '房间太小了，而且外面就是大街，早晨很早就很吵闹，希望休息好的朋友就别定这间酒店了。\n我是凌晨接近一点才到机场，机场大巴司机给推荐的这家', 'star': 1}
{'descr': '我是出差入住的驿家红旗店，位置还算可以，交通也挺便利，周边还有两个大型的超市，而且去火车站或是打车都挺方便，最主要的服务态度还挺好，热情，周到，如有机会还会选择那里去入住。', 'star': 5}
{'descr': '环境很好，虽然有点小但是温馨，服务态度太差，很生气！', 'star': 3}
{'descr': '经济实惠，房间调配总体还行，但网速有待提高。', 'star': 5}
{'descr': '我已入住，酒店很干净，服务也很好，谢谢！', 'star': 3}
{'descr': '比较舒适', 'star': 3}
{'descr': '环境好，位置也好，订的大床间，床是大，但房间小了些。服务不错。', 'star': 5}
{'descr': '1.价格尚可 \n2.地理位置还比较好\n3. 周围有36524便利店 购物比较方便\n4. 公交车 、打车都比较方便\n5. 硬件设施有待提高，马桶总坏 ', 'star': 5}
{'descr': '环境还可以 服务质量也很不错', 'star': 3}
{'descr': '不是怎么好啊，竟然没有人给打扫卫生，厕所没纸了都不知道给换', 'star': 3}
{'descr': '新开的店，都还不错。就是隔音差了点儿。顺道说一句，叫醒服务别再叫晚了~~', 'star': 5}
{'descr': '地方还不错，就是发票紧张了一点，不过店家还是按承诺给我就到单位了！', 'star': 5}
{'descr': '还算可以把，就是房间小～～～～～～～～～～～～～～～', 'star': 5}
