{'短评内容': '房间压抑，暖气不开，空调的风太干，没有热水。价格还可以', '短评打分': 4}
{'短评内容': '不想跟你犟，一个房间中间填堵墙就是两个房间了？跟隔壁用一个窗户你特么能忍了？屋子里面一个卫生间一个床就满了，落脚的地方都没有，这就是你说的三十平？人家仲都的三十平有你们两个大。携程说是店的事，店里说是携程量的尺寸。', '短评打分': 1}
{'短评内容': '卫生比较差，房间没有阳光，特别狭小，真是对不起这个价格', '短评打分': 1}
{'短评内容': '环境不错，周围吃的很多，门口就是马路，出行很方便', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '挺好的，以后常来。', '短评打分': 5}
{'短评内容': '房间小，价格低，服务人员态度好，出行方便。建议把卫生间好好清洁一下，有异味。', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '还好吧', '短评打分': 4}
{'短评内容': '房间太小，关窗开空调一晚上有点缺氧，头疼厉害', '短评打分': 5}
{'短评内容': '一般 房间相对比较小 卫生也一般 周边吃很方便', '短评打分': 5}
{'短评内容': '挺好的，', '短评打分': 1}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
