{'短评内容': '就在高架底下，靠路边的很吵，卫生可以，比较旧', '短评打分': 3}
{'短评内容': '代朋友订的，据说非常差，比如家和汉庭等等差太远了，开车很不好找，女服务员嘴脸很难看，搞得好像欠了她很多钱。当地朋友来看望没带身份证不许进房间，拿驾照登记也不行，让只能在大厅，不然报警，我去！', '短评打分': 2}
{'短评内容': '很好，服务态度很好，卫生干净，通风明亮！', '短评打分': 5}
{'短评内容': '位置很好找，交通很方便，公交车站，就在门口，去鼓浪屿也很近，住宿不含早餐，楼下有个卖早餐的每位十元钱，很划算，', '短评打分': 5}
{'短评内容': '前台服务态度差', '短评打分': 3}
{'短评内容': '还没到期入住呢啊？？？！！！咋就让评价呢？！', '短评打分': 5}
{'短评内容': '环境很好，设备齐全', '短评打分': 5}
{'短评内容': '这家酒店离家进，比较方便，价格不贵，所以一般有朋友过来都住这里，对于一个休息的地方来说，它已经足够了', '短评打分': 5}
{'短评内容': '比较难找，在古玩市场里面，中规中矩，没有很好很差', '短评打分': 5}
{'短评内容': '作为快捷酒店中的佼佼者，七天在硬件方面中规中矩，此酒店位于一片成熟小区附近，吃喝交通都很方便，卫生方面也是做的可以，作为一个休息之所，它还是足够的，主要性价比还是比较不错的', '短评打分': 5}
{'短评内容': '性价比不错，要提早订房优惠挺大的。', '短评打分': 3}
{'短评内容': '满意，舒服', '短评打分': 5}
{'短评内容': '临近海沧大桥，整夜都有车经过，太吵了。', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 5}
{'短评内容': '房间挺大的', '短评打分': 5}
