{'短评内容': '还可以。就是前台服务一般般', '短评打分': 5}
{'短评内容': '酒店还可以。欧式风格。住的很舒服。', '短评打分': 5}
{'短评内容': '酒店刚装修很好。光线很好', '短评打分': 5}
{'短评内容': '停车方便，硬件几好。', '短评打分': 5}
{'短评内容': '刚刚重新装修过，房间很大，房间里面配套设施都不错，性价比OK。', '短评打分': 5}
{'短评内容': '交通便利。', '短评打分': 4}
{'短评内容': '早餐不错啊', '短评打分': 4}
{'短评内容': '方便快捷服务不错', '短评打分': 5}
{'短评内容': '订的是标准间因为可以随时入住，房间很宽敞，干净，设备也比较新，而且很安静，很久没有住过这么物廉价美的酒店了。赞一个!', '短评打分': 5}
{'短评内容': '还不错～～～！！！周围交通便利！！！周围环境设施齐全！！！入住酒店感觉不错！！！性价比很高！！！！！', '短评打分': 5}
{'短评内容': '房间很安静，床很舒服。', '短评打分': 5}
{'短评内容': '还不错，很好很好很好很好很好很好', '短评打分': 5}
{'短评内容': '酒店外表看起来比较老旧，但房间设施都还很新。服务员很有亲和力，服务周到，赞一个。总体来说，这家酒店性价比非常高。', '短评打分': 4}
{'短评内容': '房间设施完善，床大且卫生舒适，客房服务周到，酒店周边有小吃集市非常方便。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '整体很好 我特别喜欢酒店的床 非常舒服 位置一般 门口的路不是很宽 交通一般了', '短评打分': 5}
{'短评内容': '已经是第二次入住了，性价比很高的酒店，总体还不错', '短评打分': 5}
{'短评内容': '入住了,感觉还不错,房间挺大也很干净!', '短评打分': 3}
{'短评内容': '房间还挺大的，设施都比较齐全。但是我是冬天入住的，房间总是感觉阴凉阴凉的。', '短评打分': 5}
{'短评内容': '听说是新装修，感觉不错，就是洗澡的喷头有点坏，到处喷。', '短评打分': 5}
{'短评内容': '好象是新装修的,不错,房间很大,舒服.下次还住', '短评打分': 5}
{'短评内容': '酒店还不错，服务也还可以', '短评打分': 3}
{'短评内容': '酒店离东方广场不远 步行的话大概15分钟左右 酒店整体感觉不错 虽然说11楼以上都在装修 而我住在9楼并没有听到明显的噪音 而且房间算是比较大比较干净 服务员的服务态度也不错', '短评打分': 5}
{'短评内容': '酒店还不错，值得推荐，性价比还是比较高的，周围餐饮业比较多', '短评打分': 5}
{'短评内容': '价格适中，房间较大，但房间内装修较旧，晚上外面KTV声音较吵，好在我睡觉时不怕吵~\n', '短评打分': 5}
{'短评内容': 'OK', '短评打分': 3}
{'短评内容': '酒店地理位置还行，旁边有大排档，临近闹市区东方广场，我步行到祖庙半小时，一路逛下来也不错。\n干净为生，服务不错，值得推荐！', '短评打分': 3}
{'短评内容': '一般，没有三星级酒店的环境，服务还过得去，地理位置很好。', '短评打分': 1}
{'短评内容': '230多块的三星级酒店，包早餐，可是早餐实在太差。', '短评打分': 1}
{'短评内容': '房间的热水不好！房间的装修也不好！感觉住的很旧的，不像三星级', '短评打分': 1}
{'短评内容': '没有送早餐,住在八楼晚上听到KTV声音。', '短评打分': 3}
{'短评内容': '酒店很干净，性价比很高。。。值得推介。少少不足就是白天热水不够热。。', '短评打分': 5}
{'短评内容': '酒店性价比还不错！翻新过，比较整洁，服务也不错！', '短评打分': 5}
{'短评内容': '设施陈旧，服务 一般，空气还可以，手续不够灵活', '短评打分': 1}
{'短评内容': '设施比较陈旧，但卫生和空气都还可以，地板是木地板的，看起来比较干净；但不好的就是在酒店饮食消费不能统一开具发票', '短评打分': 3}
{'短评内容': '设施比较旧,卫生和空气还可以.国内电话免费,这个还是不错的.\n不好的就是在酒店消费饮食不开统一发票.', '短评打分': 5}
{'短评内容': '酒店房间比较大，性价比比较高，毗邻东方广场，周边比较旺。有个东方美食城，吃饭比较方便。早餐还不错，只是地方小了一点。', '短评打分': 5}
{'短评内容': '装修旧了一点，交通也还算便利，服务态度也行，不过提供的早餐不是很丰富，味道也一般。', '短评打分': 5}
{'短评内容': '房间挺大，以白色为主，显得挺明亮的，卫生也很好，住的比较舒适。', '短评打分': 5}
{'短评内容': '服务很好，响应很及时，房间打扫也很干净，整体感觉还不错。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '卫生调价要提高', '短评打分': 1}
{'短评内容': '服务很周到，服务人员让人感觉很亲切，办事很积极，和专业，感觉不错。', '短评打分': 5}
{'短评内容': '环境很好，很安静，很干净，住的挺舒适的。', '短评打分': 5}
{'短评内容': '在南海区和佛山市区交界处，地理位置不太好，装修陈旧，性价比不高。不推荐。', '短评打分': 1}
{'短评内容': '房间采光很好，挺宽敞明亮的，打扫的也很干净，设施一般，但是住的挺舒适的。', '短评打分': 5}
{'短评内容': '这家酒店就是位置比较好，交通比较便利，内部环境一般了，卫生打扫的还可以，设施方面比较简陋，整体感觉性价比一般。', '短评打分': 5}
{'短评内容': '总体感觉，一般！\r\n在佛山还找到一家酒店，门面很小，但里面装修不错。呵呵', '短评打分': 1}
{'短评内容': '价位比较适中.3星的酒店设施比较陈旧.服务还是挺热情的.位置一般，周边出行有些不太方便.其它方面还可以.', '短评打分': 5}
{'短评内容': '一般', '短评打分': 1}
