{'短评内容': '旁边KTV震的房间在颤抖，坐在里面都很吵，别说睡觉了', '短评打分': 1}
{'短评内容': '隔音效果太差了  附近房间吵闹 让人无法睡觉', '短评打分': 3}
{'短评内容': '位置不错，逛街很方便，距离地铁站也不远，但酒店有两点不足，一直楼下就是KTV，隔音太差，整个房间都在唱抖，晚上一直唱到12点才安静下来，不适合老人跟需要安静要求高的下榻人群，另外一点就是房间用品不卫生，帕子上有明显污渍不敢用，唯一比较有印象的是酒店前台接待妹妹不错，笑容很亲人。', '短评打分': 4}
{'短评内容': '脏乱差！床上跑出来俩蟑螂，男朋友踩死了两只！前台态度像是吃shi！垃圾不要来！简直不要来！', '短评打分': 1}
{'短评内容': '脏乱差 客服态度特别差！那个胖胖的前台，房卡都是扔着给的！像谁欠她钱一样！前台态度像早上吃了一坨shi一样！不会再来了！床上跑出来了两只大蟑螂！我真的不想说啥了！', '短评打分': 1}
{'短评内容': '前台态度特别好，有什么事都帮忙解决，下次还来', '短评打分': 5}
{'短评内容': '不错，就是楼上是ktv有点吵', '短评打分': 5}
{'短评内容': '环境不错,位置便利好找,值这个价位.', '短评打分': 5}
{'短评内容': '挺不错的，住的习惯', '短评打分': 5}
{'短评内容': '基本上满意', '短评打分': 3}
{'短评内容': '性价比高，就是靠近酒吧还是什么有点吵。看在便宜的份上客服吧！！！！！！！！！！！！！！！！！！！！！', '短评打分': 4}
{'短评内容': '基本上满意', '短评打分': 3}
{'短评内容': '基本上满意', '短评打分': 3}
{'短评内容': '方便', '短评打分': 3}
{'短评内容': '方便', '短评打分': 3}
{'短评内容': '服务好 环境好', '短评打分': 5}
{'短评内容': '经济', '短评打分': 4}
{'短评内容': '环境可以 服务可以', '短评打分': 5}
