{'短评内容': '第一次住宾馆遇到这种情况，服务态度不好，解释能力差，记忆还差。', '短评打分': 1}
{'短评内容': '酒店临近商贸城二区，提供自助早餐，房间较小，灯光昏暗，有部分墙纸脱落了', '短评打分': 2}
{'短评内容': '酒店位置好，停车方便', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '环境不错，可以', '短评打分': 4}
{'短评内容': '设备陈旧，但是无线网络很好！工作人员侃大山厉害。', '短评打分': 4}
{'短评内容': '感觉挺好，挺卫生的', '短评打分': 5}
{'短评内容': '周边有的嘈杂', '短评打分': 3}
{'短评内容': '交通方便，价格便宜，性价比高。', '短评打分': 3}
{'短评内容': '环境不错，卫生还可以，虽然看起来不是很高档，但是还好', '短评打分': 5}
{'短评内容': '价格便宜，虽然设施旧了点，但这里的服务员满亲切', '短评打分': 4}
{'短评内容': '还行 不是很新', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
