{'短评内容': '停车方便，安静', '短评打分': 5}
{'短评内容': '早餐不错，停车方便', '短评打分': 5}
{'短评内容': '环境优雅，闹中取静！', '短评打分': 5}
{'短评内容': '酒店环境非常不错，地理位置也不错，去哪里都很方便，服务很好，性价比很高。卧具干净，浴室稍微有点陈旧。如有需要，还会选择入住。', '短评打分': 5}
{'短评内容': '早餐还可以，里面环境优美！', '短评打分': 5}
{'短评内容': '环境不错，就是给我们安排了个彻夜有光的房间，有点影响休息，朋友喜欢这里，就多住了几天。', '短评打分': 5}
{'短评内容': '房间烟味太重，不值', '短评打分': 3}
{'短评内容': '……不错，重在安静', '短评打分': 5}
{'短评内容': '国企', '短评打分': 5}
{'短评内容': '环境非常好，赞', '短评打分': 5}
{'短评内容': '花园式的酒店，非常舒适', '短评打分': 5}
{'短评内容': '望海宾馆其实望不到海，在上李，周边吃的饭店很多。', '短评打分': 4}
{'短评内容': '环境优美，背靠大山，空气清新，很安静。房间设施齐全，前台服务好。门前是上李站，始发，去各个景点方便，也不远。早餐也不错，出行必备酒店！', '短评打分': 5}
{'短评内容': '环境优美，后面有山，很多漂亮植物，非常安静；多路公交，出行方便；房内设施齐全，用品较新；前台接待人员非常好，咨询出行问题，耐心回答。很满意！', '短评打分': 5}
{'短评内容': '后面有山比较幽静，爬山去植物园那是不可能的。到海边三、四站地，附近没什么好吃的。其它没有任何优点。房间除了没外窗的就是面积特别小的。床很硬很难受。服务员态度特别差，无视请勿打扰挂牌。早餐就是旅行社团餐标准，唯一的荤腥是小干鱼后来小干鱼也没有了变成了虾皮-_-!', '短评打分': 3}
{'短评内容': '环境很好，有点偏，', '短评打分': 3}
{'短评内容': '酒店还行，很安静，周围环境很好，交通也方便，服务员态度也还不错。就是房间窗户太小，隔音效果不好--所以不推荐年轻夫妻入住哦！早餐简单了点，还有就是早餐鸡蛋不是想吃几个都可以的--有一位很吓人的老阿姨在分配--一人一个。', '短评打分': 5}
{'短评内容': '酒店内环境挺优美，因为处在山下，依山傍水，空气清新。唯一的缺陷是，房间还留有装修过的异味，早餐也不够丰盛。', '短评打分': 5}
{'短评内容': '觉得是物超所值,大家可以来试试', '短评打分': 3}
{'短评内容': '还可以，就是卫生间有点小，其它的都还好。', '短评打分': 5}
{'短评内容': '周边环境确实是三星,房型很小(可能是网上订的专用房间),还算干净.春节这个价还行.早餐不敢恭维,太简单了!', '短评打分': 5}
{'短评内容': '外部环境好，离海边和植物园近\n房间比较小，设施一般\n', '短评打分': 5}
{'短评内容': '设施太差。基本没有一样东西可以用。热水器。水壶；空调等。', '短评打分': 1}
{'短评内容': ' 服务周到，环境很好。李献民', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '坐落在山脚下，环境十分优美，没有喧嚣，到各旅游景点及车站方便。', '短评打分': 5}
{'短评内容': '环境比较好,潮湿,貌似网上预定价比现场打折价还要多.', '短评打分': 5}
{'短评内容': '周围环境不错，原本是厦门铁路疗养院，设施比较齐全，但是过年期间价格有点贵，虽说比较旧的别墅型有客厅，但房子有点小，而且两个厕所都不在房间里面，不是很方便。', '短评打分': 5}
{'短评内容': '，酒店太差了!', '短评打分': 3}
{'短评内容': '這家賓館環境好＇價格始終＇還有早餐＇附近可以爬山', '短评打分': 5}
{'短评内容': '很好!', '短评打分': 3}
{'短评内容': '虽然酒店硬件有些陈旧，但环境相当好，对于休闲性质的旅游住宿，建议选择', '短评打分': 5}
{'短评内容': '地方有些偏，我住的一号楼有一个天井，下面放了许多沙发，半夜有团退房非常吵', '短评打分': 5}
{'短评内容': '酒店环境好，卫生干净', '短评打分': 5}
{'短评内容': '卫    生： 非常好 很好 好 一般 差 \r\n服    务： 非常好 很好 好 一般 差 \r\n设    施： 非常好 很好 好 一般 差 \r\n位    置： 非常好 很好 好 一般 差 \r\n舒适度： 非常好 很好 好 一般 差 \r\n性价比： 非常好 很好 好 一般 差 \r\n\r\n', '短评打分': 5}
{'短评内容': '卫生条件还可以，设施陈旧，不完善，空调一开，噪音很大。性价比一般，下次会在考虑其他酒店看看', '短评打分': 1}
