{'短评内容': 'B栋房间很大', '短评打分': 4}
{'短评内容': '酒店还可以', '短评打分': 5}
{'短评内容': '不错，', '短评打分': 5}
{'短评内容': '酒店离珊美地铁站很近，到广东现代国际展览中心只有一站地，交通便利吃饭方便。只是酒店的A栋设施比较老旧，B栋是新楼。', '短评打分': 3}
{'短评内容': '就一个字，差', '短评打分': 1}
{'短评内容': '非常不错，下次再来', '短评打分': 5}
{'短评内容': '不错?可以选择', '短评打分': 5}
{'短评内容': '可以，应该不错', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 5}
{'短评内容': '酒店很不错，还想再来', '短评打分': 5}
{'短评内容': '很好！', '短评打分': 5}
{'短评内容': '酒店设施齐全 对于这个价位来说性价比非常不错了', '短评打分': 4}
{'短评内容': '出差都是住这', '短评打分': 5}
{'短评内容': '出差都住这', '短评打分': 5}
{'短评内容': '位置方便, 房间很大, 装修还可以,性价比高.', '短评打分': 4}
{'短评内容': '酒店位置很好,在商业中心, 离汽车站很近, 酒店装修中规中矩, 没有什么特别但是性价比还不错的,整体可以接受', '短评打分': 4}
{'短评内容': '一般商務酒店，交通便利，附近有很多吃的買的，房間清洁、寧静。', '短评打分': 3}
{'短评内容': '出差都住这里………………………', '短评打分': 4}
{'短评内容': 'ok', '短评打分': 4}
{'短评内容': '非常不错的酒店，早餐的种类很多，最喜欢这里的牛肉面！', '短评打分': 5}
{'短评内容': '非常不错的酒店，性价比很好，虽然没有上五星，但是五星的享受！', '短评打分': 5}
{'短评内容': '酒店的服务不错，晚上停路边的车，保安24小时看护！', '短评打分': 5}
{'短评内容': '酒店的服务不错，晚上停路边的车，保安24小时看护！', '短评打分': 5}
{'短评内容': '酒店的早餐很丰富，住旧楼到新楼有点远，还要走很长一段走廊！', '短评打分': 5}
{'短评内容': '酒店的早餐很丰富，住旧楼到新楼有点远，还要走很长一段走廊！', '短评打分': 5}
{'短评内容': '酒店地理位置很好，就是停车位在路边不太方便！', '短评打分': 5}
{'短评内容': '这次住的是酒店的旧楼，每 天 有水果篮送！', '短评打分': 5}
{'短评内容': '隔音效果不太好，电视太破了，而且台少得可怜，房间里确实有根柱子，这个价贵了。', '短评打分': 5}
{'短评内容': '酒店很好还很新，每天早上还有自助早餐吃··············', '短评打分': 5}
{'短评内容': ' 早餐还不错，卫生间很干净，房间也不错。购物 吃饭 交通都特方便，停车位少了点。唯一受不了的是电视小的可怜，还是老掉牙的款！酒店老板你是咋想的？', '短评打分': 3}
{'短评内容': '性价比还是不错的，去东莞用的比较多的饭店。不过，饭店的洗衣服务其实是在外面洗的，价格差不多3倍左右。', '短评打分': 5}
{'短评内容': '服务很好！房间比较干净！交通也算不错！下次还会选择', '短评打分': 5}
{'短评内容': '有个蒸汽房，蒸蒸蛮不错的。床睡得也还舒服。', '短评打分': 5}
{'短评内容': '房间干净清爽  服务响应快速  前台人员亲切 周边环境也蛮安静', '短评打分': 5}
{'短评内容': '当时订了两个房间，套房很大很舒服，性价比还可以', '短评打分': 5}
