{'短评内容': '住着还顺心', '短评打分': 3}
{'短评内容': '住着还顺心', '短评打分': 3}
{'短评内容': '住着还顺心', '短评打分': 3}
{'短评内容': '感觉还行吧', '短评打分': 4}
{'短评内容': '位于市中心，地理环境好，早餐丰富，价格实惠，一家出游方便住宿，停车位置方便！', '短评打分': 5}
{'短评内容': '设施一般，服务较好，细节不足，胜在比较人性。', '短评打分': 5}
{'短评内容': '不错，长期住的地方', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '为什么说的有30元礼包没给，早餐卷也没给，后来自己去总台要才给。住的地方离办事机构很近，自己办事方便。房间内固定电话有问题，打不了。', '短评打分': 5}
{'短评内容': '一般哦', '短评打分': 3}
{'短评内容': '服务好，卫生，满意！', '短评打分': 4}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '地段不算繁华，但还比较方便。', '短评打分': 4}
{'短评内容': '性价比很高，家庭房有两房两卫生间，就是设备陈旧，早饭尚可', '短评打分': 4}
{'短评内容': '酒店装比较新，屋内环境不错，早餐还可以，酒店不举办会议的时候早餐更好点，酒店出来就是公交站，1，61，64路，交通比较方便，不过打车司机好多不知道，估计是门脸在里面，外面看到的太小了。总体来说还算不错', '短评打分': 5}
{'短评内容': '环境很好，服务也很好，价格便宜。', '短评打分': 5}
{'短评内容': '一般，十几年的三星', '短评打分': 3}
{'短评内容': '\n  因为离公司比较近，所以住那里，三星级的，但是环境一般，家具比较旧，而且也不便宜，但是工作人员态度还是不错', '短评打分': 1}
{'短评内容': '前台大妈拽的跟***似的。条件差。水调半天都不能热，房间潮湿。不值这个价格。坑爹。不如去7天速8.虚假我死全家。删点评的你死全家。', '短评打分': 1}
{'短评内容': '环境还不错，房间挺大的，早餐也挺丰富的，下次还会入住', '短评打分': 5}
{'短评内容': '还可以吧，不过床有点小的感觉，是三星的酒店。另外这个酒店从网上订没怎么优惠呢！上次订的西岭雪山的优惠了，这个没有。还有个问题怎么使用消费卷呢？我的消费卷怎么激活啊？', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': ' 房间还可以交通便利', '短评打分': 3}
{'短评内容': '云龙宾馆位置方便,较干净.设施有点旧.总结:不错', '短评打分': 3}
{'短评内容': '酒店不错，比较方便!', '短评打分': 3}
{'短评内容': '自26层住了4天，房间非常好，价格也很适中，一览成都美景，乐不思蜀；而且对面就是人人乐超市，可以买一些成都的土特产，回去馈赠亲友，雅致体面；下次去成都还住云龙酒店。', '短评打分': 5}
{'短评内容': '该酒店大堂收银员服务态度极差，挂三星标准但不够一星级别，实感不如意。', '短评打分': 3}
{'短评内容': '房间很清洁，服务还可以', '短评打分': 3}
