{'短评内容': '环境很好，价格实惠。', '短评打分': 5}
{'短评内容': '环境硬件确实差，房间隔音也不好，毕竟价钱低也可以接受', '短评打分': 4}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '还可以，为了离目的地近定的酒店', '短评打分': 4}
{'短评内容': '就是房间小了点，不过环境也还是可以的，不错，以后还会住。', '短评打分': 4}
{'短评内容': '一般般', '短评打分': 5}
{'短评内容': '酒店算一般吧！仅仅是个能睡觉的地方。不过旁边的一家餐厅味道不错！', '短评打分': 2}
{'短评内容': '费用倒是不贵，不过房间设施一般。壁纸都破损严重了。', '短评打分': 3}
{'短评内容': '环境不错，经济型酒店，设施旧了点。', '短评打分': 5}
{'短评内容': '位置不好交通也不好', '短评打分': 5}
{'短评内容': '位置方便，房间干净，就是早餐不免费', '短评打分': 3}
{'短评内容': '还可以，一般吧，位置还行，', '短评打分': 4}
{'短评内容': '高速上课就要开始上课时老师们', '短评打分': 3}
{'短评内容': '还可以，值得推荐了，朋友们要求不要太高了，可以的了', '短评打分': 5}
