{'短评内容': '前台服务好，房间大，性价比高。前台服务好，房间大，性价比高。前台服务好，房间大，性价比高。前台服务好，房间大，性价比高。', '短评打分': 5}
{'短评内容': '前台服务态度好，房间空调暖和', '短评打分': 5}
{'短评内容': '还行吧！', '短评打分': 5}
{'短评内容': '还行，就是早餐比较简单，种类不多。', '短评打分': 5}
{'短评内容': '前台服务挺好，房间有点吵', '短评打分': 5}
{'短评内容': '前台服务特别热情，办理入住效率高，而且价格超级便宜，值得来！', '短评打分': 4}
{'短评内容': '酒店位置好 离徐工很近 安全也不错 但沒吃饭的地方', '短评打分': 5}
{'短评内容': '酒店已经很旧了，但在开发区附近也没别的酒店了，只好住在这里。酒店价格也比较低，就不期待什么服务了，下次估计不太会入住了，去万达广场那里住吧。', '短评打分': 2}
{'短评内容': '总体还行，就是有点偏。早餐不像星级的标准', '短评打分': 4}
{'短评内容': '酒店在工业园内，不是很方便，价格很实惠。', '短评打分': 3}
{'短评内容': '经济实惠', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '周边比较荒，房间卫生还是比较好的但是墙面有霉斑，酒店员工服务很不错', '短评打分': 4}
{'短评内容': '远离闹市，安静怡人，酒店环境不错，价格也亲民。', '短评打分': 4}
{'短评内容': '房间大，还不错', '短评打分': 5}
