{'短评内容': '交通方便，环境不错', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '交通还算方便，楼下有车站，也有唛当劳，万宁，地理位置还好', '短评打分': 4}
{'短评内容': '服务一般，没有维也纳应该有的水平，停车不方便，周边交通比较乱，好的一点是比较热闹，生活机能和去机场会比较方便', '短评打分': 5}
{'短评内容': '环境不错，服务也好！下次有机会还来，谢谢！进门忘拍照了，很整洁，空间也足够大，小孩喜欢，从一进门开始上窜下跳嗨皮得很！冲凉的热水器很舒服，水量大，其他用品也用着方便。五星好评哦', '短评打分': 5}
{'短评内容': '酒店位置还不错，设施稍微有点老，服务比较温暖。', '短评打分': 5}
{'短评内容': '很不错，我的老据点了，哈哈', '短评打分': 5}
{'短评内容': '还不错，我的老据点了，哈哈哈', '短评打分': 5}
{'短评内容': 'd', '短评打分': 5}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '啊啊啊啊啊啊啊得的', '短评打分': 5}
{'短评内容': '环境舒适，卫生干净，性价比高', '短评打分': 5}
{'短评内容': '国庆出游好像都住的这个酒店 总体来说都不错的 环境服务都可以的 ', '短评打分': 5}
{'短评内容': '很好，服务不错', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '服务特别好，环境舒适，价格优惠。', '短评打分': 5}
{'短评内容': '不错。', '短评打分': 5}
{'短评内容': '还可以把，没窗户的,,,,', '短评打分': 5}
{'短评内容': '十分满意，环境优美，卫生', '短评打分': 5}
{'短评内容': '入住643房，感觉很好，洗浴很舒服', '短评打分': 5}
{'短评内容': '房间很小，卫生间就更小了，沐浴与马桶都没间隔，对不起这个价，周边太嘈杂了，卖东西的声音，车辆声音不绝于耳', '短评打分': 4}
{'短评内容': '还可以吧，没有窗户，早餐是送的麦当劳的券，这点有点失望', '短评打分': 3}
{'短评内容': '酒店各方面都可以。。只是房间内排气扇和空调声都很大。。对客人睡眠有影响', '短评打分': 5}
{'短评内容': '房間很好,可是周邊沒有地方好行,交通不方便', '短评打分': 5}
{'短评内容': '交通方便，酒店布局很精致~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '看演唱会，就选择了最近会场的这家维也纳。比其他入住过的维也纳稍微差点。房间有点小，而且烟味很重。入住客人很多，下午两点多还要在走廊那里等服务员收拾房间。附近噪音挺大，近马路的原因吧！', '短评打分': 5}
{'短评内容': '还不错把 就是没窗户 空气不好 空调大声 ', '短评打分': 5}
{'短评内容': '酒店很不错!卫生环境都很好!!', '短评打分': 3}
{'短评内容': '没有窗子的太闷，屋里味道不好。周围小吃很多，晚上可以出去转转', '短评打分': 5}
{'短评内容': '已入住，临时增加一共5间。', '短评打分': 3}
{'短评内容': '这个酒店是住过的最差酒店，368元的房价，就是100元再也不会住了。网上描述跟实际相差很大，根本没有送餐服务，酒店里面根本就没有餐厅，服务更差，问什么没有什么，交通特别不方便，酒店连基本的叫车服务都没有。入住时候订的豪华大床房间没有出来，只有标准间和豪华标准间，只能让住豪华标准间，住普通标准间都不让住，强行消费，服务超差，连酒店的前台都说这家是加盟店，不是直营店所以什么都没有。最无法忍受的是安全问', '短评打分': 1}
{'短评内容': '先说缺点：楼下是卖场，所以房间内噪音比较厉害，房间空气也不太好，因为窗户上了锁，只能开很小的口透风。优点是：房间的硬件和卫生都还可以，服务也ok，早餐是每人10元的麦当劳早餐券。', '短评打分': 5}
{'短评内容': '住的是豪华大床房，房间很棒，只是有点难找。停车场出入口是同一个，而且坡度很大，底盘稍微低点的会很容易刮到', '短评打分': 5}
{'短评内容': '酒店干净 2个大枕头非常的不错 想用高的低的 都很随意 还会介绍朋友去的', '短评打分': 5}
{'短评内容': '在广州算是性价比比较高的酒店了 酒店最主要跟干净 而且德康路店比三元里店要实惠 两家店也差不了多少路', '短评打分': 5}
{'短评内容': '前臺服務好，早餐是麥當勞抵用券，旁邊正好是百貨公司，買東西挺方便。房間也乾淨舒適。周邊餐廳不多是唯一的不足。', '短评打分': 5}
{'短评内容': '新开的酒店，服务设施还可以，隔壁有卖场，不是太好找，容易走岔路。', '短评打分': 5}
{'短评内容': '房间设施还可以，但有点吵。', '短评打分': 3}
{'短评内容': '酒店还行，适合一般住宿，不过没窗有点封闭的感觉，各方面布局还算可以。', '短评打分': 5}
{'短评内容': '房间不错，是新的房间，也比较干净。', '短评打分': 3}
